date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,revenue,2485200000.0,2204336000.0,2023464000.0,1672445000.0,1444453000.0,1317299000.0,1460919000.0,1485765000.0,1176306000.0,791976000.0,592880000.0,588248000.0,574229000.0,555705000.0
,costOfRevenue,1527546000.0,1406584000.0,1298424000.0,1090328000.0,930347000.0,857349000.0,944700000.0,916205000.0,735906000.0,497322000.0,355523000.0,352398000.0,372199000.0,333428000.0
,grossProfit,957654000.0,797752000.0,725040000.0,582117000.0,514106000.0,459950000.0,516219000.0,569560000.0,440400000.0,294654000.0,237357000.0,235850000.0,202030000.0,222277000.0
,grossProfitRatio,0.385342829550942,0.361901270949619,0.358316233943376,0.348063463970415,0.35591743033522,0.349161428043292,0.35335223924119,0.383344606986973,0.374392377493611,0.372049153004636,0.400345769801646,0.400936339775061,0.351828277568705,0.399991002420349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,80251000.0,68394000.0,50019000.0,42925000.0,37229000.0,32922000.0,31494000.0,29271000.0,23499000.0,16476000.0,14700000.0,10842000.0,9925000.0,9606000.0
,GeneralAndAdministrativeExpenses,119644000.0,110868000.0,103841000.0,87512000.0,74700000.0,52947000.0,54795000.0,55490000.0,46031000.0,30012000.0,22599000.0,14713000.0,15869000.0,17581000.0
,SellingAndMarketingExpenses,246373000.0,217683000.0,191887000.0,171755000.0,164607000.0,130242000.0,120408000.0,107515000.0,101448000.0,77776000.0,57954000.0,59823000.0,57449000.0,52652000.0
,otherExpenses,-2106000.0,-1933000.0,-5710000.0,-3230000.0,902000.0,-5487000.0,-1462000.0,-1983000.0,-2798000.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,478548000.0,425589000.0,367859000.0,331053000.0,309489000.0,239702000.0,227721000.0,218095000.0,216845000.0,181673000.0,147061000.0,0.0,0.0,0.0
,costAndExpenses,2006094000.0,1832173000.0,1666283000.0,1421381000.0,1239836000.0,1097051000.0,1172421000.0,1134300000.0,952751000.0,678995000.0,502584000.0,489736000.0,503044000.0,460869000.0
,interestExpense,32991000.0,41544000.0,40956000.0,42667000.0,44568000.0,42843000.0,47215000.0,54435000.0,49114000.0,23718000.0,27397000.0,70862000.0,108022000.0,125366000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,32280000.0,28644000.0,22112000.0,28861000.0,32953000.0,23591000.0,21024000.0,25819000.0,45867000.0,48020000.0,51808000.0,51960000.0,47602000.0,47602000.0
,EBITDA,511386000.0,400807000.0,379293000.0,279925000.0,237570000.0,243839000.0,309522000.0,377284000.0,269422000.0,161001000.0,142104000.0,150472000.0,118787000.0,142438000.0
,EBITDARatio,0.205772573635925,0.181826636229685,0.18744736748467,0.167374711873933,0.164470564289735,0.185105279818781,0.211868009109335,0.253932485958412,0.229040742799918,0.203290251219734,0.239684253137228,0.255796874787505,0.206863463879393,0.256319450067932
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,479106000.0,372163000.0,357181000.0,251064000.0,204617000.0,220248000.0,288498000.0,351465000.0,223555000.0,112981000.0,90296000.0,98512000.0,71185000.0,94836000.0
,operatingIncomeRatio,0.192783679381941,0.16883224698957,0.176519572376875,0.150117941098212,0.141657084031118,0.167196665297704,0.19747706751709,0.236554906058495,0.190048337762453,0.142657100720224,0.152300634192417,0.167466782717493,0.123966222534912,0.170658892757848
,totalOtherIncomeExpensesNet,76000.0,-11012000.0,-5149000.0,-3709000.0,-710000.0,-52041000.0,1065000.0,-18314000.0,-18089000.0,-1532000.0,-5914000.0,15744000.0,-518718000.0,20245000.0
,incomeBeforeTax,446191000.0,319607000.0,311076000.0,204688000.0,156382000.0,122983000.0,258362000.0,278716000.0,156352000.0,86966000.0,57220000.0,43394000.0,-555555000.0,-10285000.0
,incomeBeforeTaxRatio,0.17953927249316,0.1449901466927,0.153734388158129,0.122388479142812,0.108263820283526,0.0933599737037681,0.176848956033839,0.187590904348938,0.132917795199548,0.109808883097468,0.0965119417082715,0.0737682066067373,-0.967479873012335,-0.0185080213422589
,incomeTaxExpense,98973000.0,67299000.0,69856000.0,43553000.0,57570000.0,45236000.0,83749000.0,104177000.0,63129000.0,-237677000.0,307000.0,339000.0,400000.0,-571000.0
,netIncome,349329000.0,252007000.0,238257000.0,159386000.0,98788000.0,77747000.0,174613000.0,174539000.0,93223000.0,324643000.0,56913000.0,43055000.0,-555955000.0,-9714000.0
,netIncomeRatio,0.140563737324964,0.114323315501811,0.117747091126899,0.0953011907715949,0.0683912872208372,0.0590200098838608,0.119522711389201,0.117474163141547,0.0792506371641393,0.409915199450488,0.0959941303467818,0.0731919190545484,-0.96817645921749,-0.0174804977461063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,5.64098178458096,4.09,3.57,2.58,1.51,1.14,2.55,2.56,1.38,4.84,-1.65,-3.580725,-32.515103,-4.188655
,EPSDiluted,5.64098178458096,4.03,3.54,2.56,1.5,1.12,2.49,2.51,1.35,4.79,-1.65,-3.580725,-32.515103,-4.188655
,weightedAverageShsOut,62353473.0,61926986.0,61662031.0,62040704.0,64905793.0,68096051.0,68538248.0,68081632.0,67360632.0,67130356.0,59364958.0,19908540.0,19908540.0,19908540.0
,weightedAverageShsOutDil,62353473.0,62865446.0,62233225.0,62642872.0,65382774.0,69200297.0,70171044.0,69667529.0,69193138.0,67797371.0,59364958.0,19908540.0,19908540.0,65578790.0
