date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,revenue,17812000.0,48835000.0,20653000.0,25186000.0,26353000.0,48257000.0,13608000.0,17331000.0,26293000.0,19643000.0,62381336.0,74589319.0,56561369.0,71237901.0,6211936.0,151867.0,336901.0,1634000.0,1774524.0,11157634.0,3315594.0,2500000.0,6400000.0,1000000.0,2700000.0,200000.0,700000.0
,costOfRevenue,1676000.0,4101000.0,471000.0,1702000.0,2699000.0,1896000.0,122000.0,98000.0,132000.0,0.0,86459.0,4543914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500000.0,-500000.0,-600000.0,7100000.0,6500000.0,5000000.0
,grossProfit,16136000.0,44734000.0,20182000.0,23484000.0,23654000.0,46361000.0,13486000.0,17233000.0,26161000.0,19643000.0,62294877.0,70045405.0,0.0,0.0,6211936.0,151867.0,0.0,1634000.0,0.0,0.0,0.0,3000000.0,6900000.0,1600000.0,-4400000.0,-6300000.0,-4300000.0
,grossProfitRatio,0.905906130698406,0.916023343913177,0.977194596426669,0.932422774557294,0.897582817895496,0.960710363263361,0.99103468547913,0.99434539264901,0.99497965237896,1.0,0.998614024553754,0.93908090245468,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2,1.078125,1.6,-1.62962962962963,-31.5,-6.14285714285714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,122964000.0,107068000.0,84888000.0,66962000.0,61008000.0,72758000.0,51796000.0,42730000.0,51464000.0,56898000.0,82473014.0,72301442.0,73326634.0,94051996.0,47083372.0,23642377.0,18868112.0,11522000.0,15473491.0,13091057.0,9590352.0,7700000.0,9300000.0,10600000.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,67929000.0,37121000.0,29514000.0,13933000.0,11253000.0,13047000.0,7461000.0,5220000.0,6826000.0,12332000.0,14178581.0,11481187.0,10399227.0,9465962.0,6108373.0,3686323.0,3212316.0,2812000.0,2855804.0,3052089.0,3557256.0,2900000.0,3100000.0,2700000.0,2700000.0,2200000.0,1900000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,113510000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
