date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,18909000.0,43943000.0,-886000.0
,depreciationAndAmortization,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0
,changeInWorkingCapital,535000.0,601000.0,54000.0
,accountsReceivables,0.0,0.0,0.0
,inventory,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0
,otherNonCashItems,33857000.0,-26121000.0,-16712000.0
,netCashProvidedByOperatingActivites,53301000.0,18423000.0,-17544000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-29176000.0
,dividendsPaid,-13593000.0,-21053000.0,-17202000.0
,otherFinancingActivites,-39709000.0,2631000.0,61709000.0
,netCashUsedProvidedByFinancingActivities,-53302000.0,-18422000.0,15331000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-53302000.0,-18422000.0,15331000.0
,cashAtEndOfPeriod,0.0,1000.0,0.0
,cashAtBeginningOfPeriod,1000.0,0.0,2213000.0
,operatingCashFlow,53301000.0,18423000.0,-17544000.0
,capitalExpenditure,0.0,0.0,0.0
,freeCashFlow,53301000.0,18423000.0,-17544000.0
