Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31
Revenue,11957900000.0,11958000000.0,15048900000.0,15049000000.0,20008800000.0,17285000000.0,18280000000.0,17063000000.0,18248300000.0,18248000000.0,14474200000.0
Revenue Growth,-0.00000836260244187991,-0.205390427207304,-0.00000664495979799322,-0.247880932389749,0.15758171825282,-0.0544310722100656,0.0713239172478462,-0.0649539957146693,0.0000164401578255151,0.26072598140139,0.0
Cost of Revenue,7352500000.0,4963000000.0,8413600000.0,5661000000.0,10755800000.0,6375000000.0,5999900000.0,6229000000.0,6036900000.0,6810000000.0,4427900000.0
Gross Profit,4605400000.0,6995000000.0,6635300000.0,9388000000.0,9253000000.0,10910000000.0,12280100000.0,10834000000.0,12211400000.0,11438000000.0,10046300000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
SG&A Expense,2049100000.0,2049000000.0,2476000000.0,2476000000.0,3566900000.0,3028000000.0,3166900000.0,2974000000.0,3172800000.0,3173000000.0,2616500000.0
Operating Expenses,3766300000.0,5907000000.0,4687800000.0,7333000000.0,6451700000.0,8233000000.0,9930900000.0,8579000000.0,9983200000.0,8673000000.0,8034200000.0
Operating Income,839100000.0,1087000000.0,1947500000.0,2055000000.0,2801300000.0,2677000000.0,2349200000.0,2255000000.0,2228200000.0,2765000000.0,2012100000.0
Interest Expense,1478700000.0,1479000000.0,1889600000.0,1890000000.0,2638400000.0,2324000000.0,2441400000.0,2284000000.0,2544700000.0,2545000000.0,2286900000.0
Earnings before Tax,161800000.0,162000000.0,-1556000000.0,-1556000000.0,549400000.0,648000000.0,-684600000.0,-777000000.0,-1055900000.0,-1056000000.0,-526500000.0
Income Tax Expense,1573300000.0,1573000000.0,309500000.0,310000000.0,-1217900000.0,-1347000000.0,364900000.0,324000000.0,-75000000.0,-75000000.0,355500000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income,725300000.0,725000000.0,-2778100000.0,-2778000000.0,1705300000.0,1961000000.0,-1152500000.0,-1196000000.0,-695000000.0,-695000000.0,-963900000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income Com,725300000.0,725000000.0,-2778100000.0,-2778000000.0,1705300000.0,1961000000.0,-1152500000.0,-1196000000.0,-695000000.0,-695000000.0,-963900000.0
EPS,-1.97,-1.97,-2.29,-7.15,-2.13,2.18,0.39,-1.26,-0.87,-0.77,-2.87
EPS Diluted,-1.97,-1.97,-2.29,-7.15,-2.13,2.16,0.39,-1.26,-0.87,-0.77,-2.87
Weighted Average Shs Out,778675957.0,779000000.0,171846133.0,848000000.0,110868650.0,890000000.0,884040481.0,953000000.0,798869761.0,899000000.0,336174270.0
Weighted Average Shs Out (Dil),778675957.0,779000000.0,171846133.0,848000000.0,110868650.0,900000000.0,884040481.0,953000000.0,798869761.0,899000000.0,336174270.0
Dividend per Share,0.0,,0.0,,0.0,,0.0127822200938,,0.0146456914145,,1.60065789687
Gross Margin,0.385134513585,0.5849640408095,0.440915947345,0.6238288258356,0.46244652353,0.63118310673995,0.671777899344,0.63494110062709,0.669180142808,0.62680841736081,0.694083265396
EBITDA Margin,0.397536356718,0.45985950827898,0.456657961711,0.34493986311383,0.433324337292,0.47358981776106,0.451630196937,0.41710133036395,0.428127551608,0.38300087680842,0.439851598016
EBIT Margin,0.0701711839035,0.3158554942298,0.129411452,-0.038407867632401,0.140003398505,0.16997396586636,0.128512035011,0.082752153783039,0.122104524805,0.097270933800964,0.139012864269
Profit Margin,0.0606544627401,0.060628867703629,-0.18460485484,-0.18459698318825,0.0852274999,0.11345096904831,-0.0630470459519,-0.070093184082518,-0.0380857394935,-0.03808636562911,-0.0665943540921
Free Cash Flow margin,0.377164886811,,0.24954647848,,0.164487625445,,0.175399343545,,0.159949145948,,0.100164430504
EBITDA,4753700000.0,5499000000.0,6872200000.0,5191000000.0,8670300000.0,8186000000.0,8255800000.0,7117000000.0,7812600000.0,6989000000.0,6366500000.0
EBIT,839100000.0,3777000000,1947500000.0,-578000000,2801300000.0,2938000000,2349200000.0,1412000000,2228200000.0,1775000000,2012100000.0
Consolidated Income,725300000.0,725000000.0,-2778100000.0,-2778000000.0,1705300000.0,1961000000.0,-1152500000.0,-1196000000.0,-695000000.0,-695000000.0,-963900000.0
Earnings Before Tax Margin,0.0135308039037,0.013547415955845,-0.103396261521,-0.10339557445677,0.0274579185159,0.037489152444316,-0.0374507658643,-0.045537127117154,-0.0578629242176,-0.057869355545813,-0.0363750673612
Net Profit Margin,0.0606544627401,0.060628867703629,-0.18460485484,-0.18459698318825,0.0852274999,0.11345096904831,-0.0630470459519,-0.070093184082518,-0.0380857394935,-0.03808636562911,-0.0665943540921
