date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,111861000.0,-116064000.0,71946000.0,87029000.0,18370000.0,-44526000.0,75422000.0,270900000.0,104500000.0,-86300000.0,180400000.0,263300000.0,-611900000.0,-33400000.0,312200000.0,120400000.0,44100000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,3642000.0,41659000.0,47394000.0,-24004000.0,40222000.0,4428000.0,93476000.0,-107200000.0,-30100000.0,53700000.0,497300000.0,-536800000.0,92400000.0,993900000.0,-223900000.0,-116800000.0,3600000.0
,accountsReceivables,0.0,-642000.0,1854000.0,38036000.0,39399000.0,35259000.0,-41984000.0,-15200000.0,16300000.0,-14900000.0,33700000.0,-50300000.0,4100000.0,16900000.0,-21400000.0,-27300000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,677000.0,41150000.0,-27857000.0,11121000.0,-14355000.0,108864000.0,-93600000.0,-26000000.0,37400000.0,511600000.0,-521400000.0,114700000.0,992300000.0,-193700000.0,-106000000.0,0.0
,otherWorkingCapital,0.0,-14825000.0,-56484000.0,-103878000.0,-79874000.0,-120096000.0,-124524000.0,-218000000.0,-110800000.0,-80700000.0,-134400000.0,-631700000.0,-94900000.0,-187300000.0,-1181200000.0,-957300000.0,-840500000.0
,otherNonCashItems,-5507000.0,262306000.0,45870000.0,39954000.0,140172000.0,242291000.0,149700000.0,-93600000.0,47000000.0,239500000.0,-38200000.0,-69600000.0,859500000.0,196100000.0,-203600000.0,-26800000.0,-18200000.0
,netCashProvidedByOperatingActivites,470671000.0,-482460000.0,-132632000.0,263798000.0,642417000.0,436194000.0,42021000.0,-292800000.0,-19900000.0,237700000.0,-476600000.0,386600000.0,-14900000.0,-1888800000.0,-268900000.0,-515900000.0,29500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-529290000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-52141000.0,-50830000.0,-19746000.0,-37918000.0,-62437000.0,0.0,286600000.0,50000000.0,0.0,204300000.0,280800000.0,369600000.0,285500000.0,443600000.0,294100000.0,871900000.0
,dividendsPaid,-105720000.0,-121781000.0,-127980000.0,-131502000.0,-156513000.0,-187181000.0,-189393000.0,-175400000.0,-161100000.0,-204900000.0,-190800000.0,-154500000.0,-231200000.0,-194100000.0,-134900000.0,-77100000.0,-21400000.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-459700000.0,484887000.0,153532000.0,-254732000.0,-650015000.0,-425941000.0,-48117000.0,301300000.0,23446000.0,-241391000.0,-4649000.0,94362000.0,-393530000.0,1205883000.0,461885000.0,542625000.0,848740000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-23000.0,60000.0,-60000.0,3000.0,-27000.0,235000.0,-223000.0,16000.0,2000.0,-2000.0,-10000.0,13000.0,8000.0,-12000.0,2000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
