Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,25925.9259,129615.0825,,
Revenue Growth,-0.799977553538185,0.0,0.0,
Cost of Revenue,0.0,0.0,,
Gross Profit,25925.9259,129615.0825,1893000.0,4024000.0
R&D Expenses,5322222.2222,2835820.8955,,
SG&A Expense,2525185.1852,1986645.7188,,
Operating Expenses,7363703.7037,4595443.8335,3990000.0,4130000.0
Operating Income,-7337777.7778,-4465828.751,-2097000.0,-106000.0
Interest Expense,0.0,0.0,-11000.0,-11000.0
Earnings before Tax,-6728888.8889,-1424194.8154,,
Income Tax Expense,0.0,47918.3032,,
Net Income - Non-Controlling int,0.0,0.0,,
Net Income - Discontinued ops,0.0,0.0,,
Net Income,-6728888.8889,-1472113.1186,,
Preferred Dividends,0.0,0.0,,
Net Income Com,-6728888.8889,-1472113.1186,,
EPS,-0.0593,-0.0236,,
EPS Diluted,-0.0593,-0.0236,,
Weighted Average Shs Out,402042.2222,426360.5656,,
Weighted Average Shs Out (Dil),402042.2222,426360.5656,,
Dividend per Share,0.0,0.0,,
Gross Margin,1.0,1.0,,
EBITDA Margin,-192.2541,-8.6316,,
EBIT Margin,-259.5429,-10.9879,,
Profit Margin,-192.2541,-8.9222,,
Free Cash Flow margin,-290.6857,-26.4303,,
EBITDA,-6728888.8889,-1424194.8154,,
EBIT,-6728888.8889,-1424194.8154,-2097000.0,-106000.0
Consolidated Income,-6728888.8889,-1472113.1186,,
Earnings Before Tax Margin,-259.5429,-10.9879,,
Net Profit Margin,-259.5429,-11.3576,,
