Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,70648.1481,71302.4352,120709.0774,130449.0239
Stock-based compensation,1048765.1852,454597.8005,302141.369,310583.5141
Operating Cash Flow,-8829805.9259,-11697814.6112,-9283938.244,-10871171.3666
Capital Expenditure,-79604.4444,-83083.2679,-17505.2083,-78284.8879
Acquisitions and disposals,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,1640848.3896,-20701.6369,-21180.0434
Investing Cash flow,-79604.4444,1557765.1218,-38206.8452,-99464.9313
Issuance (repayment) of debt,0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,9851211.8519,10064967.7926,711408.4821,17113258.1345
Dividend payments,0.0,0.0,0.0,0.0
Financing Cash Flow,9851211.8519,10064967.7926,711408.4821,17113258.1345
Effect of forex changes on cash,438762.963,-80584.4462,-304436.756,989301.5184
Net cash flow / Change in cash,941801.4815,-75081.6968,-8610736.6071,6142621.8366
Free Cash Flow,-8909410.3704,-11780897.879,-9301443.4524,-10949456.2545
Net Cash/Marketcap,,,,
