date,,2020-05-31_FY,2019-05-31_FY,2018-05-31_FY,2017-05-31_FY,2016-05-31_FY,2015-05-31_FY,2014-05-31_FY,2013-05-31_FY,2012-05-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-05-31_FY,2006-05-31_FY,2005-05-31_FY,2004-05-31_FY,2003-05-31_FY,2002-05-31_FY,2001-05-31_FY,2000-05-31_FY,1999-05-31_FY,1998-05-31_FY,1997-05-31_FY,1996-05-31_FY,1995-05-31_FY,1994-05-31_FY,1993-05-31_FY,1992-05-31_FY,1991-05-31_FY,1990-05-31_FY,1989-05-31_FY,1988-05-31_FY,1987-05-31_FY,1986-05-31_FY
,revenue,3059119000.0,3759556000.0,3581620000.0,3014108000.0,2819714000.0,3384234000.0,3126426000.0,2612244000.0,2534701000.0,2442624000.0,1943034000.0,2631267000.0,3067161000.0,2971808000.0,2897179000.0,3078884000.0,2379104000.0,2219891000.0,1744961000.0,1826100000.0,1962606000.0,1763100000.0,1624400000.0,1911700000.0,1477800000.0,1483600000.0,1285100000.0,1115700000.0,974200000.0,874900000.0,915900000.0,1006100000.0,904200000.0,818800000.0,754300000.0
,costOfRevenue,2615782000.0,3279601000.0,3018763000.0,2478203000.0,2367121000.0,2920701000.0,2633907000.0,2215601000.0,2201833000.0,2086467000.0,1663104000.0,2456533000.0,2711414000.0,2610176000.0,2525545000.0,2580011000.0,2003734000.0,1916990000.0,1480184000.0,1581178000.0,1558458000.0,1390400000.0,1310300000.0,1582800000.0,1217400000.0,1210500000.0,1061000000.0,909100000.0,793700000.0,718800000.0,748200000.0,822900000.0,737400000.0,667600000.0,602300000.0
,grossProfit,443337000.0,479955000.0,562857000.0,535905000.0,452593000.0,463533000.0,492519000.0,396643000.0,332868000.0,356157000.0,279930000.0,174734000.0,355747000.0,361632000.0,371634000.0,498873000.0,375370000.0,302901000.0,264777000.0,244922000.0,404148000.0,372700000.0,314100000.0,328900000.0,260400000.0,273100000.0,224100000.0,206600000.0,180500000.0,156100000.0,167700000.0,183200000.0,166800000.0,151200000.0,152000000.0
,grossProfitRatio,0.144923097140059,0.127662681444298,0.15715151244409,0.177798871175154,0.160510250330353,0.136968365662658,0.157534193996595,0.151839950632483,0.131324365280165,0.145809178981292,0.144068503175961,0.0664067918611072,0.115985760121493,0.121687538360486,0.128274435235103,0.162030462985939,0.157777886128559,0.136448591394803,0.15173806176757,0.134122994359564,0.205924164096105,0.21138903068459,0.1933637035213,0.172045823089397,0.176207876573285,0.184079266648692,0.174383316473426,0.185175226315318,0.185280229932252,0.178420390901817,0.183098591549296,0.182089255541199,0.184472461844725,0.184660478749389,0.201511335012594
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,328110000.0,338392000.0,367460000.0,316373000.0,297402000.0,295920000.0,300396000.0,258324000.0,225069000.0,235198000.0,218315000.0,210046000.0,231602000.0,232487000.0,214030000.0,225915000.0,195785000.0,182692000.0,165885000.0,173264000.0,163662000.0,148000000.0,117100000.0,123300000.0,95100000.0,85100000.0,72400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,9099000.0,2716000.0,2996000.0,3764000.0,11267000.0,795000.0,16963000.0,1452000.0,2319000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,328110000.0,338392000.0,367460000.0,316373000.0,297402000.0,295920000.0,300396000.0,258324000.0,225069000.0,224762000.0,218315000.0,210046000.0,231602000.0,232487000.0,240639000.0,225915000.0,195785000.0,177192000.0,144662000.0,173264000.0,234659000.0,226500000.0,178600000.0,174700000.0,134300000.0,119200000.0,104800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,2943892000.0,3617993000.0,3386223000.0,2794576000.0,2664523000.0,3216621000.0,2934303000.0,2473925000.0,2426902000.0,2311229000.0,1881419000.0,2666579000.0,2943016000.0,2842663000.0,2766184000.0,2805926000.0,2199519000.0,2094182000.0,1624846000.0,1754442000.0,1793117000.0,1616900000.0,1488900000.0,1757500000.0,1351700000.0,1329700000.0,1165800000.0,1007100000.0,883000000.0,800100000.0,824100000.0,899500000.0,809500000.0,736300000.0,669000000.0
,interestExpense,31616000.0,38063000.0,38675000.0,29796000.0,31670000.0,35800000.0,26671000.0,23918000.0,19497000.0,18756000.0,9534000.0,20734000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,92678000.0,95602000.0,103359000.0,86793000.0,84699000.0,85089000.0,79730000.0,66469000.0,55873000.0,61058000.0,64653000.0,64073000.0,63413000.0,61469000.0,59116000.0,57874000.0,67302000.0,69419000.0,68887000.0,70582000.0,70997000.0,78500000.0,61500000.0,51400000.0,39200000.0,34100000.0,32400000.0,29200000.0,26900000.0,23800000.0,20800000.0,20400000.0,19000000.0,17600000.0,16500000.0
,EBITDA,207905000.0,237165000.0,298756000.0,306325000.0,239890000.0,252702000.0,271853000.0,204788000.0,163672000.0,192453000.0,126268000.0,28761000.0,187558000.0,190614000.0,190111000.0,330832000.0,246887000.0,195128000.0,189002000.0,142240000.0,240486000.0,224700000.0,197000000.0,205600000.0,165300000.0,188000000.0,151700000.0,137800000.0,118100000.0,98600000.0,112600000.0,127000000.0,113700000.0,100100000.0,101800000.0
,EBITDARatio,0.0679623774034289,0.063083247064281,0.0834136508060598,0.101630399441559,0.0850760041621242,0.0746703685383458,0.0869532814785957,0.0783954331984302,0.0645725077632431,0.0787894493790285,0.0649849668096389,0.0109304756985893,0.0611503602191082,0.0641407520270489,0.0656193490288312,0.107451920890816,0.103773101133872,0.0878998112970412,0.108313022468697,0.0778927769563551,0.122534018544731,0.127445975838013,0.121275547894607,0.107548255479416,0.111855460820138,0.126718792127258,0.118045288304412,0.123509904096083,0.121227673988914,0.112698594125043,0.1229391855006,0.126229997018189,0.125746516257465,0.122252076209086,0.134959565159751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,115227000.0,141563000.0,195397000.0,219532000.0,155191000.0,167613000.0,192123000.0,138319000.0,107799000.0,131395000.0,61615000.0,-35312000.0,124145000.0,129145000.0,130995000.0,272958000.0,179585000.0,125709000.0,120115000.0,71658000.0,169489000.0,146200000.0,135500000.0,154200000.0,126100000.0,153900000.0,119300000.0,108600000.0,91200000.0,74800000.0,91800000.0,106600000.0,94700000.0,82500000.0,85300000.0
