date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,revenue,1065414000.0,993056000.0,874831000.0,813574000.0,830580000.0,942018000.0,880969000.0,735135000.0,592801000.0,458935000.0,372706000.0,281091000.0,263275000.0,220748211.0,188321767.0,148525149.0,113396237.0,84927263.0,55847302.0,32336000.0,19334000.0
,costOfRevenue,295150000.0,310441000.0,319400000.0,273033000.0,258846000.0,268345000.0,234531000.0,192474000.0,168356000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,770264000.0,682615000.0,555431000.0,540541000.0,571734000.0,673673000.0,646438000.0,542661000.0,424445000.0,458935000.0,372706000.0,281091000.0,263275000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.722971539701938,0.687388223826249,0.634900912290488,0.664402992229349,0.688355125334104,0.71513813961092,0.7337806438138,0.738178701871085,0.715999129556124,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,142861000.0,125424000.0,121622000.0,110747000.0,112579000.0,112982000.0,100415000.0,68087000.0,64758000.0,256708000.0,220111000.0,182470000.0,164037000.0,69022177.0,58141684.0,44332298.0,36620054.0,28986795.0,21700918.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-1049000.0,-364000.0,-316000.0,-2790000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,265170000.0,245511000.0,222242000.0,210143000.0,221326000.0,233873000.0,165209000.0,114182000.0,101663000.0,282067000.0,242844000.0,200482000.0,178438000.0,139564019.0,116321696.0,88924680.0,68506012.0,50472558.0,34884048.0,0.0,0.0
,costAndExpenses,560320000.0,555952000.0,541642000.0,483176000.0,480172000.0,502218000.0,399740000.0,306656000.0,270019000.0,282067000.0,242844000.0,200482000.0,178438000.0,139564019.0,116321696.0,88924680.0,68506012.0,50472558.0,34884048.0,23570000.0,15029000.0
,interestExpense,132475000.0,127939000.0,116408000.0,96109000.0,80864000.0,60336000.0,35230000.0,14469000.0,9041000.0,10569000.0,9052000.0,7909000.0,11151000.0,3704263.0,378546.0,280503.0,273355.0,602072.0,2446620.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,18465000.0,17464000.0,19322000.0,19763000.0,24359000.0,19874000.0,18414000.0,14385000.0,14515000.0,12943000.0,12437000.0,9213000.0,7424000.0,5517090.0,5130628.0,4678598.0,2382896.0,1444825.0,940352.0,677000.0,437000.0
,EBITDA,523559000.0,454568000.0,352511000.0,350161000.0,374767000.0,459674000.0,499643000.0,442864000.0,337297000.0,189811000.0,142299000.0,89822000.0,92261000.0,86701282.0,77130699.0,64279067.0,47273121.0,35899530.0,21903606.0,9443000.0,4742000.0
,EBITDARatio,0.491413666424507,0.457746592337189,0.402947540725009,0.430398464061044,0.451211201810783,0.487967321218915,0.567151625085559,0.602425404857611,0.568988581328304,0.413590159826555,0.381799595391542,0.319547762112625,0.35043585604406,0.39276097236412,0.40956868782991,0.432782376808119,0.416884389205966,0.42270913640535,0.392205267140747,0.292027461652647,0.245267404572256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,505094000.0,437104000.0,333189000.0,330398000.0,350408000.0,439800000.0,481229000.0,428479000.0,322782000.0,176868000.0,129862000.0,80609000.0,84837000.0,81184192.0,72000071.0,59600469.0,44890225.0,34454705.0,20963254.0,8766000.0,4305000.0
,operatingIncomeRatio,0.474082375489716,0.440160474333774,0.380860989151047,0.406106881488347,0.421883503094223,0.466870059807774,0.546249641020286,0.58285757037823,0.544503130055449,0.385387908963143,0.348430129914732,0.286771899491624,0.322237204444022,0.367768289637464,0.382324742099515,0.401282001070405,0.395870499653353,0.405696637132884,0.375367354362078,0.271091044037605,0.222664735698769
,totalOtherIncomeExpensesNet,-154437000.0,-183463000.0,-120082000.0,-72793000.0,-135461000.0,-121942000.0,-144990000.0,-130948000.0,-106718000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3140000.0,-1765000.0
,incomeBeforeTax,208945000.0,117359000.0,89497000.0,157539000.0,134083000.0,257522000.0,301013000.0,283065000.0,207033000.0,167463000.0,120875000.0,72703000.0,73746000.0,77899213.0,72205617.0,59931456.0,44839588.0,33912806.0,18538182.0,5626000.0,2540000.0
,incomeBeforeTaxRatio,0.196116251522882,0.118179639416105,0.102302044623476,0.193638193944251,0.161432974547906,0.273372695638512,0.341683986610199,0.385051725193332,0.349245362271656,0.364894810811989,0.324317290303886,0.258645776634613,0.280110150982813,0.352887176965615,0.383416203820985,0.403510492354396,0.395423950443788,0.399315894590881,0.331944092840868,0.173985650667986,0.131374780179994
