date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5247000000.0,3926000000.0,3833000000.0,3827000000.0,3691000000.0,3019000000.0,2886000000.0,2578000000.0,2517000000.0,-13402000000.0,4387000000.0,6552000000.0,2905000000.0,3364000000.0,2639000000.0,1121000000.0
,depreciationAndAmortization,9856000000.0,8993000000.0,8711000000.0,8773000000.0,8148000000.0,8102000000.0,8590000000.0,7601000000.0,998000000.0,4590000000.0,4412000000.0,3579000000.0,3277000000.0,3207000000.0,3140000000.0,3059000000.0
,deferredIncomeTax,1010000000.0,-236000000.0,-328000000.0,-166000000.0,-759000000.0,150000000.0,-135000000.0,-89000000.0,341000000.0,-4116000000.0,1521000000.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,227000000.0,277000000.0,182000000.0,219000000.0,256000000.0,234000000.0,225000000.0,199000000.0,175000000.0,290000000.0,286000000.0,263000000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-2640000000.0,-729000000.0,535000000.0,-485000000.0,1002000000.0,-1051000000.0,15000000.0,253000000.0,1616000000.0,2368000000.0,2187000000.0,-2804000000.0,860000000.0,3265000000.0,-1010000000.0,0.0
,accountsReceivables,-704000000.0,-1201000000.0,-112000000.0,-403000000.0,-366000000.0,-360000000.0,-613000000.0,-676000000.0,314000000.0,1245000000.0,-1090000000.0,189000000.0,-552000000.0,-853000000.0,-310000000.0,200000000.0
,inventory,-9574000000.0,-8774000000.0,-8526000000.0,-7789000000.0,-7194000000.0,-7566000000.0,-8260000000.0,-6921000000.0,-6898000000.0,-5766000000.0,-6045000000.0,-3930000000.0,-3910000000.0,-3218000000.0,-3332000000.0,-2489000000.0
,accountsPayables,624000000.0,631000000.0,-200000000.0,592000000.0,-492000000.0,-66000000.0,167000000.0,104000000.0,-929000000.0,-445000000.0,109000000.0,-486000000.0,-598000000.0,264000000.0,-120000000.0,70000000.0
,otherWorkingCapital,1142000000.0,3782000000.0,4511000000.0,3976000000.0,4461000000.0,3459000000.0,4510000000.0,4495000000.0,4242000000.0,2626000000.0,258000000.0,-1929000000.0,875000000.0,15000000.0,-3250000000.0,-2240000000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,5079000000.0,4683000000.0,3851000000.0,3681000000.0,3714000000.0,3442000000.0,3448000000.0,3314000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7032000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,-643000000.0,0.0,0.0,0.0,0.0,-4430000000.0,-4141000000.0,-3246000000.0,-3024000000.0,-2887000000.0,-3229000000.0
,acquisitionsNet,-706000000.0,-1228000000.0,-672000000.0,-950000000.0,-485000000.0,-668000000.0,-348000000.0,-919000000.0,-745000000.0,-2435000000.0,-1513000000.0,-12311000000.0,-680000000.0,-877000000.0,-570000000.0,-7779000000.0
,purchasesOfInvestments,0.0,-2322000000.0,-3632000000.0,-5504000000.0,-3708000000.0,-3272000000.0,-4611000000.0,-2016000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-340000000.0,1394000000.0,3062000000.0,7361000000.0,3400000000.0,2669000000.0,4297000000.0,1211000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-996000000.0,-1360000000.0,-993000000.0,1383000000.0,-910000000.0,-1246000000.0,-1086000000.0,-1436000000.0,8242000000.0,-6486000000.0,-3993000000.0,-12471000000.0,-2496000000.0,-503000000.0,77000000.0,-10460000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5001000000.0,-3304000000.0,-2344000000.0,-72000000.0,-762000000.0,-686000000.0,-80000000.0,-4910000000.0,-10051000000.0,-37808000000.0,-12523000000.0,-3651000000.0,-1995000000.0,-4834000000.0,-7230000000.0,-18984000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-2322000000.0,-3632000000.0,-5504000000.0,-3708000000.0,-3272000000.0,-4611000000.0,-2016000000.0,-1158000000.0,-332000000.0,-6231000000.0,-13660000000.0,-2141000000.0,0.0,0.0,-102000000.0
,dividendsPaid,-1265000000.0,-1269000000.0,-1150000000.0,-1109000000.0,-1074000000.0,-1011000000.0,-997000000.0,-971000000.0,-9253000000.0,-901000000.0,-871000000.0,-876000000.0,-466000000.0,0.0,0.0,-297000000.0
,otherFinancingActivites,3265000000.0,2973000000.0,3813000000.0,2742000000.0,1761000000.0,1452000000.0,3075000000.0,63000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-3001000000.0,-3922000000.0,-3313000000.0,-3979000000.0,-3783000000.0,-2831000000.0,-2533000000.0,-2924000000.0,-13798000000.0,1320000000.0,-4489000000.0,1203000000.0,-4388000000.0,-3016000000.0,-5368000000.0,4439000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
