Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31
Depreciation & Amortization,27935000.0,83508000.0,69000000.0,98118000.0,83000000.0,83245000.0,85000000.0,33600000.0,34000000.0,8553000.0,8000000.0,4545000.0
Stock-based compensation,0.0,-1825000.0,-2000000.0,15245000.0,15000000.0,7752000.0,8000000.0,232000.0,0000000.0,180000.0,0000000.0,218000.0
Operating Cash Flow,0.0,-3368000.0,-3000000.0,37725000.0,38000000.0,6535000.0,7000000.0,9428000.0,9000000.0,3030000.0,3000000.0,263000.0
Capital Expenditure,0.0,0.0,-22000000.0,0.0,-30000000.0,0.0,-328000000.0,0.0,-1310000000.0,0.0,-146000000.0,0.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Investment purchases and sales,0.0,0.0,35000000,4602000.0,75000000,-154269000.0,-3000000,-1763000.0,-1000000,-424000.0,0,0.0
Investing Cash flow,45536000.0,40654000.0,41000000.0,61907000.0,62000000.0,-327835000.0,-328000000.0,-1309508000.0,-1310000000.0,-145753000.0,-146000000.0,-25736000.0
Issuance (repayment) of debt,-0.0,-18992000.0,-504000000.0,-10771000.0,-239000000.0,-7293000.0,-0000000.0,-7562000.0,-93000000.0,-4582000.0,-35000000.0,-1992000.0
Issuance (buybacks) of shares,-45536000.0,0.0,,0.0,,-142958000.0,,-1763000.0,,-424000.0,,32323000.0
Dividend payments,-0.0,-63289000.0,,-74707000.0,,-66129000.0,,-17799000.0,,-3445000.0,,-2025000.0
Financing Cash Flow,0.0,-90354000.0,-90000000.0,-23540000.0,-24000000.0,110435000.0,110000000.0,1528103000.0,1528000000.0,137855000.0,138000000.0,35346000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net cash flow / Change in cash,45536000.0,-53068000.0,-53000000.0,76092000.0,76000000.0,-210865000.0,-211000000.0,228023000.0,228000000.0,-4868000.0,-5000000.0,9873000.0
Free Cash Flow,0.0,-3368000.0,-26000000.0,37725000.0,7000000.0,6535000.0,-321000000.0,9428000.0,-1301000000.0,3030000.0,-143000000.0,263000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
