date,,2020-04-30_FY,2019-04-30_FY,2018-04-30_FY,2017-04-30_FY,2016-04-30_FY,2015-04-30_FY,2014-04-30_FY,2013-04-30_FY,2012-04-30_FY,2011-04-30_FY,2010-04-30_FY,2009-04-30_FY,2008-04-30_FY,2007-04-30_FY,2006-04-30_FY,2005-04-30_FY,2004-04-30_FY,2003-04-30_FY,2002-04-30_FY,2001-04-30_FY,2000-04-30_FY,1999-04-30_FY,1998-04-30_FY,1997-04-30_FY,1996-04-30_FY,1995-04-30_FY,1994-04-30_FY,1993-04-30_FY,1992-04-30_FY,1991-04-30_FY,1990-04-30_FY,1989-04-30_FY,1988-04-30_FY,1987-04-30_FY,1986-04-30_FY
,revenue,1650333000.0,1645319000.0,1250274000.0,1030248000.0,947045000.0,825465000.0,726515000.0,630437000.0,515814000.0,452589000.0,406540000.0,545934000.0,602426000.0,760925000.0,837671000.0,776990000.0,667547000.0,563466000.0,499046000.0,416668000.0,387301000.0,327013000.0,241677000.0,219402000.0,196200000.0,197400000.0,171300000.0,167300000.0,137400000.0,149800000.0,154000000.0,158100000.0,129500000.0,115800000.0,5500000.0
,costOfRevenue,1321147000.0,1298846000.0,994871000.0,805612000.0,747351000.0,672933000.0,602338000.0,527781000.0,449339000.0,399838000.0,357619000.0,456444000.0,499299000.0,605106000.0,687978000.0,624610000.0,530038000.0,430725000.0,370369000.0,291582000.0,271147000.0,233414000.0,168452000.0,158356000.0,146200000.0,143200000.0,127500000.0,130100000.0,105400000.0,114900000.0,91300000.0,88800000.0,75100000.0,65400000.0,55200000.0
,grossProfit,329186000.0,346473000.0,255403000.0,224636000.0,199694000.0,152532000.0,124177000.0,102656000.0,66475000.0,52751000.0,48921000.0,89490000.0,103127000.0,155819000.0,149693000.0,152380000.0,137509000.0,132741000.0,128677000.0,125086000.0,116154000.0,93599000.0,73225000.0,61046000.0,50000000.0,54200000.0,43800000.0,37200000.0,32000000.0,34900000.0,62700000.0,69300000.0,54400000.0,50400000.0,-49700000.0
,grossProfitRatio,0.199466410718322,0.210581048416751,0.204277622345182,0.218040704762348,0.210860096405134,0.184783122240192,0.170921453789667,0.162833082449158,0.128873973951851,0.1165538711723,0.120335022384021,0.163920913517019,0.171186170583607,0.204775766337024,0.178701423351172,0.19611578012587,0.205991488239779,0.235579431589484,0.257845970110972,0.300205439342594,0.299906274448039,0.286224095066557,0.302987044691882,0.278238119980675,0.254841997961264,0.274569402228977,0.25569176882662,0.222355050806934,0.232896652110626,0.232977303070761,0.407142857142857,0.438330170777989,0.42007722007722,0.435233160621762,-9.03636363636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,113334000.0,112917000.0,69855000.0,45419000.0,40045000.0,33773000.0,30881000.0,27575000.0,25329000.0,22709000.0,26434000.0,26875000.0,98745000.0,106411000.0,96274000.0,94013000.0,85105000.0,78480000.0,74953000.0,73086000.0,75251000.0,65688000.0,51897000.0,43440000.0,35000000.0,35600000.0,31200000.0,28700000.0,30400000.0,30400000.0,52700000.0,49100000.0,39400000.0,32900000.0,27800000.0
,SellingAndMarketingExpenses,83608000.0,89875000.0,77843000.0,70979000.0,66489000.0,64304000.0,59536000.0,57402000.0,58271000.0,61034000.0,56935000.0,60033000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-2687000.0,4846000.0,109000.0,1572000.0,-996000.0,207000.0,310000.0,162000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,196942000.0,202792000.0,147698000.0,116398000.0,106534000.0,98077000.0,90417000.0,84977000.0,83600000.0,83743000.0,83369000.0,86908000.0,98745000.0,106411000.0,96274000.0,94013000.0,85105000.0,78480000.0,74953000.0,92721000.0,89963000.0,65688000.0,51897000.0,43440000.0,42800000.0,43400000.0,38400000.0,35500000.0,36000000.0,35900000.0,58500000.0,54800000.0,43500000.0,36000000.0,30200000.0
