date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2017-03-24_FY,2016-12-31_FY,2016-04-01_FY,2015-12-31_FY,2015-04-02_FY,2014-12-31_FY,2014-04-01_FY,2013-12-31_FY,2013-04-01_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,21052000000000.0,19068000000000.0,3162000000.0,3878000000.0,3502000000.0,19333000000000.0,2852000000.0,15451000000000.0,2901000000.0,14437000000000.0,0.0,14046000000000.0,3134000000.0,12864000000000.0,13043000000.0,11536999000000.0,11332140000000.0,10619470000000.0,12854729039008.9,1223000000.0,813000000.0,659767000000.0,721237000000.0,8379918018098.35,4250000001360.0,2538461539680.0,2011304964096.52,1001560062084.0,2258503401216.0
,depreciationAndAmortization,28925000000000.0,21754000000000.0,0.0,0.0,0.0,18556000000000.0,0.0,18572000000000.0,0.0,17178000000000.0,0.0,15805000000000.0,0.0,14474000000000.0,0.0,14592820000000.0,13956386000000.0,11069575000000.0,9543298587221.75,0.0,0.0,0.0,0.0,3518741273755.32,2833333334240.0,2086538462540.0,2188375886043.38,1853354133576.0,1813820264832.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6373076000000.0,5639696000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279269602560.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,0.0,803000000000.0,-406000000.0,-428000000.0,-317000000.0,0.0,747000000.0,0.0,-222000000.0,0.0,-18000000.0,0.0,487000000.0,0.0,-87000000.0,-3719098000000.0,-2008130000000.0,-1019845000000.0,14867577729932.6,1374687000000.0,-7165036000000.0,2322038000000.0,0.0,0.0,0.0,0.0,0.0,0.0,462585033984.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1142681000000.0,-841077000000.0,-480629000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95638000000.0,64164000000.0,-307207000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27210884352.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220356000000.0,258382000000.0,448113000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,-244000000.0,162000000.0,590000000.0,0.0,907000000.0,0.0,160000000.0,0.0,382000000.0,0.0,400000000.0,0.0,-87000000.0,-1164989000000.0,85032000000.0,401810000000.0,14867577729932.6,0.0,-1374687000000.0,5790349000000.0,3468311000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475647000000.0,16324233000000.0,14673113000000.0,0.0,0.0,0.0,0.0,0.0,2123796226681.12,2760416667550.0,0.0,-264794326182.88,0.0,716075904.0
,netCashProvidedByOperatingActivites,0.0,0.0,3176000000.0,3642000000.0,3506000000.0,47231000000000.0,3168000000.0,43669000000000.0,3047000000.0,37736000000000.0,3004000000.0,36574000000000.0,2898000000.0,27941000000000.0,3358000000.0,27758763000000.0,29715574000000.0,24316297000000.0,27722306768941.5,2966131000000.0,2146763000000.0,1727824000000.0,1522811000000.0,10503714244779.5,7010416668910.0,4961538463920.0,3934886523957.02,0.0,4789115645952.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-29403000000000.0,-35302000000000.0,-31862000000000.0,-32784000000000.0,57000000.0,-28125000000000.0,53000000.0,-26566000000000.0,40000000.0,-26606000000000.0,38000000.0,-20419000000000.0,37000000.0,-8708000000000.0,-13939000000000.0,-15593030000000.0,-20479460000000.0,-15863840000000.0,-15054109147340.0,-16602318066952.9,-12286441178190.7,-9719626165600.0,0.0,-5078598789951.74,-3593750001150.0,-798076923460.0,-607390070788.36,0.0,-4881847475520.0
,acquisitionsNet,0.0,-56000000.0,-29000000.0,-18000000.0,-10000000.0,0.0,-8000000.0,-11000000.0,-11000000.0,0.0,-16000000.0,73000000.0,73000000.0,-25000000.0,0.0,-13000000.0,0.0,-26000000.0,0.0,16000000.0,-407000000.0,-2992000000.0,16823000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-3605000000000.0,0.0,0.0,0.0,0.0,-1026000000000.0,0.0,-167000000000.0,0.0,-1487000000000.0,0.0,-2308000000000.0,0.0,-4057000000000.0,0.0,-121029000000.0,-98841000000.0,-186831000000.0,-84427538322.01,-10988000000.0,-22996000000.0,-43516000000.0,-80509000000.0,-2288825045640.45,-4375000001400.0,-7682692311380.0,-2269638297373.02,0.0,-1472610096576.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6199000000000.0,0.0,202000000000.0,0.0,53000000000.0,0.0,26304000000.0,24820000000.0,39835000000.0,11806142582.13,5120000000.0,23157000000.0,0.0,0.0,1504099094258.32,7895833335860.0,5115384617840.0,1074652482033.08,0.0,2944146079296.0
,otherInvestingActivites,234000000000.0,0.0,0.0,0.0,0.0,2179000000000.0,0.0,114000000000.0,0.0,-1917000000000.0,0.0,-731000000000.0,0.0,1741000000000.0,0.0,-2618000000.0,-624161000000.0,-108490000000.0,-64224664261.42,0.0,0.0,0.0,0.0,1129407868826.77,260416666750.0,125000000060.0,-149773049612.44,0.0,57286072320.0
