date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-61373000.0,-90433000.0,10617000.0,32934000.0,26986000.0,36322000.0,33255000.0,38043000.0,21868000.0,10108000.0,-5891000.0,32212000.0,10977000.0,6595000.0,1842000.0,4718000.0,7554000.0,17681000.0,15297000.0,12534000.0,-20856000.0,-2400000.0,-13100000.0,1100000.0,7500000.0,2900000.0
,depreciationAndAmortization,21348000.0,21396000.0,25295000.0,24713000.0,24137000.0,23093000.0,23352000.0,20035000.0,18566000.0,17073000.0,10838000.0,2801000.0,2153000.0,2192000.0,2284000.0,1725000.0,1417000.0,1496000.0,4992000.0,6228000.0,6631000.0,6800000.0,5600000.0,3200000.0,1600000.0,1500000.0
,deferredIncomeTax,-59777000.0,-49317000.0,-30898000.0,13795000.0,-5810000.0,-2099000.0,-13896000.0,-7008000.0,-6164000.0,-15269000.0,-1574000.0,1413000.0,-3806000.0,-163000.0,-1656000.0,-660000.0,1365000.0,625000.0,559000.0,0.0,0.0,300000.0,-6600000.0,700000.0,4000000.0,1800000.0
,stockBasedCompensation,103068000.0,80909000.0,63862000.0,53313000.0,40821000.0,30054000.0,19205000.0,12869000.0,11506000.0,9028000.0,6745000.0,4673000.0,3532000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,389120000.0,-151171000.0,90517000.0,50649000.0,-54017000.0,28229000.0,3676000.0,35887000.0,34169000.0,17772000.0,-116608000.0,29472000.0,-467000.0,12318000.0,16336000.0,12013000.0,22901000.0,20478000.0,18344000.0,13399000.0,1858000.0,9100000.0,-29900000.0,28400000.0,29900000.0,-6000000.0
,accountsReceivables,-32321000.0,1088000.0,25779000.0,23814000.0,-56730000.0,-62235000.0,6209000.0,-28316000.0,-35405000.0,-18504000.0,-23935000.0,3405000.0,3121000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,37945000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,516775000.0,127655000.0,278826000.0,188309000.0,137660000.0,191677000.0,163448000.0,159772000.0,123885000.0,89716000.0,71944000.0,188552000.0,159080000.0,159547000.0,147229000.0,130893000.0,118880000.0,95979000.0,75501000.0,57157000.0,43758000.0,41900000.0,32800000.0,62700000.0,34300000.0,4400000.0
,otherNonCashItems,63484000.0,43128000.0,15593000.0,-1383000.0,-1382000.0,822000.0,-747000.0,1670000.0,3357000.0,58000.0,0.0,0.0,0.0,-721000.0,1026000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200000.0
,netCashProvidedByOperatingActivites,-563000.0,-42165000.0,104356000.0,158235000.0,39874000.0,62528000.0,99889000.0,80703000.0,43579000.0,39815000.0,18414000.0,49581000.0,38399000.0,25347000.0,19844000.0,25295000.0,7551000.0,21003000.0,27100000.0,15893000.0,-11201000.0,6300000.0,-20000000.0,-10000000.0,-2900000.0,800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-25369000.0,-10608000.0,-11893000.0,-13741000.0,-19088000.0,-11020000.0,-11463000.0,-5598000.0,-23610000.0,-9835000.0,-5748000.0,-6043000.0,-4050000.0,-2698000.0,-2434000.0,-2236000.0,-1109000.0,-382000.0,-1006000.0,-561000.0,-2626000.0,-2800000.0,-7500000.0,-4500000.0,-2000000.0,-1400000.0
,acquisitionsNet,0.0,-11000000.0,-1000000.0,0.0,-49000000.0,-2000000.0,-4000000.0,-26000000.0,0.0,0.0,-109000000.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-326549000.0,-11424000.0,-69494000.0,-27718000.0,-23969000.0,-75702000.0,-55520000.0,-60648000.0,-20204000.0,-57249000.0,-73619000.0,-79447000.0,-194474000.0,-109323000.0,-94012000.0,-44427000.0,-163777000.0,-46226000.0,-6053000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,30235000.0,103040000.0,33991000.0,26997000.0,84998000.0,43941000.0,33244000.0,27814000.0,24576000.0,21696000.0,195686000.0,67327000.0,185558000.0,87174000.0,85675000.0,26475000.0,106603000.0,32324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34000.0,157000.0,475000.0,-354000.0,100000.0,0.0,-10000000.0,0.0,0.0
,netCashUsedForInvestingActivites,-321683000.0,70074000.0,-48196000.0,-14759000.0,-7172000.0,-44452000.0,-37657000.0,-63997000.0,-19238000.0,-45388000.0,6841000.0,-18163000.0,-13764000.0,-24847000.0,-10771000.0,-20188000.0,-58283000.0,-14318000.0,-7475000.0,-86000.0,-2980000.0,-2600000.0,-7500000.0,-14500000.0,-2000000.0,-1400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
