date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,232466000.0,220453000.0,193674000.0,188622000.0,165397000.0,134573000.0,131288000.0,124306000.0,114418000.0,115530000.0,119150000.0,113176000.0,106190000.0,90355000.0,80884000.0,84752000.0,74901000.0,63481000.0,58051000.0,48782000.0,44227000.0,40114000.0,25100000.0,2904761.0,2767951.0,2111429.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,91038000.0,86173000.0,77206000.0,68140000.0,63604000.0,55227000.0,48589000.0,45367000.0,42164000.0,40686000.0,43184000.0,41929000.0,32263000.0,32864000.0,30839000.0,28511000.0,25128000.0,20676000.0,18491000.0,17262000.0,14996000.0,14898000.0,8500000.0,6113083.0,5457151.0,5296717.0
,SellingAndMarketingExpenses,1253000.0,1945000.0,1437000.0,1675000.0,1672000.0,1586000.0,2025000.0,2088000.0,2034000.0,2409000.0,2700000.0,2633000.0,2348000.0,1825000.0,1573000.0,1625000.0,1473000.0,1081000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,186000000.0,155000000.0,136000000.0,118000000.0,99000000.0,94000000.0,95000000.0,98000000.0,107000000.0,116000000.0,166000000.0,139000000.0,129000000.0,110000000.0,89000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,41155000.0,60453000.0,39562000.0,24966000.0,17647000.0,10874000.0,8937000.0,9657000.0,15446000.0,20111000.0,25895000.0,40443000.0,55358000.0,64650000.0,53104000.0,33632000.0,21817000.0,16224000.0,17346000.0,22831000.0,21720000.0,20241000.0,13000000.0,10521251.0,9695746.0,9113989.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1025000.0,1182000.0,594000.0,654000.0,734000.0,415000.0,464000.0,288000.0,3067000.0,577000.0,1062000.0,1062000.0,4460000.0,5794000.0,5302000.0,9337000.0,7977000.0,8664000.0,4918000.0,2233000.0,2171000.0,2897000.0,1600000.0,907306.0,813648.0,894065.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,74777000.0,93944000.0,80289000.0,80049000.0,62839000.0,48648000.0,46288000.0,37419000.0,31838000.0,28563000.0,29336000.0,-13173000.0,22389000.0,26189000.0,24437000.0,29805000.0,24114000.0,22194000.0,13964000.0,15976000.0,14700000.0,8114000.0,8600000.0,7869761.0,7695650.0,7082853.0
,incomeBeforeTaxRatio,0.32166854507756,0.426140719337002,0.414557452213513,0.4243884594586,0.379928293741724,0.361498963387901,0.352568399244409,0.301023281257542,0.278260413571291,0.247234484549468,0.246210658833403,-0.116393935109917,0.210839062058574,0.289845608986774,0.302124029474309,0.351673116858599,0.321944967356911,0.3496164206613,0.240547105131695,0.327497847566725,0.332376150315418,0.20227352046667,0.342629482071713,2.70926282747531,2.78026959292271,3.35453050990585
,incomeTaxExpense,17259000.0,23272000.0,16888000.0,27469000.0,21321000.0,16167000.0,15159000.0,12450000.0,10096000.0,8712000.0,10125000.0,-7777000.0,7224000.0,8201000.0,7460000.0,9584000.0,7619000.0,7087000.0,3887000.0,4953000.0,4695000.0,2714000.0,2900000.0,2696636.0,2634310.0,2286673.0
