date,,2020-02-29_FY,2019-03-02_FY,2018-03-03_FY,2017-03-04_FY,2016-02-27_FY,2015-02-28_FY,2014-03-01_FY,2013-03-02_FY,2012-03-03_FY,2011-02-26_FY,2010-02-27_FY,2009-02-28_FY,2008-03-01_FY,2007-03-03_FY,2006-03-04_FY,2005-02-26_FY,2004-02-28_FY,2003-03-01_FY,2002-03-02_FY,2001-03-03_FY,2000-02-26_FY,1999-02-27_FY,1998-02-28_FY,1997-03-01_FY,1996-03-02_FY,1995-03-04_FY,1994-02-26_FY,1993-02-28_FY,1992-02-29_FY,1991-02-28_FY,1990-02-28_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-452174000.0,-422213000.0,943470000.0,4053000.0,165465000.0,2109173000.0,249000000.0,118000000.0,-369000000.0,-555000000.0,-507000000.0,-2915420000.0,-1079000000.0,27000000.0,1273000000.0,302000000.0,83000000.0,-112000000.0,-828000000.0,-1589000000.0,-1143000000.0,144000000.0,316400000.0,115000000.0,159000000.0,141000000.0,9000000.0,132400000.0,124000000.0,107300000.0,102100000.0
,depreciationAndAmortization,328277000.0,357882000.0,386057000.0,407366000.0,361134000.0,416628000.0,403700000.0,414100000.0,440600000.0,505500000.0,534200000.0,586208000.0,472500000.0,270300000.0,249800000.0,246700000.0,264600000.0,285300000.0,349800000.0,384100000.0,501000000.0,302600000.0,274200000.0,168100000.0,118700000.0,98600000.0,95700000.0,98300000.0,93500000.0,93300000.0,84400000.0
,deferredIncomeTax,385904000.0,95638000.0,260411000.0,35038000.0,79488000.0,-1726487000.0,0.0,0.0,0.0,0.0,0.0,307789000.0,805200000.0,-13400000.0,-1211600000.0,-179500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,16087000.0,12115000.0,25793000.0,23482000.0,37948000.0,23390000.0,16194000.0,17717000.0,15861000.0,17336000.0,23794000.0,0.0,40439000.0,22331000.0,20261000.0,19020000.0,29821000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-724406000.0,387358000.0,-788814000.0,506208000.0,-182926000.0,-41242000.0,-53000000.0,-104000000.0,-56000000.0,-342000000.0,270495000.0,-61495000.0,761000000.0,621000000.0,-593000000.0,-559000000.0,217000000.0,152000000.0,-431000000.0,1063000000.0,781000000.0,-1495400000.0,8400000.0,764000000.0,39000000.0,33000000.0,-48000000.0,-131800000.0,-139000000.0,-130800000.0,-55400000.0
,accountsReceivables,486563000.0,-75844000.0,-349481000.0,-166765000.0,291659000.0,-25902000.0,-28051000.0,82721000.0,-48781000.0,-10955000.0,-555000000.0,0.0,85000000.0,-39543000.0,180000000.0,150000000.0,-94486000.0,6000000.0,-78000000.0,252000000.0,-6000000.0,-585000000.0,0.0,-124000000.0,-7000000.0,-54000000.0,10000000.0,0.0,0.0,0.0,0.0
,inventory,15141000.0,-44645000.0,18835000.0,-133543000.0,181958000.0,129985000.0,56557000.0,130100000.0,-169935000.0,35111000.0,181542000.0,196517000.0,16811000.0,-37275000.0,-63445000.0,-68063000.0,-48014000.0,67000000.0,183000000.0,199000000.0,249000000.0,168000000.0,-624600000.0,-1166000000.0,-101000000.0,-226000000.0,19000000.0,-71300000.0,-62500000.0,-57100000.0,-26300000.0
,accountsPayables,-92062000.0,125925000.0,211511000.0,29528000.0,-21187000.0,-169952000.0,-100774000.0,-68000.0,146302000.0,156116000.0,-194655000.0,0.0,-115624000.0,14219000.0,71641000.0,-26511000.0,-17162000.0,88000000.0,53000000.0,875000000.0,-315000000.0,-272000000.0,0.0,-329000000.0,1000000.0,-99000000.0,1000000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,934178000.0,1658584000.0,1271226000.0,2060040000.0,1553832000.0,1736758000.0,1778000000.0,1831000000.0,1935000000.0,1991000000.0,2333000000.0,2062505000.0,2124000000.0,1363000000.0,742000000.0,1335000000.0,1894000000.0,1677000000.0,1525000000.0,1956000000.0,893000000.0,112000000.0,1607400000.0,1599000000.0,835000000.0,796000000.0,763000000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,42843000.0,418239000.0,-1246542000.0,107464000.0,337220000.0,41945000.0,172700000.0,64400000.0,329500000.0,294900000.0,298500000.0,2359888000.0,169200000.0,122800000.0,151200000.0,81400000.0,89200000.0,108200000.0,456100000.0,836600000.0,154700000.0,163000000.0,0.0,63500000.0,13700000.0,10900000.0,149700000.0,101200000.0,84100000.0,67300000.0,-10400000.0
,netCashProvidedByOperatingActivites,487021000.0,-228665000.0,266344000.0,232117000.0,1014908000.0,648959000.0,702000000.0,819600000.0,266500000.0,395800000.0,-325100000.0,359910000.0,79400000.0,309100000.0,417200000.0,518400000.0,227500000.0,305400000.0,16300000.0,-700800000.0,-410700000.0,94900000.0,691600000.0,226300000.0,148600000.0,190200000.0,222700000.0,200100000.0,162600000.0,137100000.0,120700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-214386000.0,-196778000.0,-185879000.0,-424289000.0,-541347000.0,-539386000.0,-333870000.0,-315846000.0,-215004000.0,-162287000.0,-183858000.0,-541346000.0,-687529000.0,-334485000.0,-287785000.0,-190792000.0,-250668000.0,-116200000.0,-187400000.0,-141500000.0,-525000000.0,-871800000.0,-801000000.0,-397500000.0,-331000000.0,-197100000.0,-175000000.0,-125500000.0,-88300000.0,-109900000.0,-103100000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-1778377000.0,-70000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2306774000.0,-18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,15494000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
