Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Revenue,4046451374.8191,3021396916.5659,19990000000.0,1273453851.6919,8844000000.0,809786935.7572,5256000000.0,494961898.6116,3066000000.0,000000.0
Revenue Growth,0.3393,1.3726,,0.5726,,0.6361,,,,
Cost of Revenue,3837893198.2634,2948006499.3954,19504000000.0,1350117638.5889,9377000000.0,892113387.7677,5791000000.0,555450435.9057,3440000000.0,000000.0
Gross Profit,208558176.5557,73390417.1705,486000000.0,-76663786.897,-532000000.0,-82326452.0105,-534000000.0,-60488537.2942,-375000000.0,000000.0
R&D Expenses,26712156.2952,21011033.8573,,11566018.7185,,7114004.0055,,4302227.9625,,
SG&A Expense,277066570.1881,245320435.3083,1623000000.0,128330309.5752,891000000.0,87708981.6669,569000000.0,58943655.1501,365000000.0,000000.0
Operating Expenses,308217510.8538,269128778.7183,1762000000.0,126144708.4233,972000000.0,85563549.5301,554000000.0,56909428.4792,392000000.0,000000.0
Operating Income,-99659334.2981,-195738361.5478,-1276000000.0,-202808495.3204,-1504000000.0,-167890001.5406,-1088000000.0,-117397965.7733,-766000000.0,000000.0
Interest Expense,10862518.0897,7127267.231,47000000.0,3078329.7336,21000000.0,1608226.7755,10000000.0,1291088.1498,8000000.0,000000.0
Earnings before Tax,-71794645.4414,-184104746.0701,,-196243340.5328,,-163217223.8484,,-23471262.5121,,
Income Tax Expense,1720260.492,1489721.8863,10000000.0,82073.4341,1000000.0,0.0,000000.0,0.0,000000.0,000000.0
Net Income - Non-Controlling int,58321.2735,25241.838,,0.0,,0.0,,-92521795.2858,,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,
Net Income,-73514905.9334,-185594467.9565,-1228000000.0,-196325413.9669,-1363000000.0,-163217223.8484,-1059000000.0,-23471262.5121,-718000000.0,000000.0
Preferred Dividends,0.0,0.0,,1222993520.5184,,1322743799.1065,,185043590.5715,,
Net Income Com,-73514905.9334,-185594467.9565,-1228000000.0,-807822174.2261,-1363000000.0,-824589123.4016,-1059000000.0,-208514853.0836,-718000000.0,000000.0
EPS,-0.191,-1.2515,-8.28,-13.4644,-15.20,-13.7436,324,-3.4759,324,
EPS Diluted,-0.191,-1.2515,-8.28,-13.4644,-15.20,-13.7436,324,-3.4759,324,
Weighted Average Shs Out,54198900.0,55779080.8646,148000000.0,8639308.8553,369000000.0,9243568.0173,,9686793.6713,,
Weighted Average Shs Out (Dil),8639308.8553,9243568.0173,148000000.0,9686793.6713,369000000.0,,,,,
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,
Gross Margin,0.0515,0.0243,0.024312156078039,-0.0602,-0.060153776571687,-0.1017,-0.10159817351598,-0.1222,-0.12230919765166,
EBITDA Margin,0.0001,-0.006,-0.04032016008004,-0.0179,-0.12381275440977,-0.0265,-0.17161339421613,-0.0027,-0.20384866275277,
EBIT Margin,-0.0151,-0.0586,-0.058579289644822,-0.1517,-0.15162822252374,-0.1996,-0.19958143074581,-0.0448,-0.23157208088715,
Profit Margin,-0.0026,-0.0092,-0.061430715357679,-0.0913,-0.1541157847128,-0.1568,-0.20148401826484,-0.068,-0.23418134377038,
Free Cash Flow margin,-0.0698,-0.0701,,-0.1525,,-0.1383,,-0.1711,,
EBITDA,5871345.8755,-121973095.526,-806000000.0,-157699064.0749,-1095000000.0,-138918656.6014,-902000000.0,-8462060.0581,-625000000.0,000000.0
EBIT,-60932127.3517,-176977478.8392,-1171000000,-193165010.7991,-1341000000,-161608997.0729,-1049000000,-22180174.3623,-710000000,0
Consolidated Income,-73573227.2069,-185619709.7944,-1228000000.0,-196325413.9669,-1363000000.0,-163217223.8484,-1059000000.0,-115993057.7979,-718000000.0,000000.0
Earnings Before Tax Margin,-0.0177,-0.0609,0,-0.1541,0,-0.2016,0,-0.0474,0,
Net Profit Margin,-0.0182,-0.0614,-0.061430715357679,-0.1542,-0.1541157847128,-0.2016,-0.20148401826484,-0.0474,-0.23418134377038,
