date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,revenue,11370000000.0,10829000000.0,11687000000.0,11207000000.0,10183000000.0,10231000000.0,11035000000.0,10557000000.0,9647000000.0,10036000000.0,9003000000.0,8106000000.0,10758000000.0,11438000000.0,11761000000.0,11737000000.0,9410000000.0,7887000000.0,6020000000.0,8029000000.0,7037000000.0,5360000000.0,5481000000.0
,costOfRevenue,6328000000.0,6137000000.0,7273000000.0,6951000000.0,6824000000.0,6648000000.0,7689000000.0,7186000000.0,6613000000.0,4146000000.0,3783000000.0,3258000000.0,5997000000.0,3462000000.0,3477000000.0,3856000000.0,3169000000.0,2612000000.0,1678000000.0,3282000000.0,2925000000.0,1700000000.0,937000000.0
,grossProfit,5042000000.0,4692000000.0,4414000000.0,4256000000.0,3359000000.0,3583000000.0,3346000000.0,3371000000.0,3034000000.0,5890000000.0,5220000000.0,4848000000.0,4761000000.0,7976000000.0,8284000000.0,7881000000.0,6241000000.0,5275000000.0,4342000000.0,4747000000.0,4112000000.0,3660000000.0,4544000000.0
,grossProfitRatio,0.443447669305189,0.433281004709576,0.3776846068281,0.379762648344785,0.329863497986841,0.350210145635813,0.303217036701405,0.319314199109596,0.31450191769462,0.586887206058191,0.579806731089637,0.598075499629904,0.4425543781372,0.697324707116629,0.704361873990307,0.671466303143904,0.663230605738576,0.668822112336757,0.721262458471761,0.591231784780172,0.584339917578514,0.682835820895522,0.829045794563036
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73000000.0,56000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-133000000.0,-139000000.0,-24000000.0,12000000.0,17000000.0,-1000000.0,28000000.0,4000000.0,24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
