date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-28695041.0,-35131015.0,-108042868.0,-22908721.0,-86494893.0,-26730490.0,-16419807.728753,-6339632.033209,-353194.013047,-3780779.627816,-2630464.12574,-4274934.581224,-28150834.018077,-7907658.285368
,depreciationAndAmortization,768101.0,641621.0,384126.0,534545.0,755734.0,503709.0,323734.989577,255134.911765,136571.072445,97331.047992,123098.304271,192530.799351,1909499.589154,207463.394931
,deferredIncomeTax,-524057.0,28793.0,107093.0,484428.0,200523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,4905812.0,3189808.0,3292877.0,2484542.0,1810111.0,4114165.0,8196682.631842,1843947.519183,2378127.921353,0.0,510020.396737,242380.861427,318290.879211,0.0
,changeInWorkingCapital,-767732.0,1831473.0,1124891.0,-112067771.0,-2427075.0,821165.0,83723.274124,-157680.062361,412522.742579,48233.104799,-617388.217885,-243565.084519,-256725.554643,449124.507725
,accountsReceivables,-271361.0,-133153.0,198331.0,1907768.0,-1362272.0,-468478.0,-531126.923143,-363011.730233,-168600.66544,-72165.523996,-219423.892177,26415.815108,417451.109285,0.0
,inventory,-220822.0,-359908.0,139814.0,-174392.0,-470.0,-269605.0,7611.598298,-275053.76748,109396.58032,165495.592556,-65424.532075,-59922.643492,-480168.447001,218730.68767
,accountsPayables,0.0,0.0,0.0,-1046664.0,-842360.0,1527656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,-2150000.0,0.0,-112519117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-615.031993,-22636.811832,0.0
,otherNonCashItems,3451647.0,242849.0,47084295.0,2996181.0,-177761.0,-606955.0,-182468.17015,-2160.090912,-18187.026929,1664197.84525,510020.396737,242380.861427,264551.355793,748164.192669
,netCashProvidedByOperatingActivites,-29441856.0,-23972126.0,-22794748.0,-138613946.0,-39794159.0,-21282958.0,-7688564.512517,-4398229.664622,-2048028.306344,-1971017.629775,-2604823.228283,-4083588.004966,-6966152.83484,-6502906.190043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-341767.0,-243501.0,-190382.0,-505667.0,-656170.0,-2143128.0,-1075904.07112,-977852.493966,-314210.46812,-162140.058766,-113956.766917,-48974.309999,-39248.151191,-547627.991518
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-10337162.965388,0.0,0.0,-1473349.657199,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512107.596273,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-7586.0,-23138.0,904134.0,70002520.0,-2708020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-349353.0,-266639.0,713752.0,69496853.0,-3364190.0,7179364.0,-11413067.036507,-653968.462673,5473298.9556,-1635489.715965,-108167.693169,-48974.309999,-92027.937551,-547627.991518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-8324437.0,-513137.0,0.0,0.0,0.0,-164364.0,-35674.413797,-37558.345934,-38787.531538,-245418.217434,-37566.989282,-40275.045363,-316677.896467,0.0
,commonStockIssued,40397547.0,19601526.0,0.0,0.0,7054660.0,69879210.0,21230250.848509,0.0,0.0,4581426.052889,1510899.256119,1890636.997421,6763424.815119,7322448.752903
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,1328338.0,0.0,0.0,65343747.0,63000.0,0.0,0.0,0.0,41052.240081,8971.596474,0.0,0.0,0.0,-5471.069373
,netCashUsedProvidedByFinancingActivities,37434236.0,20288789.0,13816648.0,65578699.0,7129852.0,70804938.0,21359906.448667,2744048.949538,49302.895972,4503160.626836,3877183.650616,1852865.055869,6446870.172555,7599528.42573
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,-1909020.0,3956897.0,-6868734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,7643027.0,-3949976.0,-8264348.0,-5447414.0,-32071600.0,49832610.0,2258274.899644,-2308149.177756,3474573.545228,896653.281097,1164192.729163,-2279697.259097,-611310.599836,548994.244169
,cashAtEndOfPeriod,12935860.0,5292833.0,9242809.0,17507157.0,22954571.0,55026171.0,5190128.869976,3196438.667506,5891579.465838,2355053.868756,1275542.913134,106358.513991,2052949.055053,3274163.384833
,cashAtBeginningOfPeriod,5292833.0,9242809.0,17507157.0,22954571.0,55026171.0,5193561.0,2931853.970332,5504587.845262,2417005.92061,1458400.587659,111350.183971,2386055.773088,2664259.654889,2725169.140664
