Date,2018-12-31,2017-12-31
Depreciation & Amortization,1409000.0,1205000.0
Stock-based compensation,1419000.0,409000.0
Operating Cash Flow,-34700000.0,-25096000.0
Capital Expenditure,-1764000.0,-1377000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,22422000.0,-7592000.0
Investing Cash flow,20658000.0,-8969000.0
Issuance (repayment) of debt,-48000.0,-60000.0
Issuance (buybacks) of shares,46000.0,16000.0
Dividend payments,0.0,0.0
Financing Cash Flow,120304000.0,34289000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,106262000.0,224000.0
Free Cash Flow,-36464000.0,-26473000.0
Net Cash/Marketcap,0.2079,0.2079
