Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Cash and cash equivalents,23964000.0,24000000.0,45511000.0,46000000.0,34646000.0,35000000.0,11411000.0,11000000.0,7000000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,
Cash and short-term investments,23964000.0,,45511000.0,,34646000.0,,11411000.0,,
Receivables,50474000.0,50000000.0,46430000.0,46000000.0,38773000.0,39000000.0,33937000.0,34000000.0,33000000.0
Inventories,71424000.0,71000000.0,61897000.0,62000000.0,62002000.0,62000000.0,52617000.0,53000000.0,39000000.0
Total current assets,153704000.0,219000000.0,159985000.0,224000000.0,155241000.0,219000000.0,105313000.0,197000000.0,205000000.0
Property Plant & Equipment Net,49200000.0,49000000.0,50714000.0,51000000.0,38318000.0,38000000.0,4220000.0,4000000.0,3000000.0
Goodwill and Intangible Assets,121814000.0,141000000,121814000.0,145000000,121814000.0,155000000,163423000.0,164000000,186000000
Long-term investments,0.0,,0.0,,0.0,,0.0,,
Tax assets,10064000.0,000000.0,18567000.0,000000.0,-4226000.0,000000.0,3437000.0,3000000.0,9000000.0
Total non-current assets,219423000.0,77000000.0,223540000.0,78000000.0,219271000.0,40000000.0,197315000.0,9000000.0,34000000.0
Total assets,373127000.0,373000000.0,383525000.0,384000000.0,374512000.0,375000000.0,302628000.0,303000000.0,297000000.0
Payables,20495000.0,20000000.0,15367000.0,15000000.0,22483000.0,22000000.0,14018000.0,14000000.0,17000000.0
Short-term debt,1122000.0,000000.0,973000.0,000000.0,284000.0,000000.0,0.0,000000.0,24000000.0
Total current liabilities,54064000.0,54000000.0,44081000.0,44000000.0,47833000.0,48000000.0,35583000.0,36000000.0,75000000.0
Long-term debt,33812000.0,39000000.0,34933000.0,37000000.0,34140000.0,000000.0,0.0,000000.0,20000000.0
Total debt,34934000.0,39000000.0,35906000.0,37000000.0,34424000.0,000000.0,0.0,000000.0,20000000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,
Tax Liabilities,0.0,3000000.0,0.0,5000000.0,0.0,5000000.0,0.0,8000000.0,14000000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,
Total non-current liabilities,37488000.0,77000000.0,40982000.0,78000000.0,40017000.0,40000000.0,8591000.0,9000000.0,34000000.0
Total liabilities,130728000.0,131000000.0,121957000.0,122000000.0,87850000.0,88000000.0,44174000.0,44000000.0,109000000.0
Other comprehensive income,490701000,1000000.0,474378000,-2000000.0,454153000,2000000.0,386795000,2000000.0,-1000000.0
Retained earnings (deficit),-249221000.0,-249000000.0,-211081000.0,-211000000.0,-169421000.0,-169000000.0,-130205000.0,-130000000.0,-71000000.0
Total shareholders equity,242399000.0,242000000.0,261568000.0,262000000.0,286662000.0,287000000.0,258454000.0,258000000.0,188000000.0
Investments,0.0,,0.0,,0.0,,0.0,,
Net Debt,10970000.0,15000000,-9605000.0,-9000000,-222000.0,-35000000,-11411000.0,-11000000,37000000
Other Assets,0.0,34000000,0.0,31000000,0.0,43000000,0.0,30000000,15000000
Other Liabilities,39176000.0,10000000,36894000.0,13000000,0.0,13000000,0.0,11000000,28000000
