Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Revenue,1681285.9155,1365117.7778,1073997.6923,745403.5741,772249.6148,923776.8362
Revenue Growth,0.231605025472257,0.271062114553112,0.440827129916495,-0.0347634238794055,-0.164030115783499,
Cost of Revenue,469979.5775,310142.963,259650.7692,424559.1958,392373.6518,444446.3277
Gross Profit,1211306.338,1054974.8148,814346.9231,320844.3783,379875.963,479330.5085
R&D Expenses,735583.0986,1672017.7778,3562056.9231,2698407.2971,2325342.0647,1214383.2392
SG&A Expense,4139980.2817,3036511.1111,3370285.3846,1656746.0908,763040.832,720308.8512
Operating Expenses,4848511.9718,4638034.8148,7221172.3077,6475857.0365,3679445.3005,3149632.7684
Operating Income,-3637205.6338,-3583060.0,-6406825.3846,-6155012.6582,-3299569.3374,-2670302.2599
Interest Expense,0.0,17925.1852,68964.6154,254355.9196,0.0,436614.8776
Earnings before Tax,-3262495.0704,-2230317.7778,-5233964.6154,-5263415.4877,-2073821.2635,-2349405.838
Income Tax Expense,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-3262495.0704,-2230317.7778,-5233964.6154,-5263415.4877,-2073821.2635,-2349405.838
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-3262495.0704,-2230317.7778,-5233964.6154,-5263415.4877,-2073821.2635,-2349405.838
EPS,-0.9014,-0.6667,-1.9692,-2.7543,-1.1071,-2.2401
EPS Diluted,-0.9014,-0.6667,-1.9692,-2.7543,-1.1071,-2.2401
Weighted Average Shs Out,100548032.3944,96326975.5556,103655790.7692,100336953.0901,,
Weighted Average Shs Out (Dil),100548032.3944,96326975.5556,103655790.7692,100336953.0901,,
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.7205,0.7728,0.7582,0.4304,0.4919,0.5189
EBITDA Margin,-1.3662,-1.2007,-3.6992,-5.0037,-2.0686,-1.9501
EBIT Margin,-1.9405,-1.6207,-4.8091,-6.7199,-2.6854,-2.0706
Profit Margin,-1.3662,-1.2104,-3.7485,-5.2576,-2.0686,-2.3945
Free Cash Flow margin,-0.7542,-1.9052,-4.9765,-5.1552,-3.0169,-2.718
EBITDA,-3262495.0704,-2212392.5926,-5165000.0,-5009059.5681,-2073821.2635,-1912790.9605
EBIT,-3262495.0704,-2212392.5926,-5165000.0,-5009059.5681,-2073821.2635,-1912790.9605
Consolidated Income,-3262495.0704,-2230317.7778,-5233964.6154,-5263415.4877,-2073821.2635,-2349405.838
Earnings Before Tax Margin,-1.9405,-1.6338,-4.8733,-7.0612,-2.6854,-2.5433
Net Profit Margin,-1.9405,-1.6338,-4.8733,-7.0612,-2.6854,-2.5433
