Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,0.0,0.0,0.0
Stock-based compensation,0.0,0.0,0.0
Operating Cash Flow,-774247090.0,-697373811.0,-100765804.0
Capital Expenditure,0.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0
Investing Cash flow,0.0,0.0,0.0
Issuance (repayment) of debt,183880090.0,385873952.0,58002226.0
Issuance (buybacks) of shares,524266868.0,392735221.0,109817646.0
Dividend payments,-40971158.0,-7756454.0,0.0
Financing Cash Flow,667086282.0,770852719.0,167497958.0
Effect of forex changes on cash,-486805.0,707082.0,0.0
Net cash flow / Change in cash,-107160808.0,73478908.0,66732154.0
Free Cash Flow,-774247090.0,-697373811.0,-100765804.0
Net Cash/Marketcap,,,
