Date,2018-12-31,2017-12-31
Revenue,78713000.0,45137000.0
Revenue Growth,0.743868666504198,
Cost of Revenue,0.0,0.0
Gross Profit,78713000.0,45137000.0
R&D Expenses,0.0,0.0
SG&A Expense,39425000.0,27075000.0
Operating Expenses,48314000.0,30706000.0
Operating Income,30399000.0,14431000.0
Interest Expense,0.0,0.0
Earnings before Tax,30399000.0,14431000.0
Income Tax Expense,8066000.0,6788000.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,22333000.0,7643000.0
Preferred Dividends,0.0,0.0
Net Income Com,22333000.0,7643000.0
EPS,1.35,0.83
EPS Diluted,1.31,0.79
Weighted Average Shs Out,,
Weighted Average Shs Out (Dil),16543000.0,9224000.0
Dividend per Share,0.0,0.0
Gross Margin,1.0,1.0
EBITDA Margin,0.401,0.344
EBIT Margin,0.3862,0.3197
Profit Margin,0.284,0.169
Free Cash Flow margin,-0.0728,-0.429
EBITDA,31577000.0,15534000.0
EBIT,30399000.0,14431000.0
Consolidated Income,22333000.0,7643000.0
Earnings Before Tax Margin,0.3862,0.3197
Net Profit Margin,0.2837,0.1693
