Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,342000.0,278000.0,280000.0
Stock-based compensation,381000.0,1318000.0,1818000.0
Operating Cash Flow,-8736000.0,-5345000.0,-3317000.0
Capital Expenditure,-44000.0,-117000.0,-39000.0
Acquisitions and disposals,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0
Investing Cash flow,-369000.0,-153000.0,-52000.0
Issuance (repayment) of debt,0.0,-63000.0,-1308000.0
Issuance (buybacks) of shares,9333000.0,7600000.0,5601000.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,9362000.0,7450000.0,4593000.0
Effect of forex changes on cash,-54000.0,251000.0,25000.0
Net cash flow / Change in cash,257000.0,1952000.0,1224000.0
Free Cash Flow,-8780000.0,-5462000.0,-3356000.0
Net Cash/Marketcap,,,
