date,,2020-06-28_FY,2019-06-30_FY,2018-07-01_FY,2017-07-02_FY,2016-07-03_FY,2015-06-28_FY,2014-06-29_FY,2013-06-30_FY,2012-07-01_FY,2011-07-03_FY,2010-06-27_FY,2009-06-28_FY,2008-06-29_FY,2007-07-01_FY,2006-07-02_FY,2005-07-03_FY,2004-06-27_FY,2003-06-29_FY,2002-06-30_FY,2001-07-01_FY,2000-07-02_FY,1999-06-30_FY,1998-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,58998000.0,34766000.0,40791000.0,44041000.0,36875000.0,20287000.0,15400000.0,12321000.0,17600000.0,5700000.0,-4200000.0,-98400000.0,21100000.0,17100000.0,3200000.0,7800000.0,40900000.0,12200000.0,-1511000.0,-41300000.0,-66800000.0,-6800000.0,5100000.0
,depreciationAndAmortization,32513000.0,29965000.0,32469000.0,33376000.0,32384000.0,29124000.0,19800000.0,18798000.0,19600000.0,20700000.0,21400000.0,21000000.0,20400000.0,17800000.0,15800000.0,14500000.0,15000000.0,15400000.0,15061000.0,21500000.0,16900000.0,8600000.0,4200000.0
,deferredIncomeTax,-266000.0,2698000.0,-7668000.0,-1649000.0,-3000000.0,2471000.0,1500000.0,-811000.0,7800000.0,2300000.0,-100000.0,-22200000.0,8600000.0,10300000.0,2200000.0,4700000.0,-20800000.0,0.0,0.0,0.0,1300000.0,-1000000.0,300000.0
,stockBasedCompensation,8434000.0,6310000.0,3726000.0,6102000.0,6343000.0,5962000.0,4664000.0,4283000.0,4850000.0,3961000.0,4643000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,22557000.0,27519000.0,15995000.0,86429000.0,14310000.0,13988000.0,614000.0,-12814000.0,11900000.0,-5200000.0,-20700000.0,10200000.0,-17900000.0,10200000.0,-500000.0,-42000000.0,56800000.0,3599000.0,-4099000.0,-54700000.0,-3500000.0,83600000.0,-300000.0
,accountsReceivables,-2804000.0,-822000.0,70000.0,-6220000.0,-4210000.0,8331000.0,-1893000.0,-4108000.0,-3387000.0,-2881000.0,-4516000.0,2100000.0,3600000.0,-3800000.0,-2600000.0,-1600000.0,-1200000.0,1500000.0,0.0,200000.0,900000.0,0.0,0.0
,inventory,-5399000.0,-3536000.0,-12963000.0,-9277000.0,-10216000.0,26390000.0,-2564000.0,-1823000.0,-4041000.0,-5491000.0,733000.0,21400000.0,-5200000.0,-9100000.0,-24300000.0,-9100000.0,800000.0,-4800000.0,-7000.0,-4300000.0,-3100000.0,0.0,0.0
,accountsPayables,398000.0,0.0,5249000.0,9132000.0,-6429000.0,-2235000.0,2660000.0,0.0,2656000.0,6647000.0,6453000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,198298000.0,175741000.0,148222000.0,132227000.0,45798000.0,31488000.0,17500000.0,16886000.0,29700000.0,17800000.0,23000000.0,43700000.0,33500000.0,51400000.0,41200000.0,41700000.0,83700000.0,26900000.0,23301000.0,27400000.0,82100000.0,85600000.0,2000000.0
,otherNonCashItems,14255000.0,953000.0,6312000.0,-5682000.0,11797000.0,37169000.0,5800000.0,903000.0,-500000.0,6400000.0,21100000.0,135000000.0,4400000.0,5700000.0,4900000.0,500000.0,700000.0,500000.0,0.0,1100000.0,2200000.0,-3200000.0,-1900000.0
,netCashProvidedByOperatingActivites,139417000.0,78100000.0,58341000.0,61010000.0,57673000.0,125733000.0,42500000.0,34645000.0,40200000.0,30700000.0,40000000.0,28200000.0,57900000.0,32300000.0,14700000.0,10400000.0,42100000.0,19500000.0,11608000.0,-12600000.0,-34400000.0,-5300000.0,9500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-34703000.0,0.0,-33306000.0,-33653000.0,-33938000.0,-32572000.0,-22985000.0,0.0,-17304000.0,-17000000.0,-15000000.0,-12300000.0,-19900000.0,-18000000.0,-20500000.0,-13300000.0,-10600000.0,-10300000.0,-11994000.0,-15800000.0,-21900000.0,-12000000.0,-25500000.0
,acquisitionsNet,-20500000.0,0.0,-9000000.0,112000000.0,0.0,-131994000.0,-9000000.0,-4000000.0,-4336000.0,-4310000.0,10000000.0,-12000000.0,-37000000.0,1000000.0,-97000000.0,-51000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1176000.0,0.0,-12176000.0,-10735000.0,-15223000.0,-8360000.0,-8309000.0,-903000.0,-7222000.0,-268000.0,-2192000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22798000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6693000.0,0.0,0.0,5400000.0,3800000.0
,otherInvestingActivites,0.0,0.0,3676000.0,122690000.0,15223000.0,69930000.0,8806000.0,117000.0,15981000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495000.0,0.0,0.0,200000.0,-3800000.0
,netCashUsedForInvestingActivites,-56379000.0,-32560000.0,-41806000.0,78302000.0,-33938000.0,-163603000.0,-31500000.0,-24530000.0,-12900000.0,-21500000.0,-6500000.0,-25200000.0,-57700000.0,-16700000.0,-110700000.0,-39900000.0,-9600000.0,-9100000.0,-34641000.0,-35700000.0,-45700000.0,-6400000.0,-25500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-37187000.0,-37188000.0,-186451000.0,-192543000.0,-172983000.0,-127052000.0,-91256000.0,-71000000.0,-2040000.0,-1995000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2618000.0,0.0,0.0,101600000.0,0.0
