Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Revenue,2063000000.0,2377000000.0,24340000000.0,874000000.0,13080000000.0,407000000.0,3802000000.0,3598000000.0,3441000000.0
Revenue Growth,-0.132099284812789,-0.902341824157765,26.8489702517162,-0.933180428134557,31.1375921375921,-0.8929510783798,0.056698165647582,0.045626271432723,
Cost of Revenue,1175000000.0,1249000000.0,17655000000.0,405000000.0,12208000000.0,217000000.0,5176000000.0,4703000000.0,4106000000.0
Gross Profit,793000000.0,998000000.0,6685000000.0,446000000.0,872000000.0,161000000.0,-1373000000.0,-1105000000.0,-665000000.0
R&D Expenses,,,,,,,,,
SG&A Expense,568000000.0,708000000.0,,539000000.0,,433000000.0,,,
Operating Expenses,,,3945000000.0,,2729000000.0,,1558000000.0,1281000000.0,934000000.0
Operating Income,150000000.0,145000000.0,2740000000.0,-150000000.0,-1857000000.0,-357000000.0,-2931000000.0,-2386000000.0,-1599000000.0
Interest Expense,,,1540000000.0,,1442000000.0,,430000000.0,577000000.0,495000000.0
Earnings before Tax,228000000.0,335000000.0,,-129000000.0,,142000000.0,,,
Income Tax Expense,-69000000.0,-31000000.0,441000000.0,50000000.0,-743000000.0,-20000000.0,184000000.0,-154000000.0,-44000000.0
Net Income - Non-Controlling int,,,,,,,,,
Net Income - Discontinued ops,,,,,,,,,
Net Income,,,682000000.0,,-1189000000.0,,1142000000.0,-780000000.0,772000000.0
Preferred Dividends,,,,,,,,,
Net Income Com,158000000.0,305000000.0,682000000.0,-79000000.0,-1189000000.0,122000000.0,1142000000.0,-780000000.0,772000000.0
EPS,6.79,2.73,15.20,,-26.60,,25.40,-17.40,17.80
EPS Diluted,3.56,6.79,15.20,-1.77,-26.60,2.73,25.40,-17.40,17.80
Weighted Average Shs Out,21000000.0,22000000.0,45000000.0,22000000.0,45000000.0,22000000.0,45000000.0,45000000.0,43000000.0
Weighted Average Shs Out (Dil),,,45000000.0,,45000000.0,,45000000.0,45000000.0,43000000.0
Dividend per Share,,,,,,,,,
Gross Margin,0.3844,0.4199,0.27465078060805,0.5103,0.066666666666667,0.3956,-0.36112572330352,-0.3071150639244,-0.19325777390294
EBITDA Margin,,,0.12711585866886,,-0.010550458715596,,0.53577064702788,-0.033351862145636,0.44463818657367
EBIT Margin,,,0.10940838126541,,-0.037461773700306,,0.46186217780116,-0.099221789883268,0.3554199360651
Profit Margin,,,0.028019720624486,,-0.090902140672783,,0.30036822724882,-0.21678710394664,0.22435338564371
Free Cash Flow margin,,,,,,,,,
EBITDA,,,3094000000.0,,-138000000.0,,2037000000.0,-120000000.0,1530000000.0
EBIT,,,2663000000,,-490000000,,1756000000,-357000000,1223000000
Consolidated Income,,,682000000.0,,-1189000000.0,,1142000000.0,-780000000.0,772000000.0
Earnings Before Tax Margin,0.1105,0.1409,0,-0.1476,0,0.3489,0,0,0
Net Profit Margin,,,0.028019720624486,,-0.090902140672783,,0.30036822724882,-0.21678710394664,0.22435338564371
