Date,2018-12-31
Revenue,60791000.0
Revenue Growth,0.0
Cost of Revenue,0.0
Gross Profit,0.0
R&D Expenses,0.0
SG&A Expense,141801000.0
Operating Expenses,141801000.0
Operating Income,57566000.0
Interest Expense,90319000.0
Earnings before Tax,57566000.0
Income Tax Expense,11733000.0
Net Income - Non-Controlling int,0.0
Net Income - Discontinued ops,0.0
Net Income,45833000.0
Preferred Dividends,0.0
Net Income Com,45833000.0
EPS,1.08
EPS Diluted,1.08
Weighted Average Shs Out,42487000.0
Weighted Average Shs Out (Dil),42487000.0
Dividend per Share,0.941464447949
Gross Margin,0.0
EBITDA Margin,0.809050681844
EBIT Margin,0.946949383955
Profit Margin,0.753943840371
Free Cash Flow margin,0.857314405093
EBITDA,49183000.0
EBIT,57566000.0
Consolidated Income,45833000.0
Earnings Before Tax Margin,0.946949383955
Net Profit Margin,0.753943840371
