date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2015-02-18_FY,2014-12-31_FY,2014-02-21_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,733555000.0,751909000.0,739818000.0,581383000.0,487582000.0,695802000.0,1107156000.0,1107156000.0,876561000.0,876561000.0,846109000.0,1398607000.0,1199838000.0,1461687000.0,2148349000.0,1767445000.0,1366924000.0,799472000.0,543392000.0,396269000.0,302705000.0,227141000.0,181014000.0,161000000.0,151900000.0,109400000.0,76100000.0,37500000.0
,costOfRevenue,653646000.0,614071000.0,618134000.0,519217000.0,441066000.0,929576000.0,1526240000.0,763120000.0,1231752000.0,615876000.0,796194000.0,1068015000.0,1166166000.0,1218525000.0,1767681000.0,1253689000.0,851516000.0,516400000.0,371480000.0,304186000.0,248913000.0,160230000.0,94915000.0,103100000.0,93100000.0,68200000.0,48800000.0,25900000.0
,grossProfit,79909000.0,137838000.0,121684000.0,62166000.0,46516000.0,-233774000.0,-419084000.0,344036000.0,-355191000.0,260685000.0,49915000.0,330592000.0,33672000.0,243162000.0,380668000.0,513756000.0,515408000.0,283072000.0,171912000.0,92083000.0,53792000.0,66911000.0,86099000.0,57900000.0,58800000.0,41200000.0,27300000.0,11600000.0
,grossProfitRatio,0.108933890437663,0.183317396121073,0.164478290606609,0.106927791146284,0.0954013888945859,-0.335977763789124,-0.378522990436759,0.310738504781621,-0.405209677364154,0.297395161317923,0.0589935812052584,0.236372333328805,0.0280637886114625,0.166357092865983,0.177190949887565,0.290677220507569,0.377056807840085,0.354073688634499,0.31636829397562,0.232374977603598,0.177704365636511,0.294579138068424,0.475648292397273,0.359627329192547,0.387096774193548,0.376599634369287,0.358738501971091,0.309333333333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,-92520000.0,0.0,-82265000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21325000.0,20800000.0,13200000.0,15800000.0,11200000.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,7434000.0,4471000.0,-1693000.0,2301000.0,6265000.0,-19551000.0,814000.0,17745000.0,6000.0,6587000.0,-625000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,61084000.0,69841000.0,70287000.0,63257000.0,65934000.0,57279000.0,-92520000.0,92520000.0,-82265000.0,82265000.0,94415000.0,99589000.0,122078000.0,130851000.0,826225000.0,101012000.0,116763000.0,61385000.0,48881000.0,35922000.0,32783000.0,21325000.0,51530000.0,33800000.0,25400000.0,18700000.0,0.0,0.0
,costAndExpenses,714730000.0,683912000.0,688421000.0,582474000.0,507000000.0,986855000.0,1433720000.0,855640000.0,1149487000.0,698141000.0,890609000.0,1167604000.0,1288244000.0,1349376000.0,2593906000.0,1354701000.0,968279000.0,577785000.0,420361000.0,340108000.0,281696000.0,181555000.0,146445000.0,136900000.0,118500000.0,86900000.0,62400000.0,33600000.0
,interestExpense,29356000.0,10940000.0,16988000.0,21368000.0,33325000.0,28982000.0,0.0,22645000.0,0.0,34065000.0,48708000.0,97875000.0,86710000.0,51495000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,133709000.0,112720000.0,110522000.0,108745000.0,114187000.0,120401000.0,109345000.0,109345000.0,98535000.0,98535000.0,97201000.0,0.0,317116000.0,262617000.0,341117000.0,338424000.0,195924000.0,113215000.0,104405000.0,70793000.0,44755000.0,34533000.0,30730000.0,20600000.0,9600000.0,7500000.0,5300000.0,2800000.0
