Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,80292000.0,82278000.0,34000000.0,92172000.0,34000000.0,93759000.0,35000000.0,98444000.0,37000000.0,103596000.0,98000000.0,99077000.0,20355000.0
Stock-based compensation,4711000.0,4647000.0,5000000.0,3410000.0,3000000.0,5107000.0,5000000.0,1594000.0,2000000.0,191000.0,0000000.0,171000.0,5799000.0
Operating Cash Flow,50229000.0,28307000.0,28000000.0,48249000.0,48000000.0,41752000.0,42000000.0,53920000.0,54000000.0,37029000.0,37000000.0,45447000.0,17836000.0
Capital Expenditure,4428000.0,7445000.0,-7000000.0,5164000.0,-5000000.0,7339000.0,-7000000.0,5537000.0,-6000000.0,9194000.0,-9000000.0,12485000.0,4322000.0
Acquisitions and disposals,-4763000.0,-2000000.0,000000.0,-0.0,000000.0,-0.0,000000.0,-0.0,-0000000.0,-0.0,000000.0,-0.0,-0.0
Investment purchases and sales,-8168000.0,-4958000.0,0,-38584000.0,-35000000,-3490000.0,-2000000,-448000.0,-1000000,-6348000.0,-1000000,6495000.0,0.0
Investing Cash flow,3200000.0,12555000.0,13000000.0,-42164000.0,-42000000.0,-219261000.0,-219000000.0,-15100000.0,-15000000.0,-6073000.0,-6000000.0,-8044000.0,-4664000.0
Issuance (repayment) of debt,-7387000.0,-8860000.0,-386000000.0,-421000.0,-21000000.0,-23480000.0,-490000000.0,-4685000.0,-334000000.0,-0.0,-5000000.0,-2557000.0,19750000.0
Issuance (buybacks) of shares,-8168000.0,-4958000.0,-5000000.0,-3584000.0,-4000000.0,-1423000.0,-1000000.0,0.0,000000.0,-5469000.0,-5000000.0,0.0,0.0
Dividend payments,-2227000.0,-0.0,,-0.0,,-0.0,,-24643000.0,,-0.0,,-0.0,2844000.0
Financing Cash Flow,-75350000.0,-49832000.0,-50000000.0,-26680000.0,-27000000.0,177104000.0,177000000.0,-27715000.0,-28000000.0,-31535000.0,-32000000.0,-16087000.0,-23943000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,-21921000.0,-8970000.0,-9000000.0,45812000.0,-21000000.0,-405000.0,-0000000.0,11105000.0,11000000.0,-579000.0,-1000000.0,21316000.0,-10771000.0
Free Cash Flow,45801000.0,20862000.0,21000000.0,43085000.0,43000000.0,34413000.0,34000000.0,48383000.0,48000000.0,27835000.0,28000000.0,32962000.0,13514000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
