date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,revenue,55871438000.0,48561494000.0,34062670000.0,12246664000.0,7402172000.0,4226569000.0,4303971000.0,2864986000.0,2574968000.0,1853875000.0,1653001000.0,1600648000.0,1419202000.0,1257824792.16,1307759333.2,1064278042.36,1001765214.1,896721004.1,907951209.4,541486900.0,478881561.6,430271000.0,395020980.0
,costOfRevenue,27565705000.0,24375503000.0,16188310000.0,6523317000.0,4435915000.0,2759905000.0,2565535000.0,1595319000.0,1351734000.0,936986000.0,859201000.0,818362000.0,759826000.0,638935695.27,623101686.8,526877665.55,469943265.85,429128839.15,433174685.4,123110700.0,85180492.8,58393000.0,54989000.0
,grossProfit,28305733000.0,24185991000.0,17874360000.0,5723347000.0,2966257000.0,1466664000.0,1738436000.0,1269667000.0,1223234000.0,916889000.0,793800000.0,782286000.0,659376000.0,618889096.89,684657646.4,537400376.81,531821948.25,467592164.95,474776524.0,418376200.0,393701068.8,371878000.0,340031980.0
,grossProfitRatio,0.506622596683479,0.498048742075357,0.524749234279051,0.467339268881713,0.400727921480344,0.347010542120571,0.403914431579581,0.443166912508473,0.475048233609117,0.49457973164318,0.480217495331219,0.488730814020322,0.464610393728306,0.492031243737224,0.523534895923616,0.504943591261484,0.530884822875185,0.521446651536062,0.522909732466512,0.77264325323475,0.822126179768956,0.864287855793209,0.860794735509998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1118985000.0,928954000.0,961813000.0,402995000.0,315379000.0,201636000.0,163484000.0,117725000.0,94268000.0,86998000.0,77661000.0,64188000.0,46320000.0,0.0,40455260.4,0.0,0.0,0.0,0.0,24021600.0,21467596.8,18984000.0,18696260.0
,SellingAndMarketingExpenses,2967744000.0,3039557000.0,1764701000.0,499909000.0,353514000.0,241330000.0,647359000.0,457364000.0,423233000.0,277398000.0,230662000.0,153415000.0,181624000.0,0.0,156233.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,236978000.0,0.0,0.0,34986000.0,0.0,0.0,0.0,0.0,2197000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,4763951000.0,596000000.0,703000000.0,455000000.0,350000000.0,385000000.0,418000000.0,398000000.0,413000000.0,316000000.0,331000000.0,280000000.0,314000000.0,247000000.0,242000000.0,213000000.0,74565952.6,58906131.85,41463861.3,29026100.0,93923481.6,71418000.0,57288540.0
,costAndExpenses,32329656000.0,28783578000.0,19670969000.0,7568750000.0,5170351000.0,3213932000.0,3371457000.0,2158354000.0,1882609000.0,1301382000.0,1289608000.0,1039131000.0,987770000.0,767590616.97,738389682.4,621572979.92,544509218.45,488034971.0,474638546.7,152136800.0,179103974.4,129811000.0,112277540.0
,interestExpense,3358279000.0,2063620000.0,1675437000.0,467668000.0,430927000.0,319210000.0,300075000.0,223562000.0,177153000.0,188813000.0,128800000.0,151416000.0,140944000.0,156730242.6,193416949.2,185377216.99,253240053.5,236407518.25,296725231.6,95085500.0,96757939.2,0.0,48790240.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,340564000.0,155558000.0,2223083000.0,358420000.0,286798000.0,261393000.0,254311000.0,242917000.0,234600000.0,221430000.0,215296000.0,3166000.0,1062000.0,199010226.42,3902771.6,197490148.0,6076096.6,9651022.05,16607755.5,76068400.0,72455884.8,52434000.0,38592280.0
,EBITDA,23882346000.0,19933474000.0,16614784000.0,5036334000.0,2518619000.0,1274030000.0,1186825000.0,949549000.0,926959000.0,773923000.0,578689000.0,564683000.0,432494000.0,689244401.61,573272422.4,640195210.44,463332092.25,418337055.15,449920418.2,465418500.0,372233472.0,352894000.0,321335720.0
,EBITDARatio,0.427451786725088,0.410479010386295,0.487771040849117,0.411241298038388,0.340254049757287,0.301433621455133,0.275751160962748,0.331432335096925,0.359988551314036,0.417462342390938,0.3500838777472,0.35278399748102,0.304744497259728,0.547965349312598,0.438362325426683,0.601530037226352,0.462515653097681,0.466518630920067,0.495533695579656,0.859519408502773,0.777297565511447,0.820166825093952,0.813464945583397
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
