Date,2018-12-31,2017-12-31
Revenue,8613793.1034,8230492.1969
Revenue Growth,0.0466,
Cost of Revenue,0.0,0.0
Gross Profit,8613793.1034,8230492.1969
R&D Expenses,77039080.4598,65052821.1285
SG&A Expense,11256321.8391,11309723.8896
Operating Expenses,88481609.1954,76290516.2065
Operating Income,-79867816.092,-68060024.0096
Interest Expense,12779310.3448,3716686.6747
Earnings before Tax,-91810344.8276,-71006002.401
Income Tax Expense,-406896.5517,-4105642.2569
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,-91403448.2759,-66900360.1441
Preferred Dividends,0.0,0.0
Net Income Com,-91403448.2759,-66900360.1441
EPS,-2.931,-2.1489
EPS Diluted,-2.931,-2.1489
Weighted Average Shs Out,41590713.7931,43438080.4322
Weighted Average Shs Out (Dil),41590713.7931,43438080.4322
Dividend per Share,0.0,0.0
Gross Margin,1.0,1.0
EBITDA Margin,-10.2989,-9.5678
EBIT Margin,-9.1749,-8.1756
Profit Margin,-12.1966,-9.7575
Free Cash Flow margin,-7.8751,-7.6781
EBITDA,-77179310.3448,-65594237.6951
EBIT,-79031034.4828,-67289315.7263
Consolidated Income,-91403448.2759,-66900360.1441
Earnings Before Tax Margin,-10.6585,-8.6272
Net Profit Margin,-10.6113,-8.1284
