date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,revenue,1114200000.0,6868000.0,90273000.0,0.0,0.0,0.0,0.0,0.0,0.0
,costOfRevenue,565000.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,1113635000.0,6468000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.999492909711003,0.94175888177053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,292714000.0,368815000.0,282107000.0,210277000.0,120756000.0,69357000.0,24100000.0,14357000.0,7229000.0
,GeneralAndAdministrativeExpenses,196952000.0,345777000.0,156806000.0,51702000.0,34139000.0,22217000.0,9710000.0,3381000.0,2402000.0
,SellingAndMarketingExpenses,0.0,0.0,44598000.0,11176000.0,5268000.0,3076000.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,489666000.0,714592000.0,483511000.0,273155000.0,160163000.0,94650000.0,33810000.0,0.0,0.0
,costAndExpenses,490231000.0,714992000.0,483511000.0,273155000.0,160163000.0,94650000.0,33810000.0,18279000.0,9631000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,2630000.0,2283000.0,1143000.0,531000.0,281000.0,115000.0,51000.0,47000.0,44000.0
,EBITDA,626599000.0,-705841000.0,-392095000.0,-272624000.0,-159882000.0,-94535000.0,-33759000.0,-18232000.0,-9587000.0
,EBITDARatio,0.562375695566326,-102.772422830518,-4.34343602184485,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,623969000.0,-708124000.0,-393238000.0,-273155000.0,-160163000.0,-94650000.0,-33810000.0,-18279000.0,-9631000.0
,operatingIncomeRatio,0.560015257583917,-103.104834012813,-4.35609761501224,0.0,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,17896000.0,-27886000.0,-20356000.0,-3035000.0,-1176000.0,-155000.0,1000.0,0.0,1000.0
,incomeBeforeTax,606073000.0,-680238000.0,-372882000.0,-270120000.0,-158987000.0,-94495000.0,-33811000.0,0.0,-9632000.0
,incomeBeforeTaxRatio,0.543953509244301,-99.0445544554455,-4.13060383503373,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,606073000.0,-680238000.0,-372882000.0,-270120000.0,-158987000.0,-94495000.0,-33811000.0,-18281000.0,-9632000.0
,netIncomeRatio,0.543953509244301,-99.0445544554455,-4.13060383503373,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,11.922629409226,-13.38,-8.08,-7.09,-4.75,-3.4,-1.67,-1.92,-0.574449
,EPSDiluted,11.922629409226,-13.38,-8.08,-7.09,-4.75,-3.4,-1.67,-1.922126,-0.574449
,weightedAverageShsOut,52115022.0,50833837.0,46121194.0,38113678.0,33492795.0,27778288.0,21574347.0,9514463.0,16774326.0
,weightedAverageShsOutDil,53594637.0,50833837.0,46121194.0,38113678.0,33492795.0,27778288.0,21574347.0,16774326.0,16774326.0
