date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-1387412000.0,114568000.0,-44408000.0,-456001000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0
,deferredIncomeTax,-109176000.0,66850000.0,-63700000.0,-29280000.0
,stockBasedCompensation,43954000.0,68349000.0,65607000.0,200308000.0
,changeInWorkingCapital,40984000.0,146774000.0,2891000.0,-11845000.0
,accountsReceivables,-9366000.0,10638000.0,-81869000.0,-18702000.0
,inventory,-332000.0,-853000.0,-523000.0,-1110000.0
,accountsPayables,-13351000.0,59441000.0,48845000.0,-25789000.0
,otherWorkingCapital,24700000.0,-13669000.0,-4168000.0,-687000.0
,otherNonCashItems,-14604000.0,-121844000.0,-12662000.0,61168000.0
,netCashProvidedByOperatingActivites,557957000.0,684933000.0,316965000.0,116388000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-877456000.0,-1055796000.0,-1410201000.0,-876264000.0
,acquisitionsNet,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0
,otherInvestingActivites,1010000.0,83612000.0,42200000.0,-42200000.0
,netCashUsedForInvestingActivites,-850153000.0,-897305000.0,-1362328000.0,-915808000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-319325000.0,-1025600000.0,-475000000.0,-918000000.0
,commonStockIssued,0.0,0.0,0.0,1306702000.0
,commonStockRepurchased,-137743000.0,-30672000.0,-2105000.0,-91555000.0
,dividendsPaid,-10885000.0,-10885000.0,-10401000.0,-721000.0
,otherFinancingActivites,-6455000.0,-15417000.0,-8099000.0,-78656000.0
,netCashUsedProvidedByFinancingActivities,89592000.0,440590000.0,463395000.0,1291050000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-202604000.0,228218000.0,-581968000.0,491630000.0
,cashAtEndOfPeriod,32382000.0,234986000.0,6768000.0,588736000.0
,cashAtBeginningOfPeriod,234986000.0,6768000.0,588736000.0,97106000.0
,operatingCashFlow,557957000.0,684933000.0,316965000.0,116388000.0
,capitalExpenditure,-877456000.0,-1055796000.0,-1410201000.0,-876264000.0
,freeCashFlow,-319499000.0,-370863000.0,-1093236000.0,-759876000.0
