date,,2020-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,0.0,-131104000.0,14523000.0
,depreciationAndAmortization,0.0,0.0,0.0
,deferredIncomeTax,0.0,-0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0
,changeInWorkingCapital,0.0,350601.0,0.0
,accountsReceivables,0.0,0.0,0.0
,inventory,0.0,0.0,0.0
,accountsPayables,0.0,-280000.0,71000.0
,otherWorkingCapital,0.0,0.0,-350601.0
,otherNonCashItems,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0
,acquisitionsNet,0.0,-0.0,0.0
,purchasesOfInvestments,0.0,-418671000.0,-98455000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0
,otherInvestingActivites,0.0,418671000.0,98455000.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-0.0,0.0
,commonStockIssued,0.0,22226000.0,268941000.0
,commonStockRepurchased,0.0,-418671000.0,-98455000.0
,dividendsPaid,0.0,-0.0,0.0
,otherFinancingActivites,0.0,396445000.0,-170486000.0
,netCashUsedProvidedByFinancingActivities,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,0.0,0.0,0.0
,cashAtEndOfPeriod,0.0,0.0,0.0
,cashAtBeginningOfPeriod,0.0,0.0,0.0
,operatingCashFlow,0.0,0.0,0.0
,capitalExpenditure,0.0,0.0,0.0
,freeCashFlow,0.0,0.0,0.0
