Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Depreciation & Amortization,142073000.0,134000000.0,137763000.0,131000000.0,124665000.0,119000000.0,42509000.0,40000000.0,33620000.0,31000000.0,16465000.0
Stock-based compensation,1579000.0,,1623000.0,,935000.0,,984000.0,,645000.0,,508000.0
Operating Cash Flow,222885000.0,223000000.0,232559000.0,233000000.0,227773000.0,228000000.0,136743000.0,137000000.0,111780000.0,112000000.0,80495000.0
Capital Expenditure,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Investment purchases and sales,-309000.0,0,-331000.0,0,-19349000.0,0,0.0,0,0.0,0,0.0
Investing Cash flow,-132764000.0,-133000000.0,-26908000.0,-27000000.0,-1700969000.0,-1701000000.0,-226089000.0,-226000000.0,-379606000.0,-380000000.0,-427615000.0
Issuance (repayment) of debt,-4921000.0,-623000000.0,-0.0,-222000000.0,-23761000.0,-1593000000.0,-388000.0,-371000000.0,-1194000.0,-343000000.0,-6567000.0
Issuance (buybacks) of shares,-309000.0,,-331000.0,,-130000.0,,263825000.0,,263477000.0,,343284000.0
Dividend payments,-182470000.0,,-180570000.0,,-157597000.0,,-104385000.0,,-78613000.0,,-28406000.0
Financing Cash Flow,546471000.0,546000000.0,-201400000.0,-201000000.0,1477568000.0,1478000000.0,82825000.0,83000000.0,267478000.0,267000000.0,367493000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net cash flow / Change in cash,636592000.0,637000000.0,4251000.0,4000000.0,4372000.0,4000000.0,13504000.0,-7000000.0,20025000.0,-0000000.0,20373000.0
Free Cash Flow,222885000.0,223000000.0,232559000.0,233000000.0,227773000.0,228000000.0,136743000.0,137000000.0,111780000.0,112000000.0,80495000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
