date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY
,revenue,7584000000.0,24016907000.0,17282718000.0,13022228000.0,11742110000.0,16802057000.0,9699274000.0,4417767000.0,1310473000.0
,costOfRevenue,6869695000.0,23497777000.0,16788750000.0,12545114000.0,11067961000.0,16152156000.0,9253453000.0,4107963000.0,1217023000.0
,grossProfit,714305000.0,519130000.0,493968000.0,477114000.0,674149000.0,649901000.0,445821000.0,309804000.0,93450000.0
,grossProfitRatio,0.0941857858649789,0.0216151896661797,0.0285816154611792,0.036638430843017,0.0574129351539033,0.0386798473544043,0.0459643680547637,0.0701268310438282,0.0713101300064938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,113664000.0,107534000.0,109451000.0,116566000.0,139541000.0,149430000.0,79860000.0,52698000.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,167000.0,-357000.0,776000.0,19157000.0,-6429000.0,37171000.0,86000.0,447000.0,0.0
,operatingExpenses,455851000.0,342845000.0,461024000.0,431208000.0,457986000.0,521606000.0,339256000.0,222497000.0,78420000.0
,costAndExpenses,7325546000.0,23840622000.0,17249774000.0,12976322000.0,11525947000.0,16673762000.0,9592709000.0,4330460000.0,1295443000.0
,interestExpense,181184000.0,164726000.0,199570000.0,150478000.0,133089000.0,110123000.0,58854000.0,32994000.0,7620000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,276848000.0,227694000.0,269430000.0,237795000.0,249211000.0,210475000.0,132653000.0,77513000.0,15111000.0
,EBITDA,535302000.0,403979000.0,302374000.0,283701000.0,465374000.0,338770000.0,239218000.0,164820000.0,30141000.0
,EBITDARatio,0.0705830696202532,0.0168206089152113,0.0174957434357258,0.0217859033031828,0.0396329109504169,0.0201624122570231,0.0246634954327509,0.0373084411196878,0.0230000923330736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,258454000.0,176285000.0,32944000.0,45906000.0,216163000.0,128295000.0,106565000.0,87307000.0,15030000.0
,operatingIncomeRatio,0.0340788502109705,0.00734003758269123,0.001906181654992,0.00352520321407366,0.0184092126542845,0.00763567222751357,0.0109869047930804,0.0197626991192609,0.0114691412947844
,totalOtherIncomeExpensesNet,-258987000.0,-79248000.0,90852000.0,241780000.0,-282542000.0,8090000.0,1984000.0,-5509000.0,290000.0
,incomeBeforeTax,-180200000.0,-62490000.0,-68147000.0,145813000.0,-187464000.0,26262000.0,49695000.0,50065000.0,8465000.0
,incomeBeforeTaxRatio,-0.0237605485232068,-0.00260191705784596,-0.00394307191727598,0.0111972390592455,-0.0159651033757987,0.00156302290844508,0.00512357935243401,0.0113326483719037,0.0064594997378809
,incomeTaxExpense,345000.0,1234000.0,1458000.0,1939000.0,-367000.0,-3622000.0,937000.0,1875000.0,601000.0
,netIncome,-397007000.0,360047000.0,-70875000.0,137042000.0,-198929000.0,16661000.0,47655000.0,47940000.0,7876000.0
,netIncomeRatio,-0.0523479694092827,0.0149913975184232,-0.00410091745985788,0.0105236984024546,-0.0169415036990796,0.00099160477791499,0.00491325433223146,0.0108516361320097,0.00601004370177791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-4.59,2.01,-1.08,0.99,-2.38,-0.29,0.51,0.96,0.32
,EPSDiluted,-4.59,2.01,-1.08,0.95,-2.38,-0.29,0.51,0.96,0.32
,weightedAverageShsOut,127411908.0,123017064.0,120991340.0,108091486.0,104838886.0,86359300.0,61970471.0,41353574.0,15169983.0
,weightedAverageShsOutDil,127411908.0,123017064.0,120991340.0,111850621.0,104838886.0,86359300.0,61970471.0,41353574.0,15169983.0
