date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,312861000.0,119497000.0,50437000.0,10238000.0,-16494000.0,-83196000.0,-4926000.0,10420000.0,131343000.0,112788000.0,67726000.0,-42078000.0,-185076000.0,168228000.0,64417000.0,16972000.0,-1494000.0,-1200000.0
,depreciationAndAmortization,27619000.0,24213000.0,29250000.0,33130000.0,34043000.0,35993000.0,37413000.0,41506000.0,36694000.0,37263000.0,37059000.0,36671000.0,37450000.0,20949000.0,8053000.0,3334000.0,700000.0,75000.0
,deferredIncomeTax,-325061000.0,-16259000.0,959000.0,-3093000.0,-388000.0,289000.0,829000.0,23536000.0,-2981000.0,-819000.0,-4999000.0,5399000.0,-5429000.0,-14866000.0,-2037000.0,-3090000.0,-191000.0,0.0
,stockBasedCompensation,16361000.0,14412000.0,13105000.0,9773000.0,10736000.0,11236000.0,12503000.0,11871000.0,11321000.0,8550000.0,7109000.0,31434000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,132388000.0,-27648000.0,-72224000.0,-8304000.0,-2517000.0,-162671000.0,-11626000.0,-2028000.0,85137000.0,126788000.0,62654000.0,34760000.0,-154664000.0,150720000.0,139734000.0,11833000.0,-2000000.0,330000.0
,accountsReceivables,-47045000.0,-15015000.0,-24623000.0,620000.0,2408000.0,-15604000.0,-15288000.0,-17166000.0,-9475000.0,-23278000.0,-13165000.0,-13251000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-13462000.0,-48156000.0,-1987000.0,23319000.0,20371000.0,-8586000.0,-31251000.0,-5274000.0,-35493000.0,-13328000.0,-27908000.0,44828000.0,18239000.0,-151590000.0,-54960000.0,-26035000.0,-859000.0,-331000.0
,accountsPayables,23229000.0,6032000.0,12953000.0,-2714000.0,-1354000.0,23260000.0,-12106000.0,-5740000.0,99000.0,30314000.0,12689000.0,-17387000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,203479000.0,168159000.0,195807000.0,268031000.0,276335000.0,278852000.0,441523000.0,453149000.0,455177000.0,370040000.0,243252000.0,180598000.0,145838000.0,300502000.0,149782000.0,10048000.0,-1785000.0,215000.0
,otherNonCashItems,75418000.0,59179000.0,1994000.0,-2406000.0,503000.0,4029000.0,6947000.0,1193000.0,3135000.0,102741000.0,4182000.0,10356000.0,169921000.0,-21533000.0,7000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,266902000.0,89958000.0,114162000.0,98264000.0,39754000.0,9698000.0,-11651000.0,83464000.0,128356000.0,142376000.0,104274000.0,61109000.0,72863000.0,8938000.0,12343000.0,10502000.0,777000.0,-439000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-42033000.0,-36576000.0,-11979000.0,-13117000.0,-13233000.0,-12828000.0,-15991000.0,-40424000.0,-39762000.0,-27718000.0,-31257000.0,-20054000.0,-66218000.0,-73904000.0,-29044000.0,-11531000.0,-1551000.0,-321000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000000.0,0.0,0.0,0.0,-8000000.0,-12000000.0,-15000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5654000.0,-1502000.0,0.0,-64880000.0,-52600000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7369000.0,0.0,0.0,87205000.0,30275000.0,0.0,0.0,0.0
,otherInvestingActivites,-192000.0,-276000.0,13000.0,566000.0,1099000.0,-139000.0,-1202000.0,-1180000.0,-2154000.0,-343000.0,38000.0,322000.0,-1624000.0,1753000.0,-2890000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-41762000.0,-36236000.0,-10110000.0,-10972000.0,-18657000.0,-18627000.0,-57992000.0,-69758000.0,-65943000.0,-41664000.0,-42078000.0,-25731000.0,-73436000.0,-62217000.0,-69503000.0,-12167000.0,-6717000.0,-321000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-235000000.0,-230000000.0,-662000.0,-8611000.0,-35640000.0,-5290000.0,-5177000.0,-13160000.0,-90625000.0,-317704000.0,-84625000.0,-23078000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,420000.0,1864000.0,1342000.0,2280000.0,3706000.0,10914000.0,0.0,0.0,3283000.0,18547000.0,96738000.0,0.0,6025000.0,625000.0
,commonStockRepurchased,-170832000.0,-147190000.0,-246855000.0,-50000000.0,-324000.0,-86187000.0,-146645000.0,-12789000.0,-25567000.0,0.0,0.0,-238000.0,0.0,-25022000.0,0.0,-275000.0,-150000.0,-12000.0
,dividendsPaid,0.0,-2985000.0,-21015000.0,-12000000.0,-12000000.0,-11900000.0,-8234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-171000.0,0.0,0.0,0.0
,otherFinancingActivites,-2206000.0,-3463000.0,-270000.0,-259000.0,-481000.0,253000.0,-75000.0,-867000.0,-225000.0,-888000.0,-421000.0,-458000.0,0.0,43216000.0,10248000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-198038000.0,-68638000.0,-148802000.0,-65370000.0,-16443000.0,-101260000.0,23431000.0,-1161000.0,-16625000.0,8917000.0,5245000.0,-22191000.0,18600000.0,43200000.0,94551000.0,5525000.0,6642000.0,1013000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
