Date,2018-12-31,2017-12-31
Cash and cash equivalents,892518.0,928388.0
Short-term investments,0.0,0.0
Cash and short-term investments,892518.0,928388.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,1005193.0,1221811.0
Property, Plant & Equipment Net,0.0,0.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,350437823.0,0.0
Tax assets,0.0,
Total non-current assets,350437823.0,
Total assets,351443016.0,346221811.0
Payables,8735.0,93876.0
Short-term debt,0.0,0.0
Total current liabilities,96194.0,141791.0
Long-term debt,0.0,0.0
Total debt,0.0,
Deferred revenue,0.0,
Tax Liabilities,49929.0,
Deposit Liabilities,0.0,
Total non-current liabilities,12075000.0,
Total liabilities,12171194.0,341221801.0
Other comprehensive income,0.0,
Retained earnings (deficit),4999032.0,-216687.0
Total shareholders equity,5000002.0,5000010.0
Investments,350437823.0,0.0
Net Debt,-892518.0,-928388.0
Other Assets,112675.0,293423.0
Other Liabilities,87459.0,47915.0
