Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,8630000.0,30078000.0,19719000.0,23089000.0,5972000.0
Short-term investments,1282000.0,993000.0,462000.0,1155000.0,0.0
Cash and short-term investments,9912000.0,30078000.0,19719000.0,23089000.0,5972000.0
Receivables,23211000.0,8668000.0,6111000.0,6536000.0,1994000.0
Inventories,18635000.0,5814000.0,5182000.0,7368000.0,7453000.0
Total current assets,53473000.0,45605000.0,31579000.0,39334000.0,17044000.0
Property Plant & Equipment Net,7085000.0,6833000.0,5962000.0,909000.0,1725000.0
Goodwill and Intangible Assets,74901000.0,7474000.0,8346000.0,9581000.0,10817000.0
Long-term investments,900000.0,200000.0,0.0,0.0,0.0
Tax assets,3547000.0,0.0,594000.0,1188000.0,2152000.0
Total non-current assets,83715000.0,15207000.0,14604000.0,10604000.0,14403000.0
Total assets,137188000.0,60812000.0,46183000.0,49938000.0,31447000.0
Payables,16146000.0,7075000.0,5167000.0,9680000.0,7814000.0
Short-term debt,141000.0,926000.0,6466000.0,5606000.0,10749000.0
Total current liabilities,40766000.0,14474000.0,15408000.0,17644000.0,21634000.0
Long-term debt,29418000.0,10908000.0,9775000.0,7814000.0,0.0
Total debt,29559000.0,11834000.0,16241000.0,13420000.0,10749000.0
Deferred revenue,1848000.0,0.0,0.0,0.0,0.0
Tax Liabilities,10636000.0,4247000.0,3590000.0,52000.0,2313000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,33680000.0,13388000.0,12603000.0,7815000.0,1598000.0
Total liabilities,74446000.0,27862000.0,29818000.0,25459000.0,23232000.0
Other comprehensive income,184158000,133087000,110749000,107167000,-3000.0
Retained earnings (deficit),-121284000.0,-99844000.0,-94156000.0,-82544000.0,-74161000.0
Total shareholders equity,62742000.0,32950000.0,16365000.0,24479000.0,-70252000.0
Investments,2182000.0,1193000.0,462000.0,1155000.0,0.0
Net Debt,20929000.0,-18244000.0,-3478000.0,-9669000.0,4777000.0
Other Assets,0.0,0.0,0.0,0.0,1625000.0
Other Liabilities,0.0,0.0,1807000.0,0.0,3071000.0
