date,,2020-10-03_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2017-09-28_FY,2016-10-01_FY,2015-10-03_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-10-01_FY,2011-09-30_FY,2010-10-02_FY,2009-10-03_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-10-01_FY,2004-10-02_FY,2003-09-27_FY,2002-09-30_FY,2002-09-28_FY,2001-09-30_FY,2001-09-29_FY,2000-09-30_FY,1999-10-02_FY,1998-09-26_FY,1997-09-27_FY,1996-09-28_FY,1995-09-30_FY,1994-10-01_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY,1987-09-30_FY,1986-09-30_FY,1985-09-30_FY
,revenue,1228999000.0,1430640000.0,1902573000.0,1723311000.0,1723311000.0,857385000.0,802460000.0,794600000.0,810100000.0,769100000.0,802800000.0,802834000.0,605100000.0,435900000.0,599300000.0,601200000.0,584652000.0,516300000.0,495000000.0,406200000.0,397324000.0,397324000.0,477945000.0,477945000.0,568272000.0,468900000.0,410400000.0,391000000.0,364400000.0,285500000.0,215400000.0,196900000.0,215400000.0,207800000.0,191200000.0,201600000.0,188100000.0,159000000.0,138200000.0,131700000.0
,costOfRevenue,818125000.0,924475000.0,1071882000.0,973042000.0,973042000.0,475993000.0,467061000.0,481200000.0,487900000.0,453100000.0,452000000.0,452012000.0,344300000.0,274800000.0,347400000.0,351100000.0,328539000.0,298600000.0,287600000.0,257500000.0,236318000.0,236318000.0,278172000.0,278172000.0,272834000.0,248200000.0,212600000.0,185500000.0,177200000.0,134000000.0,109900000.0,92300000.0,111400000.0,110100000.0,106800000.0,109000000.0,110300000.0,93600000.0,85100000.0,73300000.0
,grossProfit,410874000.0,506165000.0,830691000.0,750269000.0,750269000.0,381392000.0,335399000.0,313400000.0,322200000.0,316000000.0,350800000.0,350822000.0,260800000.0,161100000.0,251900000.0,250100000.0,256113000.0,217700000.0,207400000.0,148700000.0,161006000.0,161006000.0,199773000.0,199773000.0,295438000.0,220700000.0,197900000.0,205500000.0,187200000.0,151500000.0,105400000.0,104600000.0,104000000.0,97700000.0,84400000.0,92600000.0,77800000.0,65400000.0,53100000.0,58400000.0
,grossProfitRatio,0.33431597584701,0.35380319297657,0.436614521492736,0.435364829679611,0.435364829679611,0.444831668387014,0.417963512199985,0.39441228290964,0.397728675472164,0.410869847874139,0.436970602889885,0.436979500120822,0.431003139976863,0.369580178940124,0.420323710996162,0.416001330671989,0.43806058988937,0.421654077086965,0.418989898989899,0.366075824716888,0.405225961683664,0.405225961683664,0.417983240749459,0.417983240749459,0.519888363318974,0.470676050330561,0.482212475633528,0.525575447570332,0.513721185510428,0.530647985989492,0.489322191272052,0.531234128999492,0.482822655524605,0.470163618864293,0.441422594142259,0.459325396825397,0.413609782030835,0.411320754716981,0.384225759768452,0.443432042520881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,115578000.0,117353000.0,132586000.0,119166000.0,119166000.0,81801000.0,81455000.0,79100000.0,82800000.0,78300000.0,81200000.0,81232000.0,71400000.0,58800000.0,73600000.0,74600000.0,73051000.0,57500000.0,62700000.0,50800000.0,52613000.0,52613000.0,52961000.0,52961000.0,57436000.0,46800000.0,44500000.0,39400000.0,37700000.0,30000000.0,25800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,270464000.0,273557000.0,293632000.0,292084000.0,292084000.0,169138000.0,149829000.0,154000000.0,148900000.0,138300000.0,148900000.0,149499000.0,118600000.0,103400000.0,136200000.0,153700000.0,132545000.0,115800000.0,115000000.0,103900000.0,94114000.0,94114000.0,104746000.0,104746000.0,155626000.0,134100000.0,124600000.0,110800000.0,104800000.0,82600000.0,63300000.0,83400000.0,90800000.0,87500000.0,73800000.0,73000000.0,69400000.0,57500000.0,47900000.0,47100000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,455012000.0,-1300000.0,11456000.0,221000.0,13524000.0,2839000.0,3368000.0,3424000.0,5074000.0,10376000.0,0.0,0.0,8002000.0,19300000.0,8651000.0,10600000.0,0.0,8535000.0,3605000.0,-4854000.0,0.0,14442000.0,0.0,7733000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,841054000.0,423070000.0,437674000.0,427274000.0,424774000.0,253778000.0,234652000.0,236600000.0,237300000.0,227200000.0,232300000.0,238813000.0,203900000.0,196200000.0,229300000.0,238900000.0,214803000.0,181900000.0,181300000.0,211500000.0,161169000.0,161169000.0,162969000.0,165440000.0,239220000.0,202600000.0,173700000.0,163200000.0,142500000.0,121600000.0,89200000.0,90700000.0,98700000.0,95700000.0,81500000.0,80300000.0,76400000.0,62400000.0,52300000.0,49500000.0
