date,,2020-05-31_FY,2019-05-26_FY,2018-05-27_FY,2017-05-28_FY,2016-05-29_FY,2015-05-31_FY,2014-05-25_FY,2013-05-26_FY,2012-05-27_FY,2011-05-29_FY,2010-05-30_FY,2009-05-31_FY,2008-05-25_FY,2007-05-27_FY,2006-05-28_FY,2005-05-29_FY,2004-05-30_FY,2003-05-25_FY,2002-05-26_FY,2001-05-27_FY,2000-05-28_FY,1999-05-30_FY,1998-05-31_FY,1997-05-25_FY,1996-05-26_FY,1995-05-28_FY,1994-05-29_FY,1993-05-30_FY,1992-05-31_FY,1991-05-26_FY,1990-05-27_FY,1989-05-28_FY,1988-05-29_FY,1987-05-31_FY,1986-05-25_FY,1985-05-26_FY,1984-05-27_FY
,revenue,17626600000.0,16865200000.0,15740400000.0,15619800000.0,16563100000.0,17630300000.0,17910000000.0,17774000000.0,16658000000.0,14880000000.0,14797000000.0,14691300000.0,13652000000.0,12442000000.0,11640000000.0,11244000000.0,11070000000.0,10506000000.0,7949000000.0,7078000000.0,6700000000.0,6246000000.0,6033000000.0,5609000000.0,5416000000.0,5027000000.0,8517000000.0,8135000000.0,7777800000.0,7153000000.0,6448000000.0,5621000000.0,5179000000.0,5189300000.0,4587000000.0,4285000000.0,4118000000.0
,costOfRevenue,11496700000.0,11010600000.0,10306400000.0,9966600000.0,10653800000.0,11681100000.0,11535000000.0,11343000000.0,10613000000.0,8927000000.0,8923000000.0,9457800000.0,8778000000.0,7955000000.0,6966000000.0,6834000000.0,6584000000.0,6109000000.0,4767000000.0,2841000000.0,2698000000.0,2594000000.0,2389300000.0,2328000000.0,2241000000.0,2123000000.0,4458000000.0,4298000000.0,4123200000.0,3722000000.0,3485000000.0,3115000000.0,2848000000.0,2834000000.0,2564000000.0,2475000000.0,2433000000.0
,grossProfit,6129900000.0,5854600000.0,5434000000.0,5653200000.0,5909300000.0,5949200000.0,6375000000.0,6431000000.0,6045000000.0,5953000000.0,5874000000.0,5233500000.0,4874000000.0,4487000000.0,4674000000.0,4410000000.0,4486000000.0,4397000000.0,3182000000.0,4237000000.0,4003000000.0,3653000000.0,3643700000.0,3281000000.0,3175000000.0,2904000000.0,4059000000.0,3837000000.0,3654600000.0,3431000000.0,2963000000.0,2506000000.0,2331000000.0,2355300000.0,2023000000.0,1810000000.0,1686000000.0
,grossProfitRatio,0.347764174599753,0.347140858098333,0.345226296663363,0.361925248722775,0.356774999849062,0.337441790553763,0.355946398659967,0.361820636885338,0.362888702125105,0.400067204301075,0.396972359262013,0.35623123889649,0.357017286844418,0.360633338691529,0.401546391752577,0.392209178228388,0.405239385727191,0.418522748905387,0.400301924770411,0.59861542808703,0.597462686567164,0.584854306756324,0.603961544836731,0.584952754501694,0.58622599704579,0.577680525164114,0.476576259246213,0.471665642286417,0.469875800354856,0.479658884384174,0.459522332506204,0.445828144458281,0.45008688936088,0.453876245351011,0.44102899498583,0.422403733955659,0.409422049538611
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,3151600000.0,2918900000.0,2827300000.0,2888800000.0,3114800000.0,3328000000.0,3464000000.0,3576000000.0,3381000000.0,3192000000.0,3249000000.0,2953900000.0,2625000000.0,2390000000.0,2678000000.0,2418000000.0,2443000000.0,2472000000.0,1909000000.0,3067000000.0,2904000000.0,2635000000.0,2498600000.0,2239000000.0,2128000000.0,2008000000.0,2756000000.0,2645000000.0,2504500000.0,2386000000.0,2138000000.0,1809000000.0,1711000000.0,1756400000.0,1546000000.0,1368000000.0,1264000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,112800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
