date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,revenue,606824000.0,572727000.0,544392000.0,481821000.0,400352000.0,333292000.0,272420000.0,234833000.0,206934000.0,172846000.0,73909000.0,28831000.0,15581000.0
,costOfRevenue,193851000.0,180159000.0,171596000.0,147733000.0,121462000.0,101949000.0,82697000.0,72718000.0,70000000.0,55049000.0,26379000.0,13954000.0,11258000.0
,grossProfit,412973000.0,392568000.0,372796000.0,334088000.0,278890000.0,231343000.0,189723000.0,162115000.0,136934000.0,117797000.0,47530000.0,14877000.0,4323000.0
,grossProfitRatio,0.680548231447669,0.685436516874532,0.684793310702582,0.693386133024505,0.696611981456318,0.694115070268713,0.696435650833272,0.690341647042792,0.661727893917868,0.681514180252942,0.643088121879609,0.51600707571711,0.277453308516783
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,80573000.0,76388000.0,67786000.0,61673000.0,58000000.0,55254000.0,48239000.0,46976000.0,44621000.0,41057000.0,20830000.0,6461000.0,5472000.0
,SellingAndMarketingExpenses,23726000.0,22439000.0,21023000.0,18176000.0,17495000.0,15930000.0,14554000.0,14405000.0,10330000.0,5744000.0,1466000.0,135000.0,170000.0
,otherExpenses,399313000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
