date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1986-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,15242000.0,13601000.0,24195000.0,20274000.0,12788000.0,6591000.0,4841000.0,34449000.0,36867000.0,22068000.0,10984000.0,-5789000.0,20019000.0,18728000.0,15448000.0,19002000.0,14477000.0,10263000.0,7048800.0,5639600.0,4311200.0,3235500.0,2100000.0,2000000.0,1600000.0,3100000.0,1200000.0,2200000.0,1900000.0,300000.0,-900000.0,1400000.0,1400000.0,1000000.0
,depreciationAndAmortization,19902000.0,18643000.0,18891000.0,16959000.0,16327000.0,16474000.0,16332000.0,14845000.0,13487000.0,13546000.0,14381000.0,13487000.0,11613000.0,10088000.0,6674000.0,7016000.0,5800000.0,4053000.0,2337400.0,2143800.0,2949200.0,3214800.0,3100000.0,2700000.0,2300000.0,3400000.0,3500000.0,3500000.0,3200000.0,2900000.0,1400000.0,1000000.0,700000.0,500000.0
,deferredIncomeTax,969000.0,2616000.0,-561000.0,398000.0,-151000.0,27000.0,2619000.0,2523000.0,-886000.0,4711000.0,5342000.0,-778000.0,3700000.0,990000.0,139000.0,243000.0,-1053000.0,0.0,1108200.0,-715200.0,-731000.0,-463400.0,-600000.0,0.0,0.0,0.0,-200000.0,-100000.0,100000.0,100000.0,600000.0,0.0,0.0,0.0
,stockBasedCompensation,6561000.0,7160000.0,5805000.0,4714000.0,3167000.0,3881000.0,4153000.0,3819000.0,2950000.0,1994000.0,1122000.0,1223000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-37160000.0,32901000.0,35979000.0,-1320000.0,-30548000.0,-45255000.0,66797000.0,30360000.0,9207000.0,31981000.0,-1338000.0,-28084000.0,21737000.0,-24089000.0,57565000.0,5393000.0,4651000.0,3761200.0,2485000.0,-3744900.0,17836400.0,-8613700.0,-5900000.0,7900000.0,2200000.0,11100000.0,2400000.0,2800000.0,2000000.0,300000.0,-3000000.0,-1200000.0,-1100000.0,0.0
,accountsReceivables,26517000.0,0.0,-21320000.0,754000.0,-11817000.0,13034000.0,-13471000.0,2351000.0,-7505000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,7421000.0,3817000.0,-31440000.0,16183000.0,15901000.0,29154000.0,-25801000.0,-51879000.0,-16883000.0,2986000.0,-1542000.0,18114000.0,-27171000.0,3173000.0,-22269000.0,-724000.0,-10246000.0,-12161000.0,2802100.0,-2827000.0,-4452900.0,-1014100.0,-2800000.0,-1600000.0,-3100000.0,-1100000.0,-1800000.0,-100000.0,-1400000.0,-1900000.0,-100000.0,0.0,0.0,0.0
,accountsPayables,-8124000.0,-7977000.0,9097000.0,3322000.0,9015000.0,-5068000.0,-19951000.0,8252000.0,9781000.0,8384000.0,3095000.0,-3385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,160401000.0,197561000.0,164660000.0,128681000.0,130001000.0,160549000.0,205804000.0,139007000.0,108647000.0,99440000.0,67459000.0,68797000.0,96881000.0,75144000.0,99233000.0,41668000.0,36275000.0,31624000.0,27862800.0,25377800.0,29122700.0,11286300.0,19900000.0,25800000.0,17900000.0,15700000.0,4600000.0,2200000.0,-600000.0,-2600000.0,-2900000.0,100000.0,1300000.0,2400000.0
,otherNonCashItems,2163000.0,159000.0,5243000.0,5331000.0,5219000.0,5415000.0,6135000.0,4772000.0,3743000.0,22068000.0,1122000.0,1223000.0,822000.0,791000.0,984000.0,0.0,0.0,833000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,-100000.0,0.0,0.0,100000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,89197000.0,9403000.0,11346000.0,59001000.0,46406000.0,78568000.0,-34095000.0,-6214000.0,40424000.0,39266000.0,33190000.0,31951000.0,3073000.0,55507000.0,-29817000.0,18749000.0,15410000.0,4424000.0,8158500.0,14807200.0,-1364600.0,3318000.0,7200000.0,-3500000.0,400000.0,3600000.0,1700000.0,1000000.0,2500000.0,600000.0,-400000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23322000.0,-13887000.0,-46795000.0,-13186000.0,-8483000.0,-4448000.0,-7977900.0,-5594300.0,-521500.0,-397400.0,-800000.0,-2800000.0,-1500000.0,-800000.0,-900000.0,-1100000.0,-700000.0,-300000.0,-8000000.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1190000.0,0.0,0.0,-950000.0,-3283000.0,-125000.0,-500000.0,-3687000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0
