date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-105026000.0,-59397000.0,-73472000.0,-73754000.0,-51558000.0,-22338000.0
,depreciationAndAmortization,95997000.0,104086000.0,225907000.0,261451000.0,176439000.0,65907000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,-3035000.0,6845000.0,7472000.0,7018000.0,1068000.0,944000.0
,changeInWorkingCapital,-42433000.0,-355693000.0,111894000.0,310468000.0,-17143000.0,-9241000.0
,accountsReceivables,9725000.0,0.0,0.0,0.0,0.0,-1473000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,20811000.0,0.0,0.0,0.0,0.0,21589000.0
,otherWorkingCapital,115561000.0,157994000.0,513687000.0,401793000.0,91325000.0,108468000.0
,otherNonCashItems,3611000.0,-15156000.0,13147000.0,-55302000.0,-7501000.0,-192000.0
,netCashProvidedByOperatingActivites,-47314000.0,-57660000.0,54899000.0,69648000.0,92425000.0,17671000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,85058000.0,-247181000.0,-103458000.0,-192230000.0,-66193000.0,-11000000.0
,acquisitionsNet,0.0,0.0,0.0,257000000.0,0.0,-2630000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,22413000.0,62867000.0
,netCashUsedForInvestingActivites,42868000.0,-299490000.0,-119475000.0,27150000.0,-52780000.0,-2730399000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-1355561000.0,-135634000.0,0.0,944000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,1644042000.0
,commonStockRepurchased,-85000.0,-3523000.0,-1840000.0,0.0,0.0,1644042000.0
,dividendsPaid,-4900000.0,-22864000.0,-39697000.0,-34248000.0,-39354000.0,-27894000.0
,otherFinancingActivites,0.0,-10060000.0,-22703000.0,-29322000.0,-31134000.0,62867000.0
,netCashUsedProvidedByFinancingActivities,15440000.0,-36447000.0,180199000.0,180794000.0,-50486000.0,2775595000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,10994000.0,-393597000.0,115623000.0,277592000.0,-10841000.0,62867000.0
,cashAtEndOfPeriod,150254000.0,139260000.0,532857000.0,417234000.0,52026000.0,62867000.0
,cashAtBeginningOfPeriod,139260000.0,532857000.0,417234000.0,139642000.0,62867000.0,0.0
,operatingCashFlow,-47314000.0,-57660000.0,54899000.0,69648000.0,92425000.0,17671000.0
,capitalExpenditure,0.0,-247181000.0,-103458000.0,-192230000.0,-66193000.0,0.0
,freeCashFlow,-47314000.0,-57660000.0,54899000.0,69648000.0,92425000.0,17671000.0
