date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,revenue,1707286000.0,1818180000.0,1921311000.0,1757498000.0,1965600000.0,2298324000.0,2341115000.0
,costOfRevenue,19105000.0,13549000.0,27513000.0,30926000.0,3987000.0,7140000.0,13664000.0
,grossProfit,1688181000.0,1804631000.0,1893798000.0,1726572000.0,1961613000.0,2291184000.0,2327451000.0
,grossProfitRatio,0.988809724908422,0.992548042548043,0.985680090313333,0.982403393915669,0.997971611721612,0.996893388399547,0.994163464844743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1394171000.0,1379037000.0,1566137000.0,1428153000.0,1601773000.0,1886399000.0,1819264000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,10477000.0,180000.0,372000.0,41748000.0,6000.0,35567000.0,948000.0
,operatingExpenses,1619449000.0,1717180000.0,1764810000.0,1615887000.0,1842636000.0,2184821000.0,2141523000.0
,costAndExpenses,1638554000.0,1730729000.0,1792323000.0,1646813000.0,1846623000.0,2191961000.0,2155187000.0
,interestExpense,65680000.0,43351000.0,71404000.0,75090000.0,74135000.0,120678000.0,116472000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,140782000.0,95245000.0,104421000.0,97364000.0,102858000.0,119820000.0,128975000.0
,EBITDA,209514000.0,182696000.0,233409000.0,208049000.0,221835000.0,226183000.0,314903000.0
,EBITDARatio,0.122717576317032,0.1004829004829,0.121484236544734,0.118377944100079,0.112858669108669,0.0984121472864574,0.134509838260829
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,68732000.0,87451000.0,128988000.0,110685000.0,118977000.0,106363000.0,185928000.0
,operatingIncomeRatio,0.0402580469821694,0.0480980980980981,0.0671354091034715,0.0629787345419454,0.0605296092796093,0.0462785055544823,0.0794185676483214
,totalOtherIncomeExpensesNet,-65167000.0,-26782000.0,-59736000.0,-50157000.0,14179000.0,-66207000.0,-74766000.0
,incomeBeforeTax,-44475000.0,33900000.0,-1035000.0,8564000.0,72933000.0,-23619000.0,4307000.0
,incomeBeforeTaxRatio,-0.0260501169692717,0.0186450186450186,-0.000538694672543904,0.00487283627065294,0.0371047008547009,-0.0102766189623395,0.00183972167108408
,incomeTaxExpense,36218000.0,13414000.0,12533000.0,5207000.0,23785000.0,18533000.0,8346000.0
,netIncome,-81306000.0,18540000.0,-16790000.0,65000.0,49148000.0,-42152000.0,-4039000.0
,netIncomeRatio,-0.0476229524520203,0.0101970101970102,-0.00873882468793444,3.69843948613313e-05,0.02500407000407,-0.018340321033936,-0.00172524630357757
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-5.627746,1.257373,-1.142691,0.050271,3.368154,-2.878342,-0.27649
,EPSDiluted,-5.627746,1.257373,-1.142691,0.050271,3.368154,-2.878342,-0.27649
,weightedAverageShsOut,14446281.0,14713219.0,14702137.0,14683811.0,14650358.0,14644540.0,14644540.0
,weightedAverageShsOutDil,14446281.0,14713219.0,14702137.0,14683811.0,14650358.0,14644540.0,14644540.0
