date,,2021-01-02_FY,2019-12-28_FY,2018-12-29_FY
,revenue,2793000000.0,3087100000.0,3347600000.0
,costOfRevenue,1758000000.0,1944600000.0,2017000000.0
,grossProfit,1034000000.0,1142500000.0,1330600000.0
,grossProfitRatio,0.370211242391694,0.370088432509475,0.397478790775481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,776000000.0,777300000.0,805800000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0
,otherExpenses,-1000000.0,9100000.0,14300000.0
,operatingExpenses,-1000000.0,795700000.0,833800000.0
,costAndExpenses,1757000000.0,2740300000.0,2850800000.0
,interestExpense,-154000000.0,157800000.0,-175000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,218000000.0,222200000.0,218500000.0
,EBITDA,217000000.0,569000000.0,715300000.0
,EBITDARatio,0.0776942355889724,0.184315376890933,0.213675468992711
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-1000000.0,346800000.0,496800000.0
,operatingIncomeRatio,-0.000358037952022914,0.11233844060769,0.148404827338989
,totalOtherIncomeExpensesNet,-1000000.0,3300000.0,-17400000.0
,incomeBeforeTax,71000000.0,198800000.0,303500000.0
,incomeBeforeTaxRatio,0.0254206945936269,0.0643970068996793,0.0906619667821723
,incomeTaxExpense,-19000000.0,-495900000.0,31000000.0
,netIncome,90000000.0,690100000.0,245300000.0
,netIncomeRatio,0.0322234156820623,0.223543131093907,0.0732763771059864
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.309563042135176,2.36638,0.84094
,EPSDiluted,0.309563042135176,2.36638,0.84094
,weightedAverageShsOut,290732380.0,291627460.0,291698270.0
,weightedAverageShsOutDil,290732380.0,291627460.0,291698270.0
