date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,revenue,23990000.0,22987000.0,21192000.0,25213000.0,21793000.0,22189000.0,25658000.0,34964000.0,44375000.0,36039000.0,31150000.0,19071000.0,19782000.0,13025000.0,11071000.0
,costOfRevenue,7934000.0,8036000.0,8426000.0,8558000.0,8497000.0,8947000.0,8431000.0,8205000.0,6508000.0,6937000.0,6700000.0,6301000.0,6026000.0,4032000.0,3769000.0
,grossProfit,16056000.0,14951000.0,12766000.0,16655000.0,13296000.0,13242000.0,17227000.0,26759000.0,37867000.0,29102000.0,24450000.0,12770000.0,13756000.0,8993000.0,7302000.0
,grossProfitRatio,0.669278866194248,0.650411101927176,0.602397130992827,0.660571927180423,0.610104161886844,0.596782189373113,0.671408527554759,0.765330053769592,0.853340845070423,0.807514081966758,0.784911717495987,0.669603062241099,0.695379638054797,0.690441458733205,0.659561015265107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,17314000.0,17959000.0,17253000.0,16904000.0,15030000.0,13990000.0,15504000.0,13403000.0,9989000.0,7327000.0,5687000.0,4989000.0,3843000.0,2912000.0,2448000.0
,GeneralAndAdministrativeExpenses,12710000.0,10848000.0,9897000.0,9680000.0,8298000.0,7954000.0,8972000.0,9624000.0,9457000.0,9956000.0,9067000.0,7312000.0,6352000.0,0.0,3433000.0
,SellingAndMarketingExpenses,18845000.0,19875000.0,19140000.0,16636000.0,11888000.0,9275000.0,7974000.0,6144000.0,3827000.0,4336000.0,3545000.0,3034000.0,3082000.0,0.0,3740000.0
,otherExpenses,277000.0,912000.0,1057000.0,588000.0,258000.0,109000.0,55000.0,109000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,48869000.0,48682000.0,46290000.0,43220000.0,35216000.0,31219000.0,32450000.0,29171000.0,23273000.0,22713000.0,18299000.0,15335000.0,13277000.0,0.0,0.0
,costAndExpenses,56803000.0,56718000.0,54716000.0,51778000.0,43713000.0,40166000.0,40881000.0,37376000.0,29781000.0,29650000.0,24999000.0,21636000.0,19303000.0,14335000.0,14979000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,2772000.0,2207000.0,2143000.0,2426000.0,2457000.0,2433000.0,2314000.0,1989000.0,985000.0,737000.0,644000.0,589000.0,766000.0,612000.0,616000.0
,EBITDA,-30041000.0,-31524000.0,-31381000.0,-24139000.0,-19463000.0,-15544000.0,-12909000.0,-423000.0,15579000.0,7126000.0,6795000.0,-1976000.0,1245000.0,-698000.0,-3292000.0
,EBITDARatio,-1.25223009587328,-1.37138382564058,-1.4807946394866,-0.957402927061437,-0.893084935529757,-0.700527288296003,-0.503117935926417,-0.0120981581054799,0.351076056338028,0.197730236688032,0.218138041733547,-0.103612815269257,0.0629360024264483,-0.0535892514395393,-0.297353445939843
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-32813000.0,-33731000.0,-33524000.0,-26565000.0,-21920000.0,-17977000.0,-15223000.0,-2412000.0,14594000.0,6389000.0,6151000.0,-2565000.0,479000.0,-1310000.0,-3908000.0
,operatingIncomeRatio,-1.36777824093372,-1.46739461434724,-1.58191770479426,-1.05362313092452,-1.00582755930803,-0.810176213439091,-0.59330423259802,-0.0689852419631621,0.328878873239437,0.177280168706124,0.197463884430177,-0.134497404436055,0.024213931857244,-0.100575815738964,-0.35299430945714
,totalOtherIncomeExpensesNet,277000.0,912000.0,1057000.0,588000.0,258000.0,109000.0,55000.0,109000.0,-1107000.0,-2714000.0,-2180000.0,-169000.0,1033000.0,1387000.0,1242000.0
,incomeBeforeTax,-32536000.0,-32819000.0,-32467000.0,-25977000.0,-21662000.0,-17868000.0,-15168000.0,-2303000.0,13666000.0,3870000.0,4216000.0,-2734000.0,1512000.0,77000.0,-2666000.0
,incomeBeforeTaxRatio,-1.35623176323468,-1.42772001566103,-1.53204039260098,-1.03030182842185,-0.993988895516909,-0.80526386948488,-0.591160651648609,-0.0658677496853907,0.307966197183099,0.107383667693332,0.135345104333868,-0.14335902679461,0.0764331210191083,0.00591170825335892,-0.240809321651161
,incomeTaxExpense,1000.0,21000.0,39000.0,-206000.0,10000.0,66000.0,652000.0,-1796000.0,5394000.0,-1786000.0,42000.0,23000.0,21000.0,22000.0,21000.0
,netIncome,-32537000.0,-32840000.0,-32506000.0,-25771000.0,-21672000.0,-17934000.0,-15820000.0,-507000.0,8272000.0,5656000.0,4174000.0,-2757000.0,1491000.0,55000.0,-2687000.0
,netIncomeRatio,-1.3562734472697,-1.4286335754992,-1.53388070970177,-1.02213144013009,-0.99444775845455,-0.808238316282843,-0.616571829448905,-0.0145006292186249,0.186411267605634,0.156941091595216,0.133996789727127,-0.144565046405537,0.0753715498938429,0.00422264875239923,-0.242706169271069
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.76628124468628,-2.79,-2.86,-2.44,-2.36,-2.19,-2.22,-0.1,1.16,0.84,0.59,-0.39,0.21,0.01,-0.38
,EPSDiluted,-2.76628124468628,-2.79,-2.86,-2.44,-2.36,-2.19,-2.22,-0.1,1.12,0.76,0.55,-0.39,0.21,0.01,-0.38
,weightedAverageShsOut,15222000.0,11762000.0,11360000.0,10571000.0,9188000.0,8198000.0,7187000.0,6866000.0,6757000.0,6741000.0,7120000.0,7140000.0,7147000.0,7143000.0,7143000.0
,weightedAverageShsOutDil,15222000.0,11762000.0,11360000.0,10571000.0,9188000.0,8198000.0,7187000.0,6866000.0,6989000.0,7430000.0,7623000.0,7140000.0,7147000.0,7143000.0,7143000.0
