Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-785870.0,-883966.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,0.0,
Investing Cash flow,750000.0,-828000000.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,0.0,809752094.0
Dividend payments,0.0,0.0
Financing Cash Flow,0.0,831112097.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,-35870.0,
Free Cash Flow,-785870.0,
Net Cash/Marketcap,0.0021,
