date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,11790200000.0,14906300000.0,14668200000.0,13838300000.0,13152800000.0,13545100000.0,14280500000.0,13253400000.0,11838700000.0,6798500000.0,6089700000.0,5900600000.0,6137500000.0,5469600000.0,4895814000.0,4534832000.0,4184933000.0,3761819000.0,3403585000.0,2354723000.0,2264313000.0,2080000000.0,1888200000.0,1640400000.0,1490000000.0,1340900000.0
,costOfRevenue,6905800000.0,8723400000.0,8625900000.0,7405100000.0,6898900000.0,7223500000.0,7679100000.0,7240100000.0,6483500000.0,3475600000.0,3013800000.0,2978000000.0,3141600000.0,2691700000.0,2416058000.0,2248831000.0,2031280000.0,1845202000.0,1687597000.0,1089631000.0,877470000.0,803100000.0,729200000.0,621200000.0,585400000.0,527100000.0
,grossProfit,4884400000.0,6182900000.0,6042300000.0,6433200000.0,6253900000.0,6321600000.0,6601400000.0,6013300000.0,5355200000.0,3322900000.0,3075900000.0,2922600000.0,2995900000.0,2777900000.0,2479756000.0,2286001000.0,2153653000.0,1916617000.0,1715988000.0,1265092000.0,1386843000.0,1276900000.0,1159000000.0,1019200000.0,904600000.0,813800000.0
,grossProfitRatio,0.414276263337348,0.414784352924602,0.411931934388678,0.464883692361056,0.475480506051943,0.466707517847783,0.462266727355485,0.45371753663211,0.45234696377136,0.488769581525336,0.505098773338588,0.495305562146222,0.488130346232179,0.507879918092731,0.5065053533488,0.504098277510611,0.514620664177897,0.50949208348408,0.504170749371618,0.537257248517129,0.612478486852304,0.613894230769231,0.613812096176253,0.621311875152402,0.607114093959732,0.606905809530912
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,3309100000.0,3957500000.0,3968600000.0,4417100000.0,4299400000.0,4345500000.0,4577600000.0,4281400000.0,3920200000.0,2438100000.0,2261600000.0,2174200000.0,2257500000.0,2090900000.0,1868114000.0,1743581000.0,1615064000.0,1433551000.0,1283091000.0,946089000.0,916004000.0,852400000.0,775100000.0,699800000.0,629700000.0,575000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,55900000.0,76300000.0,79900000.0,67300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,3309100000.0,3957500000.0,3968600000.0,4417100000.0,4299400000.0,4345500000.0,4577600000.0,4281400000.0,3920200000.0,2438100000.0,2261600000.0,2174200000.0,2283400000.0,2110600000.0,1868114000.0,1743581000.0,1619531000.0,1433959000.0,1320122000.0,947479000.0,1064440000.0,986900000.0,897100000.0,800700000.0,719200000.0,651100000.0
,costAndExpenses,10214900000.0,12680900000.0,12594500000.0,11822200000.0,11198300000.0,11569000000.0,12256700000.0,11521500000.0,10403700000.0,5913700000.0,5275400000.0,5152200000.0,5425000000.0,4802300000.0,4284172000.0,3992412000.0,3650811000.0,3279161000.0,3007719000.0,2037110000.0,1941910000.0,1790000000.0,1626300000.0,1421900000.0,1304600000.0,1178200000.0
,interestExpense,304800000.0,215300000.0,237200000.0,274600000.0,285400000.0,253700000.0,268000000.0,272800000.0,285600000.0,82100000.0,65600000.0,67500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
