date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,revenue,904400000.0,738200000.0,563823000.0,463768000.0,366989000.0,324225000.0,288720000.0,247084000.0,211369000.0,152255000.0,96966000.0,66032000.0,36059000.0,13372000.0,3663000.0,50000.0,0.0,0.0,0.0
,costOfRevenue,322100000.0,257900000.0,193655000.0,186599000.0,155903000.0,176071000.0,145432000.0,134683000.0,119033000.0,85543000.0,53240000.0,47735000.0,40643000.0,25733000.0,15660000.0,1530000.0,0.0,0.0,0.0
,grossProfit,582300000.0,480300000.0,370168000.0,277169000.0,211086000.0,148154000.0,143288000.0,112401000.0,92336000.0,66712000.0,43726000.0,18297000.0,-4584000.0,-12361000.0,-11997000.0,-1480000.0,0.0,0.0,0.0
,grossProfitRatio,0.643852277753207,0.650636683825522,0.65653228052066,0.597645805661451,0.575183452365057,0.456948107024443,0.496287060127459,0.454910071068948,0.436847409033491,0.438159666349217,0.450941567147247,0.277092924642598,-0.127124989600377,-0.924394256655699,-3.27518427518428,-29.6,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,146800000.0,129700000.0,88606000.0,74452000.0,55710000.0,43208000.0,27900000.0,21765000.0,24359000.0,21863000.0,16566000.0,13231000.0,13104000.0,10391000.0,8094000.0,10764000.0,9026000.0,8659000.0,9458000.0
,GeneralAndAdministrativeExpenses,384000000.0,115500000.0,111818000.0,88487000.0,71597000.0,77359000.0,66841000.0,64077000.0,51240000.0,44083000.0,26667000.0,26842000.0,63484000.0,30063000.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,185100000.0,142321000.0,121617000.0,94483000.0,88352000.0,60844000.0,55694000.0,52708000.0,43233000.0,34695000.0,37583000.0,0.0,0.0,0.0,0.0,0.0,546000.0,0.0
,otherExpenses,3300000.0,0.0,0.0,0.0,825000.0,116000.0,-1300000.0,1351000.0,-15684000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,530800000.0,430300000.0,342745000.0,284556000.0,221790000.0,208919000.0,155585000.0,141536000.0,128307000.0,109179000.0,77928000.0,77656000.0,84758000.0,41481000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,852900000.0,688200000.0,536400000.0,471155000.0,377693000.0,384990000.0,301017000.0,276219000.0,247340000.0,194722000.0,131168000.0,125391000.0,125401000.0,67214000.0,38308000.0,21555000.0,14153000.0,12014000.0,12672000.0
,interestExpense,45200000.0,31800000.0,28902000.0,21211000.0,14388000.0,12580000.0,14687000.0,17214000.0,15794000.0,14715000.0,22694000.0,20423000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,55400000.0,27900000.0,15646000.0,13854000.0,13833000.0,15838000.0,12223000.0,11806000.0,11030000.0,8503000.0,5077000.0,5222000.0,6971000.0,4920000.0,2640000.0,1236000.0,323000.0,0.0,0.0
,EBITDA,106900000.0,77900000.0,43069000.0,6467000.0,3129000.0,-44927000.0,-74000.0,-17329000.0,-24941000.0,-33964000.0,-29125000.0,-54137000.0,-82371000.0,-48922000.0,-32005000.0,-20269000.0,-13830000.0,-12014000.0,-12672000.0
,EBITDARatio,0.118199911543565,0.105526957464102,0.076387447833806,0.0139444722361181,0.0085261411104965,-0.138567352918498,-0.000256303685231366,-0.0701340434831879,-0.117997435763996,-0.223073133887229,-0.300363013839903,-0.819860067845893,-2.28433955461882,-3.65854023332336,-8.73737373737374,-405.38,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,51500000.0,50000000.0,27423000.0,-7387000.0,-10704000.0,-60765000.0,-12297000.0,-29135000.0,-35971000.0,-42467000.0,-34202000.0,-59359000.0,-89342000.0,-53842000.0,-34645000.0,-21505000.0,-14153000.0,-12014000.0,-12672000.0
,operatingIncomeRatio,0.0569438301636444,0.0677323218639935,0.0486376043545581,-0.0159282227320557,-0.029167086751919,-0.187416146194772,-0.0425914380714879,-0.117915364815205,-0.170181057771007,-0.27892023250468,-0.352721572509952,-0.898942936757936,-2.47766161013894,-4.02647322763984,-9.45809445809446,-430.1,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,3300000.0,-8700000.0,0.0,-609000.0,-1726000.0,116000.0,-24503000.0,1351000.0,-15684000.0,-14576000.0,-4431000.0,0.0,-8170000.0,-1101000.0,-845000.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,9700000.0,14500000.0,5226000.0,-26574000.0,-26818000.0,-73229000.0,-51358000.0,-44874000.0,-51655000.0,-57043000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
