date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,46186000.0,24382000.0,23849000.0,21557000.0,32229000.0,35540000.0,34743000.0,38032000.0,33371000.0,26831000.0,26647000.0,32759000.0,30202000.0,26721000.0,18325000.0,12565000.0,9185000.0,7018000.0,5031000.0,-10275000.0,7111000.0,2400000.0,5000000.0,6000000.0,5300000.0,3500000.0,2400000.0,1900000.0,1700000.0,1000000.0,600000.0
,depreciationAndAmortization,13567000.0,9964000.0,7924000.0,8118000.0,6627000.0,5218000.0,5562000.0,5623000.0,6597000.0,5701000.0,4685000.0,4360000.0,4469000.0,4399000.0,5289000.0,4252000.0,4077000.0,3780000.0,3719000.0,4746000.0,4811000.0,5700000.0,2900000.0,3000000.0,2200000.0,2000000.0,1700000.0,1100000.0,600000.0,400000.0,700000.0
,deferredIncomeTax,760000.0,-817000.0,-300000.0,1474000.0,-233000.0,-122000.0,-140000.0,-1823000.0,-1448000.0,-1218000.0,12000.0,-500000.0,976000.0,800000.0,42000.0,-279000.0,506000.0,1044000.0,200000.0,-4394000.0,-42000.0,-1000000.0,-100000.0,-500000.0,-100000.0,-100000.0,-300000.0,0.0,0.0,0.0,-100000.0
,stockBasedCompensation,3802000.0,3251000.0,3402000.0,3381000.0,2911000.0,3324000.0,3557000.0,2502000.0,1987000.0,2504000.0,1866000.0,1092000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-11418000.0,8967000.0,3892000.0,6768000.0,-3382000.0,8589000.0,6628000.0,14257000.0,3038000.0,-4783000.0,-20522000.0,16998000.0,6719000.0,16126000.0,10183000.0,30908000.0,1630000.0,2705000.0,-1008000.0,-6729000.0,4363000.0,-17400000.0,2400000.0,3800000.0,13900000.0,2800000.0,-800000.0,8600000.0,1200000.0,-500000.0,-400000.0
,accountsReceivables,-971000.0,-2314000.0,-4447000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5353000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-18977000.0,3841000.0,-1142000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200000.0,-500000.0,-400000.0,-600000.0
,accountsPayables,7248000.0,-2315000.0,4124000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,123847000.0,114880000.0,110988000.0,104220000.0,107602000.0,99013000.0,92385000.0,78128000.0,75090000.0,79873000.0,100395000.0,83397000.0,76678000.0,60552000.0,50369000.0,19461000.0,17831000.0,15126000.0,16134000.0,22863000.0,18500000.0,35900000.0,33500000.0,29700000.0,15800000.0,13000000.0,13800000.0,5200000.0,4000000.0,4500000.0
,otherNonCashItems,-4985000.0,-542000.0,1574000.0,251000.0,908000.0,1596000.0,2058000.0,889000.0,-2870000.0,0.0,0.0,-10000.0,2341000.0,207000.0,1082000.0,-87000.0,483000.0,845000.0,348000.0,1360000.0,419000.0,500000.0,-600000.0,0.0,-100000.0,100000.0,100000.0,0.0,400000.0,100000.0,100000.0
,netCashProvidedByOperatingActivites,47976000.0,35831000.0,34783000.0,41355000.0,37223000.0,42809000.0,38262000.0,44436000.0,42446000.0,22456000.0,31213000.0,32492000.0,29883000.0,26602000.0,22155000.0,18187000.0,12653000.0,12353000.0,11415000.0,8702000.0,5217000.0,9000000.0,6900000.0,6500000.0,4900000.0,2900000.0,4400000.0,2100000.0,1300000.0,1000000.0,800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3299000.0,-3797000.0,-4201000.0,-4467000.0,-4004000.0,-4613000.0,-5306000.0,-3234000.0,-3530000.0,-9139000.0,-4563000.0,-3643000.0,-5327000.0,-3476000.0,-3242000.0,-2590000.0,-2385000.0,-1812000.0,-3550000.0,-1923000.0,-4047000.0,-21300000.0,-1300000.0,-1600000.0,-1200000.0,-2500000.0,-1500000.0,-700000.0,-2000000.0,-900000.0,-200000.0
,acquisitionsNet,0.0,-45000000.0,0.0,0.0,-62000000.0,0.0,0.0,0.0,0.0,0.0,-20000000.0,0.0,0.0,-1000000.0,-1000000.0,-7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7750000.0,0.0,-6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14100000.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7275000.0,475000.0,0.0,4000000.0,2000000.0,0.0,0.0,0.0,254000.0,9000.0,989000.0,3400000.0,6800000.0,2900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1494000.0,-688000.0,-726000.0,-1440000.0,0.0,0.0,-25000.0,0.0,-200000.0,0.0,-6600000.0,0.0,-3400000.0,-3600000.0,0.0,-600000.0,-2000000.0
