date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,440908000.0,545042000.0,165515000.0,227046000.0,85879000.0,219523000.0,29602000.0,-27759000.0,131196000.0,50201000.0,-269837000.0,-191960000.0,-170111000.0,462914000.0,438000000.0,454409000.0,473309000.0,376451000.0,318209000.0,232581000.0,247500000.0,226400000.0,197500000.0,179900000.0,164900000.0,146300000.0
,depreciationAndAmortization,68619000.0,73087000.0,43431000.0,37585000.0,41033000.0,39885000.0,40426000.0,38938000.0,89321000.0,83292000.0,81731000.0,49507000.0,131634000.0,144806000.0,386194000.0,249635000.0,425231000.0,353672000.0,306966000.0,191530000.0,167700000.0,162300000.0,85800000.0,75500000.0,68900000.0,53700000.0
,deferredIncomeTax,14357000.0,103557000.0,121001000.0,79604000.0,24196000.0,9081000.0,-14449000.0,-70266000.0,36035000.0,233513000.0,-173900000.0,-411429000.0,-215294000.0,102738000.0,35586000.0,41472000.0,113716000.0,42248000.0,-157870000.0,40082000.0,81600000.0,83500000.0,45500000.0,39300000.0,33500000.0,-2500000.0
,stockBasedCompensation,22730000.0,23171000.0,20627000.0,17536000.0,13796000.0,11351000.0,16144000.0,16201000.0,14173000.0,11987000.0,7455000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1614725000.0,1072833000.0,-186405000.0,-64687000.0,142876000.0,291407000.0,41505000.0,-92701000.0,-513202000.0,-115567000.0,-58055000.0,3414883000.0,-294268000.0,1127899000.0,-575027000.0,-1328706000.0,1231184000.0,-1484342000.0,-1721817000.0,93384000.0,-678400000.0,-606500000.0,-849100000.0,-241000000.0,-381300000.0,-73700000.0
,accountsReceivables,4546000.0,-15372000.0,-34352000.0,1627000.0,4804000.0,1911000.0,3571000.0,6007000.0,5449000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,339000.0,15165000.0,5934000.0,-4535000.0,-9124000.0,169000.0,-4301000.0,-2386000.0,-7945000.0,-6741000.0,-31144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1592818000.0,1053662000.0,-304390000.0,-22221000.0,282915000.0,-166840000.0,259439000.0,-66095000.0,-494816000.0,-155458000.0,-265474000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-1273980000.0,-1444858000.0,-173918000.0,24337000.0,50684000.0,10701000.0,244659000.0,416678000.0,260487000.0,239073000.0,93567000.0,1446733000.0,674000000.0,-69658000.0,219859000.0,108612000.0,134142000.0,-75629000.0,126183000.0,-73689000.0,2181400000.0,-3007200000.0,59600000.0,42400000.0,26300000.0,757900000.0
,netCashProvidedByOperatingActivites,830294000.0,234305000.0,-17358000.0,181118000.0,367163000.0,704734000.0,431373000.0,371552000.0,43973000.0,768074000.0,784272000.0,4260644000.0,113202000.0,1626084000.0,498727000.0,-318085000.0,2382407000.0,-778420000.0,-1123998000.0,488095000.0,1997500000.0,-3145500000.0,-460000000.0,98800000.0,-90100000.0,869600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-49159000.0,-47986000.0,-53046000.0,-62554000.0,-39947000.0,-31404000.0,-27349000.0,-21862000.0,-35408000.0,-42631000.0,-21180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,-46000000.0,-337000000.0,0.0,-5000000.0,413000000.0,55000000.0,5000000.0,24000000.0,0.0,1000000.0,-41000000.0,23000000.0,293000000.0,-823000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-629649000.0,-473205000.0,-1554250000.0,-1239912000.0,-1066194000.0,-751365000.0,-1348526000.0,-1157906000.0,-1276125000.0,-1944075000.0,-287464000.0,-729984000.0,-573426000.0,-4590153000.0,-830539000.0,-1920053000.0,-2745032000.0,-1768354000.0,-945823000.0,-1242842000.0,-880300000.0,-675400000.0,-809000000.0,-1018000000.0,-414600000.0,-882800000.0
,salesMaturitiesOfInvestments,993268000.0,936483000.0,1519972000.0,1181178000.0,723985000.0,635316000.0,963378000.0,1133060000.0,1305928000.0,1593672000.0,823389000.0,751000000.0,1500830000.0,3644549000.0,548817000.0,1714721000.0,2681654000.0,1597449000.0,1111401000.0,1534497000.0,970800000.0,1158300000.0,884300000.0,878700000.0,721800000.0,1042400000.0
,otherInvestingActivites,30231000.0,43684000.0,13468000.0,27135000.0,0.0,0.0,0.0,0.0,24467000.0,0.0,0.0,203279000.0,-776187000.0,-1647112000.0,-3864359000.0,-4169679000.0,-2784579000.0,-1193544000.0,-196945000.0,-766179000.0,-1265300000.0,-1026100000.0,-634300000.0,-422400000.0,-596600000.0,-909400000.0
,netCashUsedForInvestingActivites,-2389842000.0,480372000.0,-1336042000.0,-2468552000.0,-520014000.0,-1486679000.0,762953000.0,-415165000.0,166989000.0,622227000.0,2443517000.0,160021000.0,140996000.0,-2399570000.0,-5083692000.0,-4453774000.0,-2999487000.0,-1421243000.0,-59061000.0,-519407000.0,-1288200000.0,-640500000.0,-615100000.0,-599200000.0,-327900000.0,-788300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
