Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,3305000.0,1000000.0,999000.0,0000000.0,649000.0,0000000.0,283000.0,0000000.0,308000.0,0000000.0,545000.0,1027000.0
Stock-based compensation,526000.0,1000000.0,2006000.0,2000000.0,2833000.0,3000000.0,0.0,6000000.0,3305000.0,3000000.0,692000.0,930000.0
Operating Cash Flow,-11559000.0,-12000000.0,-12307000.0,-12000000.0,-13906000.0,-14000000.0,-13864000.0,-14000000.0,-3868000.0,-4000000.0,-5339000.0,-14002000.0
Capital Expenditure,28000.0,-0000000.0,21000.0,-0000000.0,167000.0,-0000000.0,23000.0,-0000000.0,0.0,000000.0,0.0,26000.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-2000000,0.0,0.0
Investing Cash flow,31000.0,0000000.0,-50000.0,-0000000.0,-177000.0,-0000000.0,117000.0,0000000.0,-1132000.0,-1000000.0,-867000.0,97000.0
Issuance (repayment) of debt,-97000.0,-5000000.0,-505000.0,-2000000.0,-3191000.0,-3000000.0,-1486000.0,-1000000.0,-0.0,-0000000.0,-4314000.0,-1350000.0
Issuance (buybacks) of shares,-6776000.0,,-271000.0,,-4543000.0,,4262000.0,,4319000.0,,128000.0,-6378000.0
Dividend payments,-16000.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Financing Cash Flow,18033000.0,18000000.0,8085000.0,8000000.0,11859000.0,12000000.0,20465000.0,20000000.0,4954000.0,5000000.0,0.0,17840000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,-15000.0,8000.0
Net cash flow / Change in cash,6505000.0,7000000.0,-4272000.0,-4000000.0,-2224000.0,-2000000.0,6718000.0,7000000.0,-46000.0,-0000000.0,-6206000.0,6378000.0
Free Cash Flow,-11587000.0,-12000000.0,-12328000.0,-12000000.0,-14073000.0,-14000000.0,-13887000.0,-14000000.0,-3868000.0,-4000000.0,-5339000.0,-14028000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
