date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,16572000000.0,13366000000.0,12586000000.0,11737000000.0,11683000000.0,12436000000.0,13120000000.0,13093000000.0,14379000000.0,15197000000.0,15131000000.0,16290000000.0,15674000000.0,16482000000.0,18041000000.0,13972000000.0,12078000000.0,10218000000.0,10558000000.0,9260000000.0,5520000000.0,6086200000.0,7677600000.0,4842300000.0,4651700000.0,4491100000.0,4433900000.0,3791100000.0,3785700000.0,3532500000.0,3661700000.0,3344100000.0,3251200000.0,3071600000.0,2712100000.0
,costOfRevenue,8990000000.0,7039000000.0,5883000000.0,5955000000.0,6201000000.0,7881000000.0,8033000000.0,10180000000.0,6412000000.0,6653000000.0,7077000000.0,7772000000.0,6716000000.0,6654000000.0,10550000000.0,6683000000.0,4917000000.0,3456000000.0,4090000000.0,3599000000.0,1805000000.0,2414400000.0,3804300000.0,1687500000.0,1695300000.0,1642400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,7582000000.0,6327000000.0,6703000000.0,5782000000.0,5482000000.0,4555000000.0,5087000000.0,2913000000.0,7967000000.0,8544000000.0,8054000000.0,8518000000.0,8958000000.0,9828000000.0,7491000000.0,7289000000.0,7161000000.0,6762000000.0,6468000000.0,5661000000.0,3715000000.0,3671800000.0,3873300000.0,3154800000.0,2956400000.0,2848700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.457518706251509,0.473365255124944,0.532575877959638,0.492630143989094,0.46922879397415,0.366275329688003,0.387728658536585,0.222485297487207,0.554071910424925,0.562216226886886,0.532284713502082,0.522897483118478,0.571519714176343,0.596286858390972,0.415220885760213,0.521686229602061,0.592896174863388,0.661773341162654,0.612616025762455,0.61133909287257,0.673007246376812,0.603299267194637,0.504493591747421,0.65150858063317,0.63555259367543,0.634298946805905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,986000000.0,1021000000.0,165000000.0,250000000.0,196000000.0,250000000.0,265000000.0,223000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
