date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-132433000.0,144560000.0,142958000.0,-47974000.0,50843000.0,-31741000.0,-72669000.0
,depreciationAndAmortization,0.0,70021000.0,58225000.0,49711000.0,69822000.0,91507000.0,100322000.0
,deferredIncomeTax,0.0,6475000.0,6740000.0,1151000.0,-4763000.0,-11997000.0,-22330000.0
,stockBasedCompensation,0.0,47889000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,0.0,-316431000.0,145871000.0,252369000.0,124165000.0,115466000.0,19656000.0
,accountsReceivables,0.0,706000.0,32000.0,0.0,0.0,0.0,0.0
,inventory,0.0,3104000.0,-3415000.0,-2372000.0,430000.0,1520000.0,1851000.0
,accountsPayables,0.0,-873000.0,23241000.0,-27599000.0,1130000.0,-659000.0,1089000.0
,otherWorkingCapital,0.0,-473533000.0,0.0,0.0,110509000.0,101617000.0,22453000.0
,otherNonCashItems,0.0,7639000.0,26762000.0,100469000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,0.0,-39854000.0,380034000.0,350100000.0,240083000.0,163720000.0,25045000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-50849000.0,-65210000.0,-50336000.0,-35450000.0,-34979000.0,-36375000.0
,acquisitionsNet,0.0,0.0,-4000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-333000000.0,0.0,0.0,-615100000.0,-308000000.0,-397505000.0
,salesMaturitiesOfInvestments,0.0,300000000.0,0.0,0.0,616133000.0,312967000.0,391505000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,-114716000.0,-100875000.0,-53067000.0,-42544000.0,-38233000.0,-46777000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-97332000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-48047000.0,18618000.0,437829000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,-426016000.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,-11080000.0,98000.0,3920000.0
,netCashUsedProvidedByFinancingActivities,0.0,-140732000.0,-57306000.0,129001000.0,-80209000.0,98000.0,3920000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,1342000.0,10037000.0,-5219000.0,5233000.0,2378000.0,309000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,0.0,-293960000.0,231890000.0,428207000.0,122563000.0,127963000.0,-17503000.0
,cashAtEndOfPeriod,0.0,1022825000.0,1287872000.0,1068206000.0,639999000.0,517436000.0,389473000.0
,cashAtBeginningOfPeriod,0.0,1316785000.0,1055982000.0,639999000.0,517436000.0,389473000.0,406976000.0
,operatingCashFlow,0.0,-39854000.0,380034000.0,350100000.0,240083000.0,163720000.0,25045000.0
,capitalExpenditure,0.0,-62441000.0,-73990000.0,-53079000.0,-43767000.0,-43388000.0,-40624000.0
,freeCashFlow,0.0,-102295000.0,306044000.0,297021000.0,196316000.0,120332000.0,-15579000.0
