date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2007-03-29_FY,2006-12-31_FY,2006-03-29_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,50724000000.0,0.0,50982000.0,53715000.0,52713000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87000000.0,75000000.0,77000000.0,39642000000.0,0.0,38400999980.4,0.0,0.0,0.0,52206000000.0,75128084456.7362,43397125760.321,38346701037.4305,44733143126.3638,46124467137.0346,37980783052.1046,37820984569.2041,36937310262.7064,31001903447.4391,32381476984.3943,32001343505.266,27568181498.7163,26408344745.5672,23816148614.468,23686151207.8295,27065010963.3642
,costOfRevenue,28684000000.0,0.0,28769000.0,30547000.0,30229000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23000000.0,9000000.0,6000000.0,20093000000.0,40792000000.0,19539000705.4,20011000000.0,21192000000.0,0.0,46340000000.0,63817500861.6531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,22040000000.0,0.0,22213000.0,23168000.0,22484000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64000000.0,66000000.0,71000000.0,19549000000.0,-40792000000.0,18861999275.0,-20011000000.0,-21192000000.0,0.0,5866000000.0,11310583595.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.43450831953316,0.0,0.435702797065631,0.43131341338546,0.42653614857815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735632183908046,0.88,0.922077922077922,0.493138590383936,0.0,0.491185106758346,0.0,0.0,0.0,0.112362563689997,0.150550671920784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,800000000.0,0.0,-900000.0,-900000.0,-978000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993000000.0,0.0,0.0,0.0,-953000000.0,931999780.8,-1040000000.0,-1065000000.0,0.0,0.0,1874975938.24531,990317458.263233,786918350.070545,820543443.761159,825567695.311162,704999304.654181,692267060.644435,686700165.67067,578618521.83277,595540698.327158,574318120.442884,506941992.939666,512244125.702753,474883930.077005,421486354.631738,0.0
,GeneralAndAdministrativeExpenses,0.0,8511000000.0,1614000000.0,5845000000.0,5974000000.0,5941000000.0,3948000000.0,13035000000.0,13632000000.0,12104000000.0,11730000000.0,0.0,2705000000.0,4895000000.0,0.0,4655000000.0,0.0,0.0,15649143520.0,15990176140.0,19216640050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,7091000000.0,0.0,-9678000.0,-14311000.0,-14683000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9486000000.0,-9292000000.0,9077999310.6,-9534000000.0,-10096000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-288000000.0,0.0,-110000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
