date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-84038000.0,-75438000.0,-62279000.0,-54010000.0,-47743000.0
,depreciationAndAmortization,3035000.0,2722000.0,1604000.0,1527000.0,1273000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,10939000.0,9839000.0,6610000.0,4419000.0,4234000.0
,changeInWorkingCapital,58936000.0,8792000.0,21459000.0,-15195000.0,47448000.0
,accountsReceivables,19993000.0,-20158000.0,0.0,867000.0,-317000.0
,inventory,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-1057000.0,1493000.0,888000.0,141000.0,-404000.0
,otherWorkingCapital,149933000.0,90997000.0,82205000.0,60746000.0,75941000.0
,otherNonCashItems,-46236000.0,-6168000.0,-7709000.0,18530000.0,-45748000.0
,netCashProvidedByOperatingActivites,-57364000.0,-60253000.0,-40315000.0,-44729000.0,-40536000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3336000.0,-12638000.0,-1384000.0,-821000.0,-2322000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-108206000.0,-96768000.0,-41770000.0,-25020000.0
,salesMaturitiesOfInvestments,50000000.0,109000000.0,87500000.0,27000000.0,0.0
,otherInvestingActivites,0.0,110000.0,9000.0,0.0,0.0
,netCashUsedForInvestingActivites,46664000.0,-11734000.0,-10643000.0,-15591000.0,-27342000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-241000.0,-205000.0,-50000.0,-168000.0,-135000.0
,commonStockIssued,102273000.0,61183000.0,68508000.0,32306000.0,53875000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,40921000.0,5012000.0,626000.0,1799000.0,36817000.0
,netCashUsedProvidedByFinancingActivities,142953000.0,65990000.0,69084000.0,33937000.0,90557000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,132253000.0,-5997000.0,18126000.0,-26383000.0,22679000.0
,cashAtEndOfPeriod,177070000.0,44817000.0,50814000.0,32205000.0,58588000.0
,cashAtBeginningOfPeriod,44817000.0,50814000.0,32688000.0,58588000.0,35909000.0
,operatingCashFlow,-57364000.0,-60253000.0,-40315000.0,-44729000.0,-40536000.0
,capitalExpenditure,-3336000.0,-12638000.0,-1384000.0,-821000.0,-2322000.0
,freeCashFlow,-60700000.0,-72891000.0,-41699000.0,-45550000.0,-42858000.0
