date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-99466000.0,6060000.0,6836000.0,-2175000.0,14463000.0
,depreciationAndAmortization,35705000.0,38533000.0,34413000.0,31383000.0,32388000.0
,deferredIncomeTax,-13409000.0,-3599000.0,1859000.0,-4854000.0,-1775000.0
,stockBasedCompensation,5851000.0,5766000.0,6107000.0,6574000.0,7324000.0
,changeInWorkingCapital,27314000.0,-32405000.0,-2463000.0,-158000.0,13872000.0
,accountsReceivables,27313000.0,8298000.0,-10349000.0,2490000.0,0.0
,inventory,84000.0,-302000.0,-2764000.0,-117000.0,608000.0
,accountsPayables,-1020000.0,1138000.0,2948000.0,2574000.0,-2792000.0
,otherWorkingCapital,0.0,69915000.0,102320000.0,104783000.0,104941000.0
,otherNonCashItems,111807000.0,44755000.0,-5088000.0,24469000.0,-3061000.0
,netCashProvidedByOperatingActivites,67802000.0,59110000.0,41664000.0,55239000.0,63211000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-15396000.0,-22047000.0,-20584000.0,-19314000.0,-14452000.0
,acquisitionsNet,0.0,-4000000.0,-136000000.0,-83000000.0,-2000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,427000.0,767000.0,1134000.0,-483000.0,-5956000.0
,netCashUsedForInvestingActivites,-14969000.0,-25280000.0,-155450000.0,-102797000.0,-22408000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-78121000.0,-73102000.0,-58550000.0,-59193000.0,-81369000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,-15923000.0,-9000000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,33952000.0,28965000.0,172519000.0,128721000.0,60338000.0
,netCashUsedProvidedByFinancingActivities,-44169000.0,-44137000.0,113969000.0,53605000.0,-30031000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2080000.0,-221000.0,-2180000.0,2340000.0,-1217000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,10744000.0,-10528000.0,-1997000.0,8387000.0,0.0
,cashAtEndOfPeriod,25760000.0,15016000.0,25544000.0,27541000.0,19154000.0
,cashAtBeginningOfPeriod,15016000.0,25544000.0,27541000.0,19154000.0,0.0
,operatingCashFlow,67802000.0,59110000.0,41664000.0,55239000.0,63211000.0
,capitalExpenditure,-15772000.0,-22920000.0,-21125000.0,-20569000.0,-15873000.0
,freeCashFlow,52030000.0,36190000.0,20539000.0,34670000.0,47338000.0
