date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,425544000.0,424625000.0,433732000.0,402440000.0,393761000.0,377698000.0,364768000.0,334122000.0,319660000.0,262915000.0,276634000.0,250337000.0,279552000.0,234816000.0,229754000.0,216654000.0,205010000.0,183989000.0,167317000.0,138537000.0,146389000.0,150900000.0,143800000.0,130800000.0,116000000.0,108600000.0,99200000.0,84500000.0,82100000.0,78400000.0,77100000.0,72300000.0,71100000.0,66700000.0,60900000.0,55900000.0
,costOfRevenue,257295000.0,261097000.0,271383000.0,246694000.0,243185000.0,241922000.0,233626000.0,217133000.0,197414000.0,173095000.0,173810000.0,153323000.0,181094000.0,153418000.0,153126000.0,142792000.0,137532000.0,123470000.0,111317000.0,94042000.0,87302000.0,86000000.0,81800000.0,78000000.0,69400000.0,65100000.0,58400000.0,47800000.0,48200000.0,45200000.0,42900000.0,41300000.0,41100000.0,38600000.0,35100000.0,36300000.0
,grossProfit,168249000.0,163528000.0,162349000.0,155746000.0,150576000.0,135776000.0,131142000.0,116989000.0,122246000.0,89820000.0,102824000.0,97014000.0,98458000.0,81398000.0,76628000.0,73862000.0,67478000.0,60519000.0,56000000.0,44495000.0,59087000.0,64900000.0,62000000.0,52800000.0,46600000.0,43500000.0,40800000.0,36700000.0,33900000.0,33200000.0,34200000.0,31000000.0,30000000.0,28100000.0,25800000.0,19600000.0
,grossProfitRatio,0.395373921380633,0.385111569031498,0.374307175859747,0.387004273929033,0.382404555047351,0.35948297316904,0.359521668567418,0.350138572138321,0.382425076643934,0.341631325713634,0.371696899151948,0.387533604700863,0.352199233058608,0.346645884437176,0.333521940858483,0.340921469255126,0.329144919760012,0.328927272826093,0.334694023918669,0.321177735911706,0.403630054170737,0.430086149768058,0.43115438108484,0.403669724770642,0.401724137931035,0.400552486187845,0.411290322580645,0.434319526627219,0.412911084043849,0.423469387755102,0.443579766536965,0.428769017980636,0.421940928270042,0.421289355322339,0.423645320197044,0.350626118067979
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500000.0,6400000.0,6500000.0,5900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,103093000.0,101380000.0,105480000.0,100124000.0,99811000.0,93407000.0,85095000.0,77882000.0,77777000.0,62286000.0,58001000.0,54771000.0,57556000.0,50782000.0,47840000.0,49916000.0,47281000.0,46419000.0,42805000.0,38430000.0,41995000.0,42500000.0,43300000.0,30300000.0,27300000.0,25600000.0,24500000.0,28400000.0,27700000.0,25900000.0,25500000.0,22800000.0,22300000.0,21000000.0,20500000.0,14800000.0
,SellingAndMarketingExpenses,103093000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-145000.0,-288000.0,-19860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,103093000.0,101380000.0,105480000.0,100124000.0,99811000.0,93407000.0,85095000.0,77882000.0,77777000.0,62286000.0,58001000.0,54771000.0,57556000.0,50782000.0,47840000.0,49916000.0,47281000.0,46419000.0,42805000.0,38430000.0,48068000.0,48200000.0,48000000.0,41800000.0,37800000.0,36500000.0,34800000.0,32700000.0,31800000.0,29900000.0,29300000.0,26000000.0,25400000.0,24000000.0,23300000.0,17000000.0
