Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31
Depreciation & Amortization,30150797.8723,34474078.341,120000000.0,50919262.7207,000000.0,164566.7267,000000.0,43213.0147,4000000.0,1101353.2969,835000000.0,2773311.8971,2666230.0236,32328252.893
Stock-based compensation,63031.9149,207085.2535,1000000.0,49065.4206,000000.0,217279.5063,000000.0,809100.1525,3000000.0,-3263748.9202,10000000.0,3978563.7728,6171076.7619,7799040.3613
Operating Cash Flow,-5397074.4681,124945852.5346,434000000.0,19997403.946,77000000.0,-22169966.5724,191000000.0,-2944077.275,-38000000.0,4287359.6314,-17000000.0,-957127.5456,5543620.6445,-93991250.3528
Capital Expenditure,2309042.5532,-132488.4793,-4000000.0,5037902.3884,000000.0,-26484.9576,000000.0,-112353.8383,-0000000.0,-283328.5344,-22000000.0,-469185.4234,-1765260.6759,-11753598.6452
Acquisitions and disposals,11668351.0638,128079205.0691,,21752855.6594,,46883774.7493,,0.0,,31804203.8583,,53127545.552,-35280848.8342,-25837990.4036
Investment purchases and sales,-1952393.617,4313076.0369,0,-3455867.082,0,-428130.6248,0,-10759278.0885,40000000,9841923.4092,51000000,24019828.5102,87030390.3589,-15728760.9371
Investing Cash flow,12025000.0,132259792.6267,459000000.0,23334890.9657,97000000.0,46429159.1669,236000000.0,-11047025.9278,43000000.0,41362798.7331,355000000.0,86466237.9421,49984280.8488,-103690939.8815
Issuance (repayment) of debt,-104714361.7021,-127925979.2627,-461000000.0,-33213395.6386,000000.0,-19433530.4706,000000.0,0.0,000000.0,-15790382.9542,-518000000.0,-88251071.8114,-60744039.8218,160840812.8704
Issuance (buybacks) of shares,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Dividend payments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Financing Cash Flow,-122362765.9574,-149695564.5161,-520000000.0,-60555295.9502,-233000000.0,-29171252.2499,-580000000.0,14831977.6309,-33000000.0,-21034840.1958,-545000000.0,-135736870.3108,-69596541.7867,103968670.6181
Effect of forex changes on cash,621276.5957,799539.1705,3000000.0,-472481.8276,000000.0,-513242.4788,000000.0,0.0,3000000.0,1254534.9842,-10000000.0,119239.0139,1466334.8179,-38237933.9543
Net cash flow / Change in cash,-115736436.1702,107510080.6452,376000000.0,-17223001.0384,-59000000.0,-5606325.5336,-152000000.0,840874.4281,-25000000.0,24615318.1687,-217000000.0,-50227759.9143,-14068640.2934,-93713519.6161
Free Cash Flow,-3088031.9149,124813364.0553,430000000.0,25035306.3344,77000000.0,-22196451.53,191000000.0,-3056431.1134,-38000000.0,4004031.097,-39000000.0,-1426312.9689,3778359.9686,-105744848.998
Net Cash/Marketcap,,,,,,,,,,,,,,
