date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-17508000.0,-93321000.0,-122007000.0,-13510000.0,-11070000.0,-8387000.0,659549.0,-13196920.0,-8870732.0,-11945363.0,-15809720.0,-19948257.0,-53274682.0,-17346062000.0,-669011000.0
,depreciationAndAmortization,166000.0,227000.0,210000.0,176000.0,139000.0,117000.0,97930.0,155571.0,275929.0,216700.0,206750.0,190177.0,170326.0,37912000.0,21000000.0
,deferredIncomeTax,658000.0,-1127000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,3836000.0,2790000.0,2689000.0,2786000.0,1724000.0,889000.0,417999.0,1838082.0,28333.0,21667.0,0.0,0.0,0.0,4200000.0,21000000.0
,changeInWorkingCapital,-528000.0,5962000.0,2307000.0,-317000.0,2855000.0,-8029422.0,10000356.0,-3426169.0,28136060.0,-5757939.0,213478353.0,-199444239.0,5150438000.0,-5377667000.0,0.0
,accountsReceivables,-1340000.0,-1473000.0,-3449000.0,-1208000.0,-1201000.0,-1764000.0,-204430.0,64809.0,-13733.0,207605.0,140523.0,-225139.0,-622404.0,-145207000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394706.0,-228993.0,0.0,0.0,0.0,0.0,6794825000.0,0.0
,otherWorkingCapital,16000.0,21364000.0,15402000.0,13095000.0,13412000.0,10557000.0,18586422.0,8586066.0,12012235.0,-16123825.0,-10365886.0,-223844239.0,-24400000.0,-5174838000.0,202829000.0
,otherNonCashItems,7417000.0,1901000.0,2822000.0,1270000.0,1454000.0,765000.0,836009.0,1487235.0,2032780.0,468157.0,1208858.0,1446216.0,6754529.0,0.0,0.0
,netCashProvidedByOperatingActivites,40455000.0,32942000.0,29796000.0,27419000.0,30849000.0,28494000.0,19844804.0,-1071813.0,11425870.0,4572131.0,5154517.0,5029535.0,-6593970.0,-3434342000.0,-777089000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1626550.0,-1040927.0,-1022993.0,-1505876.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050063.0,4712183.0,1090517.0,102938.0,-623791.0,2492721.0,0.0,0.0
,netCashUsedForInvestingActivites,10791000.0,22830000.0,-212514000.0,-68416000.0,-144765000.0,-78461000.0,-238432954.0,-136468.0,-18342419.0,-536033.0,-937989.0,-1646784.0,3000109.0,-419106990000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-20850000.0,-20064000.0,-148000000.0,-292156000.0,-2846000.0,-498000.0,-254910000.0,-80196123.0,-122669549.0,-46814920.0,-259000705.0,-57491382.0,-87265492.0,0.0,0.0
,commonStockIssued,0.0,0.0,72450000.0,56810000.0,0.0,0.0,190222034.0,142105266.0,4062647.0,54511310.0,54463267.0,60408715.0,90912786.0,0.0,0.0
,commonStockRepurchased,-3337000.0,-3369000.0,-2351000.0,-1347000.0,-3407000.0,-6004000.0,-43370.0,-38654730.0,-1099115.0,-6772901.0,-859555.0,-257198.0,-300000.0,0.0,0.0
,dividendsPaid,-26263000.0,-26269000.0,-25601000.0,-21349000.0,-20382000.0,-19590000.0,-15335478.0,-11567839.0,-103436.0,-1639908.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-1031000.0,-82000.0,-4971000.0,-6383000.0,-1866000.0,-781000.0,-13343573.0,-13085478.0,-1901879.0,-5259673.0,-6667446.0,-5326099.0,-7808122.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-50809000.0,-49899000.0,180527000.0,39694000.0,114999000.0,40627000.0,227339613.0,-1398904.0,11288668.0,-5976092.0,-1064439.0,-1865964.0,6239172.0,423813283000.0,776918000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,437000.0,5873000.0,-2191000.0,-1303000.0,1083000.0,-9340000.0,8751463.0,-2607185.0,4372119.0,-1939994.0,3152089.0,1516787.0,2645311.0,1271951000.0,-171000.0
,cashAtEndOfPeriod,11924000.0,11487000.0,5614000.0,7805000.0,9108000.0,8025000.0,17365370.0,8613907.0,11221092.0,6848973.0,8788967.0,5636878.0,4120091.0,1474780000.0,202829000.0
