date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY
,revenue,252497000.0,305338000.0,270283000.0,229833000.0,167181000.0,103304000.0,130569000.0,164000000.0,155600000.0,226500000.0,148100000.0,119900000.0,108200000.0,69300000.0,53100000.0
,costOfRevenue,212953000.0,237086000.0,206059000.0,169552000.0,133055000.0,85232000.0,101053000.0,148700000.0,102500000.0,145900000.0,91000000.0,81900000.0,80800000.0,47500000.0,33700000.0
,grossProfit,39544000.0,68252000.0,64224000.0,60281000.0,34126000.0,18072000.0,29516000.0,15300000.0,53100000.0,80600000.0,57100000.0,37900000.0,27400000.0,21800000.0,19400000.0
,grossProfitRatio,0.156611761723902,0.223529334704491,0.237617608210653,0.262281743700861,0.20412606695737,0.174939982962906,0.226056720967458,0.0932926829268293,0.341259640102828,0.355849889624724,0.385550303848751,0.316096747289408,0.253234750462107,0.314574314574315,0.365348399246704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,20976000.0,25172000.0,30619000.0,50133000.0,55452000.0,52777000.0,76580000.0,91100000.0,73200000.0,43300000.0,34700000.0,26100000.0,27500000.0,22300000.0,19200000.0
,GeneralAndAdministrativeExpenses,26629000.0,41339000.0,51075000.0,46440000.0,42012000.0,52697000.0,40319000.0,46493000.0,44788000.0,23539000.0,16240000.0,10198000.0,5929000.0,16100000.0,12300000.0
,SellingAndMarketingExpenses,11510000.0,16380000.0,15923000.0,16776000.0,20949000.0,0.0,25489000.0,28707000.0,30112000.0,24961000.0,21660000.0,18102000.0,15071000.0,0.0,0.0
,otherExpenses,0.0,0.0,465000.0,1377000.0,-1656000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,65354000.0,90669000.0,106441000.0,125287000.0,139874000.0,119128000.0,165160000.0,182602000.0,159516000.0,97300000.0,80007000.0,60542475.966255,45369446.424329,39987370.057321,32298890.429958
,costAndExpenses,278307000.0,326731000.0,323001000.0,296521000.0,257312000.0,213563000.0,289254000.0,358200000.0,263900000.0,243200000.0,171700000.0,138900000.0,132100000.0,88900000.0,59600000.0
,interestExpense,7988000.0,23541000.0,-465000.0,-1377000.0,1656000.0,11836000.0,10128000.0,9700000.0,11300000.0,-500000.0,-1300000.0,-400000.0,8000000.0,5300000.0,-6200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,6239000.0,16340000.0,16510000.0,14741000.0,15322000.0,13654000.0,18666000.0,16290000.0,11400000.0,6280000.0,3600000.0,1950000.0,1760000.0,1500000.0,1240000.0
,EBITDA,-19571000.0,-5053000.0,-36208000.0,-51947000.0,-74809000.0,-96605000.0,-140019000.0,-177910000.0,-96900000.0,-10320000.0,-20000000.0,-17150000.0,-22140000.0,-18100000.0,-5260000.0
,EBITDARatio,-0.0775098317999818,-0.0165488737071704,-0.133963290329026,-0.226020632372201,-0.447473098019512,-0.935152559436227,-1.07237552558417,-1.08481707317073,-0.622750642673522,-0.0455629139072848,-0.135043889264011,-0.143035863219349,-0.204621072088725,-0.261183261183261,-0.0990583804143126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-25810000.0,-21393000.0,-52718000.0,-66688000.0,-90131000.0,-110259000.0,-158685000.0,-194200000.0,-108300000.0,-16600000.0,-23600000.0,-19100000.0,-23900000.0,-19600000.0,-6500000.0
