Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12
Revenue,57260000.0,57000000.0,61105000.0,61000000.0,49296000.0,49000000.0,44438000.0,44000000.0,000000.0
Revenue Growth,0.00456140350877193,-0.067179445217249,0.00172131147540984,0.237422914638104,0.00604081632653061,0.102659885683424,0.00995454545454545,1,
Cost of Revenue,2797000.0,,1482000.0,,1303000.0,,1205000.0,,
Gross Profit,54463000.0,,59623000.0,,47993000.0,,43233000.0,,
R&D Expenses,0.0,,0.0,,0.0,,0.0,,
SG&A Expense,13900000.0,14000000.0,11677000.0,12000000.0,10596000.0,11000000.0,8628000.0,9000000.0,000000.0
Operating Expenses,32481000.0,,27779000.0,,25989000.0,,19352000.0,,
Operating Income,21982000.0,23000000.0,31844000.0,34000000.0,22004000.0,24000000.0,23881000.0,26000000.0,000000.0
Interest Expense,12487000.0,,7701000.0,,10883000.0,,7163000.0,,
Earnings before Tax,5663000.0,,20422000.0,,11050000.0,,12701000.0,,
Income Tax Expense,0.0,,0.0,,0.0,,0.0,,
Net Income - Non-Controlling int,3843000.0,,3730000.0,,266000.0,,4029000.0,,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,
Net Income,5663000.0,6000000.0,20422000.0,20000000.0,11050000.0,11000000.0,12701000.0,13000000.0,000000.0
Preferred Dividends,0.0,,0.0,,13760000.0,,7835000.0,,
Net Income Com,5663000.0,6000000.0,20422000.0,20000000.0,-2710000.0,11000000.0,4866000.0,13000000.0,000000.0
EPS,0.17,0.17,0.64,0.64,-0.18,-0.18,0.42,0.69,
EPS Diluted,0.17,0.17,0.64,0.64,-0.18,-0.18,0.42,0.69,
Weighted Average Shs Out,31597000.0,32000000.0,31447000.0,31000000.0,15838000.0,16000000.0,10948000.0,30000000.0,
Weighted Average Shs Out (Dil),31601000.0,32000000.0,31484000.0,31000000.0,15838000.0,16000000.0,10948000.0,30000000.0,
Dividend per Share,0.63,,0.84,,0.0,,0.0,,
Gross Margin,0.9512,0,0.9757,0,0.9736,0,0.9729,0,
EBITDA Margin,0.658,0.73684210526316,0.749,0.80327868852459,0.808,0.81632653061224,0.714,0.81818181818182,
EBIT Margin,0.317,0.10526315789474,0.4602,0.32786885245902,0.4449,0.22448979591837,0.447,0.29545454545455,
Profit Margin,0.099,0.10526315789474,0.334,0.32786885245902,-0.055,0.22448979591837,0.11,0.29545454545455,
Free Cash Flow margin,0.3407,,0.655,,0.6175,,0.5089,,
EBITDA,37667000.0,42000000.0,45740000.0,49000000.0,39854000.0,40000000.0,31735000.0,36000000.0,000000.0
EBIT,18150000.0,6000000,28123000.0,20000000,21933000.0,11000000,19864000.0,13000000,0
Consolidated Income,9506000.0,6000000.0,24152000.0,20000000.0,11316000.0,11000000.0,16730000.0,13000000.0,000000.0
Earnings Before Tax Margin,0.0989,0,0.3342,0,0.2242,0,0.2858,0,
Net Profit Margin,0.0989,0.10526315789474,0.3342,0.32786885245902,0.2242,0.22448979591837,0.2858,0.29545454545455,
